Recipient.Organization,Appealing.Agency.NATIONAL.INTERNATIONAL,donorCount,totalContrib,countryCount
Diamer Poverty Alleviation Programme,Local NGOs,1,585062,1
Dinah Falala & Phoebe Sandi Foundation,,1,291135,1
DIOBASS,,1,700500,1
Diocese of Meru,,1,147673,1
Diplomat Freight Services,,1,13580,1
Direct Aid,SINGO,2,3844401,3
Direct Relief,International NGO,9,3582963,4
Disasters Emergency Committee (UK),International NGO,2,224973719,4
DKKV - German Committee for Disaster Reduction,,1,521293,1
Dorcas Aid International,International NGO,1,2908286,1
Double Harvest,International NGO,1,10000,1
Douleurs san Frontières,International NGO,1,202429,1
Eastern Community Development and Humanitarian Organization,Local NGOs,1,142403,1
Ebola Response Multi-Partner Trust Fund,,37,78723364,1
Echelle appui au développement,,1,227833,1
Economic & Social Development Centre of Palestine,,1,888657,1
Economic Research Forum,,1,322581,1
Education Development Center,,2,1548168,2
"Education, Health, Social Awareness and Rehabilitation Foundation",,1,1015426,1
Eid Charity,International NGO,3,2653791,3
EITI - Extractive Industry Transparency Initiative,,1,1198717,1
El Barde Primary Helath Care Organization,,1,208996,1
El Ruhama Organization for Development and Humanitarian Aid,National NGO,1,385043,1
Electriciens sans frontières,International NGO,1,160875,1
EMERGENCY - Life Support for Civilian War Victims ONG Onlus,International NGO,2,4157263,3
Emergency Nutrition Network,International NGO,3,582907,1
Emergency ONG,International NGO,1,465839,1
Emergency Response Fund (OCHA),,356,390753631,21
Enfants de Cusco,International NGO,1,22459,1
Enfants du Monde - Droits de l'Homme,International NGO,1,200000,1
Ensemble Contre la Peine de Mort,,1,270061,1
Entrepreneurs du Monde,International NGO,1,741910,1
Environment Africa,International NGO,1,105088,1
EPER Lausanne,International NGO,1,321500,2
Episcopal Relief and Development,,1,10000,1
EQUIP Liberia,Local NGOs,1,1415411,2
ERF Recipients,,1,3680215,1
Esperanza International Foundation,,1,10000,1
Estonia Red Cross,,1,8825,1
ETANA Press,Local NGOs,1,137313,1
Ethiopian Red Cross Society,,1,310559,1
Euro-Mediterranean Foundation of Support to Human Rights Defenders,,1,367965,1
European Commission's Humanitarian Aid and Civil Protection Department,,1,212478122,1
European Commission Civil Protection Mechanism,,1,18315,1
European Committee for Agriculture and Training,,1,993650,1
European Grassroots Antiracist Movement,,1,42957,1
Experts Comptables Associés,,1,303890,1
Fact Mutare,National NGO,1,106764,1
FAFO ,,1,1367715,2
FAIRMED Foundation,,1,389477,1
Family Charitable Organisation,,1,15924,1
Family Empowerment and Relief Organisation,,2,784512,1
Family Health International,,1,809160,1
Family Planning Organization of the Philippines,National NGO,1,50000,1
FARM Africa,International NGO,2,1744030,1
Farmer's Life Development Agency,,1,59997,1
Fazilia Trust Pakistan,,1,106009,1
FE Y ALEGRIA,,1,762505,2
FedEx,,1,0,1
Feed My Starving Children,International NGO,1,10000,1
Feed the Children,International NGO,1,275000,1
Feinstein Center,,1,167061,1
Fellowship for African Relief,National NGO,2,4949486,1
FICASE,,1,2800822,1
Fida International (previously Finnish Free Foreign Mission),International NGO,2,6050254,9
FIDCON,,1,86580,1
Fiji Institution of Engineers,,1,60446,1
Fiji Red Cross Society,,4,1220551,1
FilmAid,International NGO,2,3275748,1
Finca,,1,400000,1
Finnish Red Cross,,3,20071324,8
Fleet Forum,,1,72311,1
Floresta Ayiti [Plant With Purpose],,1,476375,1
Florida International University,,1,3696939,1
FMYY,,1,48955,1
Focus Humanitarian Assistance,,2,871217,1
Foley Hoag LLP,,1,74209,1
Folkekirkens Nodhjaelp,International NGO,1,1023192,1
Fondation Caritas Luxembourg,International NGO,1,3495440,12
Fondation Chreschte mam Sahel,,1,151619,1
Fondation Hirondelle,,1,2056307,2
Fondation Luxembourgeoise Raoul Follereau,,1,254255,2
Fondation Meninos e Meninas de Rua,,1,12330,1
Fondation Mérieux,,1,0,1
Fondation Orient Occident ,,1,352089,1
Fondation pour le Développement et l'Encadrement des Familles Haitiennes,,1,249809,1
Fondation Raoul Follereau,,1,109941,1
Fondation Suisse pour le Déminage,,6,15083236,11
FONKOZE,National NGO,4,4930000,1
Food & Agriculture Organization of the United Nations,,53,1383382501,77
Food for the Hungry ,Affiliated National NGO,3,18775406,5
Food for the Hungry International,International NGO,2,1388334,2
Food for the Poor,International NGO,2,60000,1
Forced Migration Review,,2,141268,1
Formal Education Network for Private Schools,National NGO,1,641481,1
Forum for African Women Educationalist Gambia Chapter,Affiliated National NGO,1,50000,1
Forward Edge International,,1,59000,1
Foundation for Rural Development,National NGO,1,193123,1
Foundation for the Future,,1,600240,1
Foundation for the Peoples of the South Pacific International,,1,407140,1
Foundation for the Refugee Trust,,1,982962,1
FPDO,,1,1547855,1
Framtiden i våre hender,Undefined,1,48257,1
France,,1,3861,1
France Cooperation Internationale,,1,27792,1
France Terre d’Asile,International NGO,1,311804,1
Franziskaner,,1,574324,1
Fray Rene Giroux Mission,,1,35000,1
Freedom of Expression and of Association,Undefined,1,533461,1
French Red Cross,,12,123314874,35
Frère des Hommes,International NGO,1,19875,1
Freundschaftsbrucke Deutschland e.V.,International NGO,1,878192,2
Friends Foundation,,1,210619,1
Friendship,National NGO,1,1561758,2
Front Line,International NGO,1,816735,1
Frontier Primary Health Care,Local NGOs,1,162987,1
"Frontiers, Ruwad Association",,1,37801,1
Fuel Relief Fund ,,1,54911,1
Fundación Acción Contra el Hambre,International NGO,1,197958,1
"Fundación Alianza por Los Derechos, la Igualdad y  la Solidaridad Internacional",International NGO,1,200000,1
Fundacion APY,,1,228630,1
Fundación Halü Bienestar Humano,Undefined,1,249996,1
Fundacion Imagina,,1,25000,1
Fundación Mi Sangre,,1,255021,1
Fundacion para la Libertad de Prensa,National NGO,1,76048,1
Fundación para las Relaciones Internacionales y el Diálogo Exterior,,1,122449,1
Fundacion Promocion Social de la Cultura,,3,1415047,2
Future of Orphans,International NGO,1,129102,1
FXB -  François-Xavier Bagnoud,International NGO,1,84715,1
Gargaaar Relief and Development Organization,Local NGOs,1,669077,1
Gaza Community Mental Health Programme,Local NGOs,2,705919,1
GEA Society,,1,300000,1
Gedo Women Development Organization,,1,248270,1
Gender Education Empowerment and Leadership Organization,,3,498922,1
Geneva Call,International NGO,2,1036319,1
Geneva Forum,,1,167455,1
Geneva International Centre for Humanitarian Demining,International NGO,7,6475881,1
GeoForschungsZentrum Potsdam,,1,652050,2
German Doctors e.V.,International NGO,1,308351,1
"German medical aid organisation ""action medeor""",International NGO,1,2305912,2
German Red Cross,,4,145798623,40
German Toilet Organization e.V.,International NGO,1,96615,1
Germany,,1,390987,1
GHESKIO Centers,,1,174160,1
"Gift of the Givers Foundation (Pietermaritzburg, RSA)",,1,584795,1
Give2Asia,,3,0,2
Global Aid Hand,National NGO,1,198066,1
Global Centre for the Responsibility to Protect,,1,367320,1
Global Communities,International NGO,2,40802477,6
Global Compact,,1,1242983,1
Global Earthquake Model Foundation,,1,1250234,1
Global Editors Network,,1,876749,1
Global Facility for Disaster Risk Reduction,,6,12553289,6
Global Forum for Media Development,,1,95536,1
Global Forum on Migration and Development,,2,451127,1
Global H20,International NGO,1,15000,1
Global Hope Network International,,3,1596545,1
Global Human Rights Defence,International NGO,1,49505,1
Global Humanitarian Forum,,1,999001,1
Global Initiative to End All Corporal Punishment of Children,,1,194490,1
Global Links,,1,250000,1
Global Medic,,1,1314794,2
Global Network for Disaster Reduction,International NGO,1,500000,1
Global Network of Civil Society Orgs,,2,1859758,2
Global One 2015,International NGO,1,85959,1
Global Public Policy Institute,,2,76762,1
Global Reporting Initiative,,1,2374915,1
Global Rights,International NGO,1,156585,1
GlobalGiving,International NGO,3,350000,2
GOAL,International NGO,12,186757145,18
Gol-yome Rehabilitation and Development Organization,,1,344029,1
Golweyne Relief and Rehabilitation,National NGO,1,91905,1
Good Neighbours Inc,SINGO,1,169394,2
Grant Foundation,,1,15000,1
Great Family Organization,,2,796267,1
Greek Orthodox Patriarchate of Antioch and all of the East,,1,243639,1
GRET,International NGO,1,1581815,3
"Groupe antiraciste d’accompagnement, et de defense des étrangers et migrants",National NGO,1,329097,1
Groupe d’Action pour la Promotion de la Femme,,1,140572,1
Groupe de Recherche et d'Echanges Technologiques,,1,1112408,1
Groupe de Recherche et de Réalisations pour le Développement Rural,International NGO,1,620900,1
Groupe La Colombe,,1,690600,1
Groupe unifié pour l'épanouissement des enfants et pour le développement d'Haiti,National NGO,1,186419,1
GROUPE URD,,3,604412,2
Groupement des Artisans ruraux d’INTADENE-GARI,,1,416444,1
Gruppo per le Relazioni Transculturali,International NGO,2,1662514,1
Gruppo Volontariato Civile,International NGO,8,27311126,9
Guatemalan Red Cross ,,5,651070,1
Gynécologie sans frontières,International NGO,1,467903,2
Gyro AS,,1,1669382,2
Habitat for Humanity International,International NGO,11,20759671,6
Haitian Health Foundation,,1,57800,1
Haitian National Red Cross Society,,3,100000,1
Haitian Women of Miami,,1,50000,1
Hakima,,1,154420,1
HALO Trust,International NGO,14,71081412,8
Handicap Atlas Logistique,International NGO,1,1943544,1
Handicap International,International NGO,27,132491674,38
Handicap International Belgium,International NGO,3,2451193,4
Handicap International France,International NGO,2,14182570,10
Handicap International Luxembourg,International NGO,1,2172985,13
Handicap International USA,International NGO,1,3546346,1
Hands Off Cain,,1,124509,1
Hands Together,Local NGOs,1,30000,1
Harikar,Local NGOs,1,557267,1
Harvard University,,2,1502664,1
Haut Comité de Secours libanais,National NGO,1,136816,1
Haven,,1,861938,1
Hayat Foundation,National NGO,1,498479,1
Heal Africa,,2,2112548,1
Health Alliance International,International NGO,1,248000,1
Health and Environment Development Society ,,1,247989,1
Health and Human Rights Info,,1,138356,1
Health And Nutrition Development Society,National NGO,2,17385035,1
Health Limited,,1,1491972,1
Health Link South Sudan,National NGO,1,857500,1
Health Poverty Action,International NGO,2,6569696,1
HEALTH UNLIMITED,International NGO,1,800820,1
HealthNet International Transcultural Psychosocial Organisation,International NGO,1,1344034,1
Heart-to-Heart,International NGO,1,7001161,1
Heartland Alliance International,,3,404638,3
Hebrew Immigrant Aid Society,,1,9401310,7
Heilsarmee,,1,764841,1
Heinrich Böll Foundation,,1,174425,1
HEKS - Hilfswerk der Evangelischen Kirchen Schweiz,International NGO,1,293160,1
Helen Keller International,International NGO,1,13711112,6
Hellef fir Rosario,Local NGOs,1,6361,1
HELP e.V.,International NGO,3,13487533,13
Help In Need,,1,107568,1
Help the Aged,International NGO,2,2629674,2
HelpAge International,International NGO,12,28250973,13
HelpAge International UK,International NGO,3,2457926,3
Helpage Programme - RD Congo,International NGO,1,780634,1
Helping Hand for Relief and Development,International NGO,2,646527,1
Helping Hands,,1,199262,1
HELVETAS,International NGO,3,2208708,4
Heritage Foundation,,1,44500,1
Heshima Kenya,Local NGOs,1,740000,1
HIAS RefugeeTrust,,1,670000,1
Hidaya Rehabilitation Corporation for Special Need,,1,215000,1
Hidig Relief And Development Organization,National NGO,1,202247,1
Hijra,,2,732756,1
Hilfe zur Selbsthilfe e.V.,International NGO,5,81090089,17
Hilfswerk Austria International,International NGO,2,4199055,5
Hilfswerk Liechtenstein,International NGO,1,159410,1
Himilo Organization for Development,National NGO,1,337590,1
Himilo Relief and Development Association,National NGO,1,223353,1
Hiran Water Supply and Community Development Organisation,,2,158051,1
Høgskolen i Oslo,,1,714733,1
Hold the Child Organisation,,1,870161,1
Holt International Childrens Services,,1,1000,1
Honduran Red Cross,,1,66313,1
Hong Kong Red Cross,,1,0,1
HOPE,International NGO,1,99990,1
HOPE'87,International NGO,2,5089207,2
Hope in Action,International NGO,1,706335,1
Hope International Development Agency,International NGO,1,1638612,2
Hope Worldwide,International NGO,1,204119,1
Hopital Albert Schweitzer,,3,1029128,1
Hôpital Saint-Joseph,,1,25740,1
Horn-Aid Kenya,National NGO,1,104100,1
Horn of Africa Organization for Protection of Environment and Improvement of Livelihoods,Undefined,1,57737,1
Horn Relief,National NGO,4,20083124,3
Horsed Relief and Development Organization,,1,457040,1
HRG Hogg Robinson Nordic AS,,1,81035,2
Huairou Commission,,1,1406399,1
Human Appeal International,International NGO,1,207904,1
Human Resources Development Agency,National NGO,1,668801,1
Human Rights Foundation,International NGO,1,200200,1
Human Rights House Foundation ,,1,2918345,1
Humane Society of the United States,,1,0,1
Humanitarian Accountability Partnership International,International NGO,7,3243503,1
Humanitarian Action for Relief and Development Organisation,National NGO,1,850000,1
Humanitarian Action for the People Afghanistan,,1,178222,1
Humanitarian Africa Relief Development Organization,,2,832645,1
Humanitarian Aid and Development Organization,,2,2476567,2
Humanitarian Forum,,1,93327,1
Humanitarian Forum Indonesia,,1,336738,1
Humanitarian Initiative Just Relief Aid Organizaiton,,1,314400,1
Humanitarian Policy and Conflict Research,,1,1371742,1
Humanitarian Policy Group,,1,337958,1
Humanitarian Relief Foundation,International NGO,1,6818695,3
HumaniTerra International,International NGO,1,331565,1
Humanity First,,1,224417,1
Humedia International,International NGO,1,474946,1
Humedica,International NGO,3,12204070,17
Hungarian Baptist  Aid Organisation,International NGO,1,146418,4
Hungarian Malteser Charity Service,International NGO,1,27246,3
Hungarian Red Cross,,2,243809,2
IBIS,,2,3257678,2
Ibon Foundation,,1,97087,1
ICASE,,1,628413,1
IDDEALES,,1,404858,1
IFRC Disaster Relief Emergency Fund,,4,911155,4
IFTIIN Education and Development Association,International NGO,1,175841,1
IGAD Partnership Forum,,2,2315268,2
Igarapé,,1,85762,1
"IHH-Humanitarian Relief Foundation, Turkey",SINGO,1,2044645,5
IIDA Women's Development Organization,,1,853860,1
Iimaan Relief and Development Organization,National NGO,1,84036,1
IMA,,1,2752391,2
Independent Commission for Human Rights,,1,3091900,1
Indonesian Red Crescent Society,,2,105896,1
Indus Resource Centre,,1,38119,1
Industri Energi (fagforbundet),,1,66350,1
InfoAsAid,,1,78247,1
InformAction,Undefined,1,169354,1
Information Management and Mine Action Programs,,2,10040525,6
"Information Technology Outreach Services, U of Georgia",,1,1240877,1
Initiativ for Etisk Handel,,1,54170,1
Initiative Développement,,3,2283661,1
Initiative for Change,International NGO,1,98693,1
Initiative for Development and Empowerment Axis,,1,179336,2
Innovasjon Norge,,1,22075252,1
Innovative Development Organization,National NGO,1,333354,1
Innovative Humanitarian Solutions,International NGO,1,25000,1
Inprosula,,1,144005,1
Insan Association,National NGO,1,169309,1
Institut Européen de Coopération et de Développement,International NGO,1,214364,1
Institut Menzingen,,1,362384,2
Institute for Human Rights and Business,,1,283259,1
Institute for War and Peace Reporting,International NGO,1,644828,1
Institute of Cultural Affairs Japan,International NGO,1,19467,1
Instituto de Directores de Mocambique,,1,25593,1
Instituto Dominicano de Desarrollo Integral ,,1,249064,2
Instituto Sou da Paz,,1,1157841,2
Institutt for Journalistikk,,1,2305845,2
Institutt for Sosiologi og Samfunnsgeografi,,1,204439,1
Integrated Health Services,,1,317761,1
Integrated Regional Information Network,,2,108419,2
Inter Aide,International NGO,1,2044051,1
Inter Cooperation,,1,304878,1
Inter Press Service,,1,640751,1
InterAction,International NGO,2,8846113,2
Interaction in Development Foundation,Local NGOs,1,194719,1
Interchurch Medical Assistance,International NGO,1,1190488,1
Interkerkelijke Organisatie voor Ontwikkelingssamenwerking,International NGO,1,2335426,2
INTERMON,International NGO,2,11607102,6
Intermon Oxfam,International NGO,11,54653473,12
International Action Network on Small Arms,,1,428274,1
International Aid Services,International NGO,7,16013618,5
International Assistance Mission,National NGO,1,67516,1
International Bank for Reconstruction & Development (World Bank),,1,5163192,1
International Business Leaders Forum,,1,6167,1
International Campaign to Ban Landmines,,4,10356418,1
International Catholic Migration Commission,International NGO,5,23749887,7
International Centre for Migration Policy Development,,1,152439,1
International Centre for Transitional Justice,,2,4089348,2
International Cities of Refuge Network,,1,85310,1
International Civil Defense Organisation,,2,2263221,3
International Coalition to Ban Uranium Weapons,International NGO,1,793520,1
International Commission against the Death Penalty - ICDP,,1,427350,1
International Commission of Jurists,International NGO,1,408466,1
International Committee of the Red Cross,,42,4299064769,70
International Council of Voluntary Agencies,International NGO,6,3954547,1
International Council on Human Rights Policy,,1,290467,1
International Criminal Court,,1,1343162,2
International Crisis Group,International NGO,1,904523,1
International Dalit Solidarity Network,International NGO,1,166834,1
International Dispensary Association,,1,294284,1
International Emergency and Development Aid,,2,3969926,2
International Emergency and Development Aid Relief,International NGO,1,4172127,1
International Federation of Human Rights,International NGO,1,1330728,1
International Federation of Journalists,,1,1230251,2
International Federation of Red Cross and Red Crescent Societies,,119,676398882,100
International Health Partners,International NGO,3,692957,3
International Humanitarian City,,1,648519,1
International Humanitarian Fact-Finding Commission,,1,15874,1
International Humanitarian Partnership,,2,1526748,2
International Initiative for Impact Evaluation (3ie),,2,608631,2
International Institute for Democracy and Electoral Assistance - International IDEA,,1,20600246,2
International Institute of Humanitarian Law,Undefined,1,343870,1
International Islamic Charitable Organization,SINGO,2,6000000,3
International Islamic Relief Organization,SINGO,1,5889,1
International Labour Organization,,10,14376471,6
International Law and Policy Institute,,1,971252,2
International Lifeline Fund,,1,451413,1
International Media Support,International NGO,5,5318516,4
International Medical Corps,International NGO,25,260684731,30
International Medical Corps UK,International NGO,7,83494500,19
International Movement ATD Fourth World,International NGO,1,152956,1
International NGO Safety Organisation,International NGO,4,2594330,6
International Organization for Migration,,57,1764270351,74
International Orthodox Christian Charities,International NGO,5,9172663,4
International Peace and Cooperation Center (IPCC),,1,427769,1
International Planned Parenthood Federation,International NGO,2,737805,8
International Planned Parenthood Federation Western Hemisphere Region ,,1,500000,1
International Potato Center,,1,1800000,1
International Press Institute,,1,300155,1
International Procurement Agency,,1,6350529,1
International Rehabilitation Council of Tortured Victims,,1,683232,1
International Relief and Development,International NGO,6,63050267,16
International Renaissance Foundation,,1,68776,1
International Rescue Committee,International NGO,23,464094776,34
International Resources Group,,1,50139563,2
International Security Sector Advisory Team,,1,265252,1
International Service for Human Rights,International NGO,1,1594475,1
International Strategy for Disaster Reduction,,14,63214491,8
International Talk Network Ltd,,1,288779,1
International Telecommunications Union,,1,126300,1
International Trust Fund for Demining and Victim Assistance ,International NGO,2,6542975,5
International Volunteer Center of Yamagata,International NGO,1,423454,1
International Work Group for Indigenous Affairs,International NGO,1,1493933,2
Internews Europe,International NGO,7,4755975,7
Internews Network,International NGO,3,1249846,3
Interpeace,,1,66312,2
INTERSOS,International NGO,10,36693238,13
"Interstate Products, Inc",,1,39591,1
IPYS - Instituto Prensa y Sociedad,,1,25641,1
Iqra Cultural Center,,1,2714,1
"IRIS KIM, Inc.",,1,1267434,3
Irish Red Cross Society,,2,3066378,1
irshad and islah society lebanon,National NGO,1,980920,1
Islamic Center Society,Undefined,1,490535,2
Islamic Commission of Care,,1,305472,1
Islamic Help,International NGO,1,294079,1
Islamic Relief Pakistan,Affiliated National NGO,3,2612394,1
Islamic Relief Worldwide,SINGO,17,127967496,23
ISS - Institute for Security Studies,,1,155556,1
Italian Red Cross,,1,714088,1
JAFS,,1,96495,1
Jamaica Red Cross,,1,9611,1
Japan Actions for Relief Center,,1,98288,1
Japan Agency for Development and Emergency,International NGO,1,641471,2
Japan America Society of Southern California,,1,570000,1
Japan Asian Association and Asian Friendship Society,International NGO,1,49084,1
Japan Association for Refugees,National NGO,1,11143,1
Japan Center for Conflict Prevention,International NGO,1,585817,1
Japan Emergency NGO,International NGO,4,10128690,5
Japan International Cooperation Agency,,1,254652,2
Japan Society,,1,2166498,1
Japanese NGOs,Undefined,1,4910000,2
Japanese Red Cross Society,,51,529401068,2
Japanese Society of Georgia,,1,0,1
JASMAR Human Security Organization,National NGO,1,750667,1
Jesuit Refugee Service,International NGO,6,6414653,10
JHPIEGO,,2,2839287,2
Jmaaiat Al ayadi Albaidaa - Lebanon,,1,768495,1
Johanniter Unfallhilfe e.V.,International NGO,5,37124701,21
John Dau Foundation,International NGO,1,70000,1
John Hopkins Center for Communication Programs,,1,7288500,1
"John S Connor, Inc",,1,304025,3
John Snow International,Undefined,1,3164720,1
Joint IDP Profiling Service,,1,856604,1
Joint Mine Action Coordination Team,Undefined,1,0,1
Joint Research Centre,,1,307582,1
Joint Standards Initiative,,1,57531,1
Jordan Engineering Association,,1,289617,1
Jordan Hashemite Charity Organization,SINGO,4,2903049,1
Jordan Health Aid Society,SINGO,3,10075889,1
Jordan National Red Crescent Society,,2,609161,2
JPF - Japan Platform,International NGO,2,8054526,1
Juba Shine,,1,522340,1
Jubaland Development Organization,National NGO,1,326700,1
Jubbalandese Charity Centre,SINGO,3,5237855,1
JUPEDEC (United Youth for the Protection of the Environment and Community Development),National NGO,1,3360800,1
Juridisk rådgivning for kvinner,,1,2559,1
Just Peace Initiatives,National NGO,1,100066,1
KAALO Relief and Development Organisation,SINGO,1,255187,1
Kabakabiya Smallhoders Charitable Society,,1,124998,1
Kadugli Interfaith Coalition,,1,39400,1
KAFA,National NGO,1,34452,1
Kanz Humanitarian organization,Undefined,1,227653,1
Karda Systems,,1,101499,1
Karuna Hpaan,,1,202588,1
Karuna Myanmar Social Services,,1,1021126,1
Karuna Taungngu,,1,41783,1
Kenya Community Sports Foundation,,1,147181,1
Kenyan Red Cross Society,,6,3998300,1
Kher Khegara Tanzeem,Local NGOs,1,210417,1
Khuram and Sarbagh Rehabilitation Organization,,1,299103,1
Khushal Awareness and Development Organization,Local NGOs,1,314123,1
Kids in Distressed Situations,,2,131000,1
Kimse Yok Mu Solidarity Foundation,,1,37735774,83
Kindernothilfe e.V.,International NGO,1,5549248,6
Kings College London,,1,272991,1
KISIMA Peace and Development Organization,,1,872563,1
Kissito Healthcare International,,3,873815,1
Kohsar Welfare and Educational Society,National NGO,1,310038,1
Komitee Cap Anamur,International NGO,2,1185280,2
Kompetansesenteret for urfolksrettigheter,,1,1632892,1
Kuehne & Nagel,,2,96222,4
Kurdish Human Rights Project,,1,183385,1
Kurdistan Reconstruction and Development Society,National NGO,1,498302,1
Kuwait Red Crescent Society,,2,29740307,14
Kuwaiti Patients Helping Fund,,1,840526,1
La Asociación Minga,Undefined,1,117332,1
La chaine de l'espoir,International NGO,2,3215900,2
Labena Organization for Women Development Aid Capacity Building,Undefined,2,364085,2
Lacha Community and Economic Development,National NGO,1,547150,1
LAG - Latin-Amerikagruppene i Norge,International NGO,1,16171,1
Lambi Fund of Haiti,,2,34963,1
Lamset Shifa,National NGO,1,124422,1
Land O'Lakes,,1,7970792,3
Land Research Center ,,1,428158,2
Landmine Action,International NGO,1,3954805,3
Landmine Survivors Initiatives,National NGO,1,172475,1
LandsAid e.V.,International NGO,1,391311,1
Landsforeningen for lesbisk og homofil frigjøring,,1,2503605,2
"Landsorganisasjonen i Norge, internasj. sekret.",,1,17253,1
Las Qorey Concern,National NGO,1,314060,1
Latter-Day Saint Charities,,1,10145624,13
Latvian Red Cross,,1,187765,1
Lay Volunteers International Association,International NGO,1,397966,1
Lead Against Marginality and Poverty,National NGO,1,249973,1
Lead Development Agency,Undefined,1,144733,1
"Leadership, Management and Sustainability Program",,1,185000,1
Lebanese Association for Development Al Majmoua,,1,50000,1
Lebanese Association for Popular Action,National NGO,5,2149342,2
Lebanese Institute for Democracy and Human Rights,National NGO,1,67047,1
Lebanese Red Cross,,2,5737025,2
Lebanon Support,National NGO,1,77386,1
Les Amis du Liban,,1,12987,1
Les Amis du Tibet,,1,34014,1
Les Sarments de Lavaux,,1,84835,1
Liberia WASH Consortium,,1,680272,1
Liberian Red Cross Society,,2,277000,1
Libya Red Crescent,,1,60644,1
LIDEAS DRC,,1,197137,1
Life and Peace Institute,,1,267553,1
Life for Relief and Development,International NGO,3,667283,3
Life for Syria,,1,65189,1
Light for the World,International NGO,1,795129,2
Lions Clubs International Foundation,,1,89700,1
Local Action Organization,National NGO,1,175769,1
Logenix,,1,165233,2
LPDS - Dr. Soetomo Press Institute,,1,209677,1
LSQC,,1,147965,1
Ludwig Boltzmann Institute of Human Rights,,1,114643,1
Lutherian World Fund,International NGO,1,276516,1
Luxembourg Red Cross,,1,8255218,26
Ma'an,,1,373687,1
MA'AN Development Center,,1,951866,1
Maarouf Saad Social and Cultural Foundation,,1,271555,1
MAB Consulting,,1,368439,1
MADERA,International NGO,3,1835964,1
Madrasati Initiative,,2,768450,1
Magna Deti v nudzi [Magna Children at Risk],International NGO,1,600351,1
Majulah Indonesia Tanah Airku,,1,99979,1
Makassed Philanthropic Islamic Association of Beirut,National NGO,1,100000,1
Malagasy Red Cross Society,,2,234590,1
Malaria Consortium,International NGO,1,3223640,2
Malawi Red Cross Society,,1,29851,1
Mali Red Cross,,2,129681,1
Malteser International,International NGO,9,71553242,21
Management Sciences for Health,International NGO,1,1125617,2
Management Systems International,,1,1100000,1
Mani Tese,International NGO,1,507838,1
Manitoba Council for International Co-operation,,1,96339,1
MAPACT,,1,109596,1
MapAction,International NGO,1,0,1
Marie Stopes International,International NGO,1,545760,1
Marshall Legacy Institute,,1,469500,1
Masar,Undefined,1,67047,1
Mavambo Orphan Care,National NGO,1,70000,1
MAXIMUS,,1,90000,1
MEDAIR,International NGO,19,136148731,13
Médecins d'Afrique,International NGO,2,4197942,2
Médecins du Monde,International NGO,10,60160206,24
Médecins du Monde Belgium,International NGO,6,19264699,3
Médecins du Monde Canada,International NGO,6,5825286,2
Médecins du Monde France,International NGO,8,31181278,16
Médecins du Monde Greece,International NGO,1,1742142,1
Médecins du Monde Suisse,International NGO,1,652750,1
Médecins sans Frontières,International NGO,48,438497091,42
Médecins sans Frontières - Belgium,International NGO,4,51515531,13
Médecins sans Frontières - Canada,International NGO,1,1243427,2
Médecins sans Frontières - France,International NGO,1,25419898,10
Médecins sans Frontières - Luxembourg,International NGO,1,2281412,4
Médecins sans Frontières - Netherlands,International NGO,3,48048222,13
Médecins sans Frontières - Norway,International NGO,1,15444868,10
Médecins sans Frontières - Switzerland,International NGO,5,45500799,16
MEDECO,,1,38673,1
Media Frontiers,Undefined,1,481656,1
Media21,,1,166987,1
Medica Mondiale,International NGO,1,83247,1
Medical Aid for Palestinians,International NGO,5,1789028,2
Medical Emergency Relief International,International NGO,13,145756303,24
Medical Teams International,International NGO,7,4689836,5
Medico International,International NGO,4,24309734,5
Medicos del Mundo,International NGO,4,5105983,5
Medicos del Mundo Argentina,International NGO,2,383539,2
Medicos do Mundo,International NGO,1,443286,1
Medicos sin Fronteras,International NGO,2,23794429,10
Medicus Mundi,International NGO,2,3373571,3
Medina,,1,21505,1
Medishare,,2,450000,1
Meds & Food for Kids,International NGO,1,280000,1
Medshare,International NGO,3,200000,2
MEMISA - Action médicale missionnaire ,International NGO,2,2990348,3
Mennonite Central Committee,International NGO,3,671973,3
Mentor Initiative,International NGO,3,18591939,6
Mercy-USA for Aid and Development,International NGO,1,2318087,1
MERCY - USA FOR AID AND DEVELOPMENT,,2,4503812,3
Mercy Corps ,International NGO,24,304597735,35
Mercy Corps Scotland,International NGO,2,21510624,9
Mercy Malaysia,SINGO,1,646000,1
Mercy Relief,SINGO,1,100000,1
Merove-Pierre Et Associes,,1,672916,1
Merrill Lynch ,,1,219986,1
Merti Integrated Development Programme,Local NGOs,1,199946,1
Meteorologisk Institutt,,1,1820636,1
Metta Foundation,,2,514945,1
Mexican Red Cross,,1,150000,1
Midwest Canvas Corporation,,1,43750,1
Mildmay,International NGO,1,112929,1
Milinda Moragoda institute for people's empowerment,,1,882825,1
Millennium Promise Japan,International NGO,1,48626,1
Millennium Relief and Development,International NGO,1,978930,1
Mine Action Group,,7,7908330,6
Mine Action Programme for Afghanistan,,24,93107048,1
Mine Clearance and Planning Agency,SINGO,1,1000000,1
Mine Detection Centre,,2,5429829,1
Mines Advisory Group,International NGO,14,34262608,13
Mingalar Myanmar,National NGO,1,25000,1
Minority Rights Group International,International NGO,1,898200,1
MINUSTAH,,1,0,1
MIR - MUXO Impact Relief,,1,1359731,1
MISOLA,International NGO,1,391134,1
"Mission 21, Basle",,1,540602,1
Mission am Nill,,1,245622,1
