Region,District,Sector/MDA/MMDA,Central GOG and CF: Comp of Emp,Central GOG and CF: Goods/Service,Central GOG and CF: Assets (Capital),Central GOG and CF: Total,IGF: Comp of Emp,IGF: Goods/Service,IGF: Assets (Capital),IGF: Total,Funds/Others: Comp of Emp,Funds/Others: Goods/Service,Funds/Others: Assets (Capital),Funds/Others: Total,Donor: Comp of Emp,Donor: Goods/Service,Donor: Assets (Capital),Donor: Total,Grand Total Less NREG / Statutory
Ashanti Region,Ahafo_Ano_North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_North,Transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_North,Disaster Prevention,0,"10,000",0,"10,000",0,0,0,0,0,0,0,0,0,0,0,0,"10,000"
Ashanti Region,Ahafo_Ano_North,,0,"10,000",0,"10,000",0,0,0,0,0,0,0,0,0,0,0,0,"10,000"
Ashanti Region,Ahafo_Ano_North,Urban Roads,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_North,Birth and Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_South,Multi Sectoral,"1,700,438","1,347,019","1,283,917","4,331,375","13,865","366,613","40,000","420,478",0,0,0,"212,000",0,"509,338","1,236,574","1,745,912","6,709,765"
Ashanti Region,Ahafo_Ano_South,Ahafo Ano South District - Mankranso,"1,700,438","1,347,019","1,283,917","4,331,375","13,865","366,613","40,000","420,478",0,0,0,"212,000",0,"509,338","1,236,574","1,745,912","6,709,765"
Ashanti Region,Ahafo_Ano_South,Central Administration,"718,083","837,559","102,500","1,658,142","13,865","358,613",0,"372,478",0,0,0,0,0,"84,710",0,"84,710","2,115,331"
Ashanti Region,Ahafo_Ano_South,Administration (Assembly Office),"718,083","837,559","102,500","1,658,142","13,865","358,613",0,"372,478",0,0,0,0,0,"84,710",0,"84,710","2,115,331"
Ashanti Region,Ahafo_Ano_South,Sub-Metros Administration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_South,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_South,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_South,"Education, Youth and Sports",0,"86,475","765,000","851,475",0,0,"40,000","40,000",0,0,0,0,0,"391,853","908,064","1,299,917","2,191,392"
Ashanti Region,Ahafo_Ano_South,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_South,Education,0,"86,475","765,000","851,475",0,0,"40,000","40,000",0,0,0,0,0,"391,853","908,064","1,299,917","2,191,392"
Ashanti Region,Ahafo_Ano_South,Sports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_South,Youth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_South,Health,"172,146","153,237","130,000","455,383",0,"8,000",0,"8,000",0,0,0,"212,000",0,0,"170,000","170,000","845,383"
Ashanti Region,Ahafo_Ano_South,Office of District Medical Officer of Health,0,"53,237",0,"53,237",0,0,0,0,0,0,0,0,0,0,"60,000","60,000","113,237"
Ashanti Region,Ahafo_Ano_South,Environmental Health Unit,"172,146","100,000","130,000","402,146",0,"8,000",0,"8,000",0,0,0,"212,000",0,0,"110,000","110,000","732,146"
Ashanti Region,Ahafo_Ano_South,Hospital services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_South,Waste Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_South,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_South,Agriculture,"441,463","65,726",0,"507,189",0,0,0,0,0,0,0,0,0,"32,775",0,"32,775","539,964"
Ashanti Region,Ahafo_Ano_South,,"441,463","65,726",0,"507,189",0,0,0,0,0,0,0,0,0,"32,775",0,"32,775","539,964"
Ashanti Region,Ahafo_Ano_South,Physical Planning,"43,098","22,905","100,162","166,165",0,0,0,0,0,0,0,0,0,0,0,0,"166,165"
Ashanti Region,Ahafo_Ano_South,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_South,Town and Country Planning,"43,098","22,905","100,162","166,165",0,0,0,0,0,0,0,0,0,0,0,0,"166,165"
Ashanti Region,Ahafo_Ano_South,Parks and Gardens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_South,Social Welfare & Community Development,"179,100","101,973",0,"281,073",0,0,0,0,0,0,0,0,0,0,0,0,"281,073"
Ashanti Region,Ahafo_Ano_South,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_South,Social Welfare,"48,438","83,117",0,"131,555",0,0,0,0,0,0,0,0,0,0,0,0,"131,555"
Ashanti Region,Ahafo_Ano_South,Community Development,"130,662","18,856",0,"149,518",0,0,0,0,0,0,0,0,0,0,0,0,"149,518"
Ashanti Region,Ahafo_Ano_South,Natural Resource Conservation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_South,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_South,Works,"130,414","19,144","186,255","335,813",0,0,0,0,0,0,0,0,0,0,"158,510","158,510","494,323"
Ashanti Region,Ahafo_Ano_South,Office of Departmental Head,0,"11,853",0,"11,853",0,0,0,0,0,0,0,0,0,0,0,0,"11,853"
Ashanti Region,Ahafo_Ano_South,Public Works,"99,422",0,0,"99,422",0,0,0,0,0,0,0,0,0,0,"158,510","158,510","257,932"
Ashanti Region,Ahafo_Ano_South,Water,"16,409",0,0,"16,409",0,0,0,0,0,0,0,0,0,0,0,0,"16,409"
Ashanti Region,Ahafo_Ano_South,Feeder Roads,"14,583","7,292","186,255","208,130",0,0,0,0,0,0,0,0,0,0,0,0,"208,130"
Ashanti Region,Ahafo_Ano_South,Rural Housing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_South,"Trade, Industry and Tourism","16,135","10,000",0,"26,135",0,0,0,0,0,0,0,0,0,0,0,0,"26,135"
Ashanti Region,Ahafo_Ano_South,Office of Departmental Head,0,"10,000",0,"10,000",0,0,0,0,0,0,0,0,0,0,0,0,"10,000"
Ashanti Region,Ahafo_Ano_South,Trade,"16,135",0,0,"16,135",0,0,0,0,0,0,0,0,0,0,0,0,"16,135"
Ashanti Region,Ahafo_Ano_South,Cottage Industry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_South,Tourism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_South,Budget and Rating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_South,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_South,Legal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_South,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_South,Transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_South,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_South,Disaster Prevention,0,"50,000",0,"50,000",0,0,0,0,0,0,0,0,0,0,0,0,"50,000"
Ashanti Region,Ahafo_Ano_South,,0,"50,000",0,"50,000",0,0,0,0,0,0,0,0,0,0,0,0,"50,000"
Ashanti Region,Ahafo_Ano_South,Urban Roads,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_South,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_South,Birth and Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo_Ano_South,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_Central,Multi Sectoral,"946,709","1,865,904","1,332,137","4,144,750","60,012","344,620","53,315","457,947",0,0,0,0,0,"42,720","437,227","479,947","5,082,644"
Ashanti Region,Amansie_Central,Amansie Central District - Jacobu,"946,709","1,865,904","1,332,137","4,144,750","60,012","344,620","53,315","457,947",0,0,0,0,0,"42,720","437,227","479,947","5,082,644"
Ashanti Region,Amansie_Central,Central Administration,"381,630","591,531","40,000","1,013,161","60,012","343,620",0,"403,632",0,0,0,0,0,"42,720",0,"42,720","1,459,513"
Ashanti Region,Amansie_Central,Administration (Assembly Office),"381,630","591,531","40,000","1,013,161","60,012","343,620",0,"403,632",0,0,0,0,0,"42,720",0,"42,720","1,459,513"
Ashanti Region,Amansie_Central,Sub-Metros Administration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_Central,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_Central,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_Central,"Education, Youth and Sports",0,"763,753","295,000","1,058,753",0,0,"53,315","53,315",0,0,0,0,0,0,"270,000","270,000","1,382,068"
Ashanti Region,Amansie_Central,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_Central,Education,0,"753,753","295,000","1,048,753",0,0,"53,315","53,315",0,0,0,0,0,0,"270,000","270,000","1,372,068"
Ashanti Region,Amansie_Central,Sports,0,"10,000",0,"10,000",0,0,0,0,0,0,0,0,0,0,0,0,"10,000"
Ashanti Region,Amansie_Central,Youth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_Central,Health,"84,691","231,832","96,000","412,523",0,"1,000",0,"1,000",0,0,0,0,0,0,"167,227","167,227","580,750"
Ashanti Region,Amansie_Central,Office of District Medical Officer of Health,0,"19,832",0,"19,832",0,"1,000",0,"1,000",0,0,0,0,0,0,"135,000","135,000","155,832"
Ashanti Region,Amansie_Central,Environmental Health Unit,"84,691","212,000","96,000","392,691",0,0,0,0,0,0,0,0,0,0,"32,227","32,227","424,918"
Ashanti Region,Amansie_Central,Hospital services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_Central,Waste Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_Central,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_Central,Agriculture,"322,373","103,065",0,"425,438",0,0,0,0,0,0,0,0,0,0,0,0,"425,438"
Ashanti Region,Amansie_Central,,"322,373","103,065",0,"425,438",0,0,0,0,0,0,0,0,0,0,0,0,"425,438"
Ashanti Region,Amansie_Central,Physical Planning,"15,952","72,904",0,"88,856",0,0,0,0,0,0,0,0,0,0,0,0,"88,856"
Ashanti Region,Amansie_Central,Office of Departmental Head,0,"72,904",0,"72,904",0,0,0,0,0,0,0,0,0,0,0,0,"72,904"
Ashanti Region,Amansie_Central,Town and Country Planning,"15,952",0,0,"15,952",0,0,0,0,0,0,0,0,0,0,0,0,"15,952"
Ashanti Region,Amansie_Central,Parks and Gardens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_Central,Social Welfare & Community Development,"83,984","81,789",0,"165,773",0,0,0,0,0,0,0,0,0,0,0,0,"165,773"
Ashanti Region,Amansie_Central,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_Central,Social Welfare,"38,758","72,930",0,"111,689",0,0,0,0,0,0,0,0,0,0,0,0,"111,689"
Ashanti Region,Amansie_Central,Community Development,"45,226","8,859",0,"54,085",0,0,0,0,0,0,0,0,0,0,0,0,"54,085"
Ashanti Region,Amansie_Central,Natural Resource Conservation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_Central,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_Central,Works,"58,079","1,031","901,137","960,247",0,0,0,0,0,0,0,0,0,0,0,0,"960,247"
Ashanti Region,Amansie_Central,Office of Departmental Head,"58,079",0,"550,663","608,742",0,0,0,0,0,0,0,0,0,0,0,0,"608,742"
Ashanti Region,Amansie_Central,Public Works,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_Central,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_Central,Feeder Roads,0,"1,031","350,474","351,505",0,0,0,0,0,0,0,0,0,0,0,0,"351,505"
Ashanti Region,Amansie_Central,Rural Housing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_Central,"Trade, Industry and Tourism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_Central,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_Central,Trade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_Central,Cottage Industry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_Central,Tourism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_Central,Budget and Rating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_Central,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_Central,Legal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_Central,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_Central,Transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_Central,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_Central,Disaster Prevention,0,"20,000",0,"20,000",0,0,0,0,0,0,0,0,0,0,0,0,"20,000"
Ashanti Region,Amansie_Central,,0,"20,000",0,"20,000",0,0,0,0,0,0,0,0,0,0,0,0,"20,000"
Ashanti Region,Amansie_Central,Urban Roads,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_Central,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_Central,Birth and Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_Central,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_West,Multi Sectoral,"1,108,158","2,188,594","1,272,992","4,569,744",0,"322,992","40,000","362,992",0,0,0,0,0,"125,349","573,882","699,231","5,631,968"
Ashanti Region,Amansie_West,Amansie West District - Manso Nkwanta,"1,108,158","2,188,594","1,272,992","4,569,744",0,"322,992","40,000","362,992",0,0,0,0,0,"125,349","573,882","699,231","5,631,968"
Ashanti Region,Amansie_West,Central Administration,"316,086","667,266","354,512","1,337,864",0,"322,992","40,000","362,992",0,0,0,0,0,"42,720","573,882","616,602","2,317,458"
Ashanti Region,Amansie_West,Administration (Assembly Office),"316,086","667,266","354,512","1,337,864",0,"322,992","40,000","362,992",0,0,0,0,0,"42,720","573,882","616,602","2,317,458"
Ashanti Region,Amansie_West,Sub-Metros Administration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_West,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_West,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_West,"Education, Youth and Sports",0,"709,257","768,480","1,477,738",0,0,0,0,0,0,0,0,0,"50,000",0,"50,000","1,527,738"
Ashanti Region,Amansie_West,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_West,Education,0,"709,257","768,480","1,477,738",0,0,0,0,0,0,0,0,0,"50,000",0,"50,000","1,527,738"
Ashanti Region,Amansie_West,Sports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_West,Youth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_West,Health,"92,368","43,204",0,"135,572",0,0,0,0,0,0,0,0,0,0,0,0,"135,572"
Ashanti Region,Amansie_West,Office of District Medical Officer of Health,0,"23,204",0,"23,204",0,0,0,0,0,0,0,0,0,0,0,0,"23,204"
Ashanti Region,Amansie_West,Environmental Health Unit,"92,368","20,000",0,"112,368",0,0,0,0,0,0,0,0,0,0,0,0,"112,368"
Ashanti Region,Amansie_West,Hospital services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_West,Waste Management,0,"212,000",0,"212,000",0,0,0,0,0,0,0,0,0,0,0,0,"212,000"
Ashanti Region,Amansie_West,,0,"212,000",0,"212,000",0,0,0,0,0,0,0,0,0,0,0,0,"212,000"
Ashanti Region,Amansie_West,Agriculture,"363,917","36,561",0,"400,478",0,0,0,0,0,0,0,0,0,"32,629",0,"32,629","433,107"
Ashanti Region,Amansie_West,,"363,917","36,561",0,"400,478",0,0,0,0,0,0,0,0,0,"32,629",0,"32,629","433,107"
Ashanti Region,Amansie_West,Physical Planning,0,"3,147",0,"3,147",0,0,0,0,0,0,0,0,0,0,0,0,"3,147"
Ashanti Region,Amansie_West,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_West,Town and Country Planning,0,"3,147",0,"3,147",0,0,0,0,0,0,0,0,0,0,0,0,"3,147"
Ashanti Region,Amansie_West,Parks and Gardens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_West,Social Welfare & Community Development,"123,437","76,963",0,"200,400",0,0,0,0,0,0,0,0,0,0,0,0,"200,400"
Ashanti Region,Amansie_West,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_West,Social Welfare,"18,951","76,963",0,"95,914",0,0,0,0,0,0,0,0,0,0,0,0,"95,914"
Ashanti Region,Amansie_West,Community Development,"104,487",0,0,"104,487",0,0,0,0,0,0,0,0,0,0,0,0,"104,487"
Ashanti Region,Amansie_West,Natural Resource Conservation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_West,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_West,Works,"67,752","420,196","150,000","637,948",0,0,0,0,0,0,0,0,0,0,0,0,"637,948"
Ashanti Region,Amansie_West,Office of Departmental Head,"67,752","34,000","150,000","251,752",0,0,0,0,0,0,0,0,0,0,0,0,"251,752"
Ashanti Region,Amansie_West,Public Works,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_West,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_West,Feeder Roads,0,"386,196",0,"386,196",0,0,0,0,0,0,0,0,0,0,0,0,"386,196"
Ashanti Region,Amansie_West,Rural Housing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_West,"Trade, Industry and Tourism","47,802",0,0,"47,802",0,0,0,0,0,0,0,0,0,0,0,0,"47,802"
Ashanti Region,Amansie_West,Office of Departmental Head,"47,802",0,0,"47,802",0,0,0,0,0,0,0,0,0,0,0,0,"47,802"
Ashanti Region,Amansie_West,Trade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_West,Cottage Industry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_West,Tourism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_West,Budget and Rating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_West,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_West,Legal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_West,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_West,Transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_West,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_West,Disaster Prevention,"96,795","20,000",0,"116,795",0,0,0,0,0,0,0,0,0,0,0,0,"116,795"
Ashanti Region,Amansie_West,,"96,795","20,000",0,"116,795",0,0,0,0,0,0,0,0,0,0,0,0,"116,795"
Ashanti Region,Amansie_West,Urban Roads,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_West,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_West,Birth and Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Amansie_West,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Asante_Akim_Central,Multi Sectoral,"2,140,675","3,635,449","1,805,579","7,581,703","119,328","452,520","110,000","681,848",0,0,0,0,0,"199,090","1,016,753","1,215,843","9,479,394"
Ashanti Region,Asante_Akim_Central,Asante Akim Central Municipal - Konongo,"2,140,675","3,635,449","1,805,579","7,581,703","119,328","452,520","110,000","681,848",0,0,0,0,0,"199,090","1,016,753","1,215,843","9,479,394"
Ashanti Region,Asante_Akim_Central,Central Administration,"714,249","2,858,722","966,376","4,539,348","119,328","449,120","110,000","678,448",0,0,0,0,0,"42,720","576,753","619,473","5,837,269"
Ashanti Region,Asante_Akim_Central,Administration (Assembly Office),"714,249","2,858,722","966,376","4,539,348","119,328","449,120","110,000","678,448",0,0,0,0,0,"42,720","576,753","619,473","5,837,269"
Ashanti Region,Asante_Akim_Central,Sub-Metros Administration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Asante_Akim_Central,Finance,"289,580",0,0,"289,580",0,0,0,0,0,0,0,0,0,0,0,0,"289,580"
Ashanti Region,Asante_Akim_Central,,"289,580",0,0,"289,580",0,0,0,0,0,0,0,0,0,0,0,0,"289,580"
Ashanti Region,Asante_Akim_Central,"Education, Youth and Sports",0,"457,303","647,000","1,104,303",0,0,0,0,0,0,0,0,0,0,"140,000","140,000","1,244,303"
Ashanti Region,Asante_Akim_Central,Office of Departmental Head,0,"457,303","647,000","1,104,303",0,0,0,0,0,0,0,0,0,0,"140,000","140,000","1,244,303"
Ashanti Region,Asante_Akim_Central,Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Asante_Akim_Central,Sports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Asante_Akim_Central,Youth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Asante_Akim_Central,Health,"282,246","67,914","50,000","400,160",0,0,0,0,0,0,0,0,0,0,0,0,"400,160"
Ashanti Region,Asante_Akim_Central,Office of District Medical Officer of Health,0,"67,914","50,000","117,914",0,0,0,0,0,0,0,0,0,0,0,0,"117,914"
Ashanti Region,Asante_Akim_Central,Environmental Health Unit,"282,246",0,0,"282,246",0,0,0,0,0,0,0,0,0,0,0,0,"282,246"
Ashanti Region,Asante_Akim_Central,Hospital services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Asante_Akim_Central,Waste Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Asante_Akim_Central,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Asante_Akim_Central,Agriculture,"352,094","148,390",0,"500,483",0,"3,200",0,"3,200",0,0,0,0,0,"16,370",0,"16,370","520,053"
Ashanti Region,Asante_Akim_Central,,"352,094","148,390",0,"500,483",0,"3,200",0,"3,200",0,0,0,0,0,"16,370",0,"16,370","520,053"
Ashanti Region,Asante_Akim_Central,Physical Planning,"133,561","42,664",702,"176,926",0,200,0,200,0,0,0,0,0,0,0,0,"177,126"
Ashanti Region,Asante_Akim_Central,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Asante_Akim_Central,Town and Country Planning,"109,442","42,664",702,"152,808",0,200,0,200,0,0,0,0,0,0,0,0,"153,008"
Ashanti Region,Asante_Akim_Central,Parks and Gardens,"24,119",0,0,"24,119",0,0,0,0,0,0,0,0,0,0,0,0,"24,119"
Ashanti Region,Asante_Akim_Central,Social Welfare & Community Development,"214,094","45,455","2,500","262,050",0,0,0,0,0,0,0,0,0,"20,000",0,"20,000","282,050"
Ashanti Region,Asante_Akim_Central,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Asante_Akim_Central,Social Welfare,"89,672","33,853",0,"123,525",0,0,0,0,0,0,0,0,0,"20,000",0,"20,000","143,525"
Ashanti Region,Asante_Akim_Central,Community Development,"124,422","11,602","2,500","138,525",0,0,0,0,0,0,0,0,0,0,0,0,"138,525"
Ashanti Region,Asante_Akim_Central,Natural Resource Conservation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Asante_Akim_Central,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Asante_Akim_Central,Works,"154,851",0,"139,000","293,851",0,0,0,0,0,0,0,0,0,"120,000","300,000","420,000","713,851"
Ashanti Region,Asante_Akim_Central,Office of Departmental Head,"91,402",0,"109,000","200,402",0,0,0,0,0,0,0,0,0,"120,000",0,"120,000","320,402"
Ashanti Region,Asante_Akim_Central,Public Works,"63,449",0,0,"63,449",0,0,0,0,0,0,0,0,0,0,0,0,"63,449"
Ashanti Region,Asante_Akim_Central,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Asante_Akim_Central,Feeder Roads,0,0,"30,000","30,000",0,0,0,0,0,0,0,0,0,0,"300,000","300,000","330,000"
Ashanti Region,Asante_Akim_Central,Rural Housing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Asante_Akim_Central,"Trade, Industry and Tourism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Asante_Akim_Central,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Asante_Akim_Central,Trade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
