sch_name,lea_name,year,address,geocodingURL,contact,phone,accredit,sch_core_uq,lea_core_uq,st_core_uq,lea_prov_tch,lea_prov_sped_tch,st_prov_tch,st_prov_sped_tch,sch_bach,sch_mast,sch_phd,lea_bach,lea_mast,lea_phd,st_bach,st_mast,st_phd,sch_prov_tch,sch_prov_sped_tch,eid,street,city,state,country,title1_p,title1_f,combokey,nces_school_id,leaid,schid,sch_address,sch_city,sch_zip,jj,prek,k,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,ug,sp_ed,mg_sch,charter_sch,alt_sch,ab_group,mg_sch2,alt_acd_dif,alt_disc_prob,alt_other,gte_program,provide_ap,num_ap_courses,student_ap_choice,m_ame_7_enrol,m_asi_7_enrol,m_his_7_enrol,m_bla_7_enrol,m_whi_7_enrol,m_hi_pac_7_enrol,m_2_or_more_7_enrol,m_tot_7_enrol,m_dis_idea_7_enrol,m_dis_504_7_enrol,m_lep_7_enrol,f_ame_7_enrol,f_asi_7_enrol,f_his_7_enrol,f_bla_7_enrol,f_whi_7_enrol,f_hi_pac_7_enrol,f_2_or_more_7_enrol,f_tot_7_enrol,f_dis_idea_7_enrol,f_dis_504_7_enrol,f_lep_7_enrol,tot_fte,fte_cert,teach_1st_yr,teach_2nd_yr,counsel,tot_enroll,m_perc,f_perc,ame_tot,asi_tot,his_tot,bla_tot,whi_tot,hi_pac_tot,more_tot,dis_504_tot,lep_tot,ame_perc,asi_perc,his_perc,bla_perc,whi_perc,hi_pac_perc,more_perc,dis_504_perc,lep_perc,teach_1st_perc,teach_2nd_perc,title_1,fte_absent,fte_teachers_fin,teach_amount,avg_teach_salary,tot_salaries,inst_salaries,expend,fte_absent_perc,read_3_score,read_4_score,read_5_score,read_6_score,read_7_score,read_8_score,read_11_score,write_5_score,write_8_score,write_11_score,math_3_score,math_4_score,math_5_score,math_6_score,math_7_score,math_8_score,alg_1_score,alg_2_score,geo_score,avg_eng_score,avg_math_score,poor_perc,blk_perc,azn_perc,wht_perc,male_perc,fem_perc,sev_dis_perc,pop5to17,pop5to17lag,pov5to17,pov5to17lag,pov_5to17_perc,pov_5to17_lag_perc,teach_3rd_higher,mastbachratio,perc_cert,logenroll,logfte,ratio,meanpov,cenpov,meanexp,cenexp,meaneduc,ceneduc,meancert,cencert,p25pov,p75pov,p25exp,p75exp,p25educ,p75educ,p25cert,p75cert,expint,educint,certint,yearid,v188
NORTHSIDE MIDDLE,NORFOLK CITY PBLC SCHS,_12,"8720 Granby St, Norfolk, VA 23503",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=8720+Granby+St%2C+Norfolk%2C+VA+23503,Principal: Dr. Mark Makovec,(757) 531-3150,Fully Accredited,0,1,1,3,0,5,1,41,57,1,43,54,1,41,56,1,3,0,296,8720 Granby St,NORFOLK,VA,USA,0,0,5.103E11,5.103E11,5102670,1120,8720 GRANBY ST,NORFOLK,23503,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,0,2,41,167,134,2,32,378,82,14,20,2,5,41,170,110,2,38,368,43,2,17,40,40,0,4,,746,50.67,49.33,2,7,82,337,244,4,70,16,37,0.27,0.94,10.99,45.17,32.71,0.54,9.38,2.14,4.96,0,10,0,9,40,1692910,42323,2465810,2017184,282476,22.5,,,,470,459,461,,,422,,,,,421,,376,427,,422,447.4294,,64.33,43.95,1.27,33.76,50.57,49.43,11.59,33753,33886,9030,9389,26.75318,0.2770761,90,1.390244,100,6.614726,3.688879,18.65,15.90492,10.84826,90.38022,-0.3802185,1.486381,-0.0961373,97.32459,2.675407,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,-4.124709,-1.042922,29.02351,_12,1292
ST HELENA ELEM,NORFOLK CITY PBLC SCHS,_12,"903 S Main St, Norfolk, VA 23523",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=903+S+Main+St%2C+Norfolk%2C+VA+23523,Principal: Ms. Vandelyn Hodges,(757) 494-3884,Accredited with Warning,0,1,1,3,0,5,1,52,44,0,43,54,1,41,56,1,,,276,903 S Main St,NORFOLK,VA,USA,0,0,5.103E11,5.103E11,5102670,1137,903 S MAIN ST,NORFOLK,23523,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,0,0,0,149,2,0,5,156,19,0,0,0,0,2,158,2,0,2,164,10,0,0,17,17,2,4,,320,48.75,51.25,0,0,2,307,4,0,7,0,0,0,0,0.63,95.94,1.25,0,2.19,0,0,11.76,23.53,1,4,17,780938,45938,1088846,880961,107925,23.53,436,437,440,,,,,443,,,393,386,397,,,,,,,438.9777,392.597,86.5,97.24,0,0,49.39,50.61,4.91,33753,33886,9030,9389,26.75318,0.2770761,64.71,0.8461539,100,5.768321,2.833213,18.82353,15.90492,10.84826,90.38022,-25.67022,1.486381,-0.6402273,97.32459,2.675407,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,-278.4772,-6.945352,29.02351,_12,1302
WILLOUGHBY ELEM,NORFOLK CITY PBLC SCHS,_12,"9500 4th View St, Norfolk, VA 23503",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=9500+4th+View+St%2C+Norfolk%2C+VA+23503,Principal: Ms. June Lightfoot,(757) 531-3127,Fully Accredited,0,1,1,3,0,5,1,35,65,0,43,54,1,41,56,1,5,0,279,9500 4th View St,NORFOLK,VA,USA,0,0,5.103E11,5.103E11,5102670,1146,9500 4TH VIEW ST,NORFOLK,23503,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,2,2,11,35,62,2,14,128,46,2,2,2,2,14,41,50,2,14,125,25,2,5,11,11,0,0,,253,50.59,49.41,4,4,25,76,112,4,28,4,7,1.58,1.58,9.88,30.04,44.27,1.58,11.07,1.58,2.77,0,0,1,6,11,584617,53147,984002,778422,109789,54.55,475,475,471,,,,,475,,,429,434,435,,,,,,,474.0769,432.4429,61.92,31.54,0,45,50.77,49.23,11.54,33753,33886,9030,9389,26.75318,0.2770761,100,1.857143,100,5.53339,2.397895,23,15.90492,10.84826,90.38022,9.619781,1.486381,0.3707616,97.32459,2.675407,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,104.3579,4.022118,29.02351,_12,1307
OCEAN VIEW ELEM,NORFOLK CITY PBLC SCHS,_12,"9501 Mason Creek Rd, Norfolk, VA 23503",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=9501+Mason+Creek+Rd%2C+Norfolk%2C+VA+23503,Principal: Dr. James Peterson,(757) 531-3105,Fully Accredited,0,1,1,3,0,5,1,39,61,0,43,54,1,41,56,1,3,0,334,9501 Mason Creek Rd,NORFOLK,VA,USA,0,0,5.103E11,5.103E11,5102670,1125,9501 MASON CREEK RD,NORFOLK,23503,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,5,5,32,101,107,5,32,287,34,2,5,0,5,26,101,107,2,35,276,13,2,8,27,27,2,2,,563,50.98,49.02,5,10,58,202,214,7,67,4,13,0.89,1.78,10.3,35.88,38.01,1.24,11.9,0.71,2.31,7.41,7.41,1,8,27,1200266,44454,1657274,1355659,170383,29.63,483,484,477,,,,,456,,,413,428,408,,,,,,,475.4219,416.5129,61.61,35.95,0,38.05,51.31,48.69,4.02,33753,33886,9030,9389,26.75318,0.2770761,85.18,1.564103,100,6.33328,3.295837,20.85185,15.90492,10.84826,90.38022,-5.200218,1.486381,0.0777214,97.32459,2.675407,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,-56.41331,0.8431414,29.02351,_12,1296
INGLESIDE ELEM,NORFOLK CITY PBLC SCHS,_12,"976 Ingleside Rd, Norfolk, VA 23502",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=976+Ingleside+Rd%2C+Norfolk%2C+VA+23502,Principal: Ms. Alana Balthazar,(757) 892-3270,Accredited with Warning,0,1,1,3,0,5,1,42,50,8,43,54,1,41,56,1,0,3,306,976 Ingleside Rd,NORFOLK,VA,USA,0,0,5.103E11,5.103E11,5102670,1100,976 INGLESIDE RD,NORFOLK,23502,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,2,2,8,236,26,2,14,290,37,2,2,0,5,8,224,26,2,11,276,10,2,5,27,27,0,3,,566,51.24,48.76,2,7,16,460,52,4,25,4,7,0.35,1.24,2.83,81.27,9.19,0.71,4.42,0.71,1.24,0,11.11,1,8,27,1208040,44742,1669972,1369179,180992,29.63,457,447,452,,,,,448,,,410,402,401,,,,,,,450.5217,403.7758,71.38,82.49,0,8.59,51.68,48.32,2.02,33753,33886,9030,9389,26.75318,0.2770761,88.89,1.190476,100,6.338594,3.295837,20.96296,15.90492,10.84826,90.38022,-1.490219,1.486381,-0.295905,97.32459,2.675407,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,-16.16628,-3.210054,29.02351,_12,1282
REAMS ROAD ELEM,CHESTERFIELD CO PBLC SCHS,_12,"10141 Reams Rd., North Chesterfield, VA 23236-2845",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=10141+Reams+Rd.%2C+North+Chesterfield%2C+VA+23236-2845,Principal: Jodi Seitz,(804) 674-1370,Fully Accredited,0,0,1,3,1,5,1,41,59,0,47,48,1,41,56,1,0,2,1536,10141 Reams Rd.,NORTH CHESTERFIELD,VA,USA,0,0,5.101E11,5.101E11,5100840,345,10141 REAMS RD.,RICHMOND,23236,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,2,14,41,119,125,2,11,314,100,8,32,0,14,44,92,98,2,8,258,40,5,23,31.4,31.4,1,1,,572,54.9,45.1,2,28,85,211,223,4,19,13,55,0.35,4.9,14.86,36.89,38.99,0.7,3.32,2.27,9.62,3.18,3.18,1,21,31.4,2133550,67947,3163994,2409830,23712,66.88,456,465,482,,,,,467,,,426,429,444,454,,,,,,468.0456,432.5,47.69,36.35,5.38,39.23,54.62,45.38,5.97,61694,62081,5366,5711,8.697766,0.0919927,93.64,1.439024,100,6.349139,3.446808,18.21656,15.90492,-7.207152,90.38022,3.259781,1.486381,-0.0473567,97.32459,2.675407,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,-23.49374,0.3413071,-19.28207,_12,424
GREENFIELD ELEM,CHESTERFIELD CO PBLC SCHS,_12,"10751 Savoy Rd., North Chesterfield, VA 23235-3651",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=10751+Savoy+Rd.%2C+North+Chesterfield%2C+VA+23235-3651,Principal: Mary Dunn,(804) 560-2720,Fully Accredited,0,0,1,3,1,5,1,43,55,0,47,48,1,41,56,1,0,5,1547,10751 Savoy Rd.,NORTH CHESTERFIELD,VA,USA,0,0,5.101E11,5.101E11,5100840,331,10751 SAVOY RD.,RICHMOND,23235,,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,0,23,17,41,236,2,11,330,100,2,17,0,20,29,29,227,0,14,319,31,2,26,42,40,1,0,,649,50.85,49.15,0,43,46,70,463,2,25,4,43,0,6.63,7.09,10.79,71.34,0.31,3.85,0.62,6.63,2.38,0,0,14,42,2686185,63957,3653486,2951854,30572,33.33,506,534,507,,,,,492,,,463,487,360,480,,,,,,509.1768,461.4074,20.67,10.83,7,71.83,51.5,48.5,7,61694,62081,5366,5711,8.697766,0.0919927,97.62,1.27907,95.2381,6.475433,3.73767,15.45238,15.90492,-7.207152,90.38022,7.239784,1.486381,-0.2073114,97.32459,-2.086494,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,-52.17823,1.494125,15.03768,_12,410
PROVIDENCE ELEM,CHESTERFIELD CO PBLC SCHS,_12,"11001 W. Providence Rd., North Chesterfield, VA 23236-5220",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=11001+W.+Providence+Rd.%2C+North+Chesterfield%2C+VA+23236-5220,Principal: Dr. Sharon  Rucker,(804) 674-1345,Fully Accredited,0,0,1,3,1,5,1,45,55,0,47,48,1,41,56,1,2,2,1563,11001 W. Providence Rd.,NORTH CHESTERFIELD,VA,USA,0,0,5.101E11,5.101E11,5100840,2056,11001 W. PROVIDENCE RD.,RICHMOND,23236,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,2,14,35,113,194,0,17,375,115,5,26,2,20,29,131,161,2,17,362,46,5,26,39.6,39.6,3,0,,737,50.88,49.12,4,34,64,244,355,2,34,10,52,0.54,4.61,8.68,33.11,48.17,0.27,4.61,1.36,7.06,7.58,0,1,20,39.6,2530402,63899,3699236,2907593,29527,50.51,477,482,477,,,,,451,,,449,431,419,454,,,,,,471.6194,433.625,46.72,33.44,4.22,48.91,51.88,48.13,7.51,61694,62081,5366,5711,8.697766,0.0919927,92.42,1.222222,100,6.602588,3.678829,18.61111,15.90492,-7.207152,90.38022,2.03978,1.486381,-0.264159,97.32459,2.675407,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,-14.701,1.903834,-19.28207,_12,443
W W GORDON ELEM,CHESTERFIELD CO PBLC SCHS,_12,"11701 Gordon School Rd., North Chesterfield, VA 23236-2510",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=11701+Gordon+School+Rd.%2C+North+Chesterfield%2C+VA+23236-2510,Principal: Rosemary Harris,(804) 378-2410,Fully Accredited,0,0,1,3,1,5,1,45,55,0,47,48,1,41,56,1,0,3,1556,11701 Gordon School Rd.,NORTH CHESTERFIELD,VA,USA,0,0,5.101E11,5.101E11,5100840,1835,11701 GORDON SCHOOL RD.,RICHMOND,23236,,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,0,17,14,32,293,2,14,372,100,8,14,2,11,17,17,290,2,23,362,34,2,5,39,39,1,0,,734,50.68,49.32,2,28,31,49,583,4,37,10,19,0.27,3.81,4.22,6.68,79.43,0.54,5.04,1.36,2.59,2.56,0,0,15,39,2626309,67341,3593308,2754261,32189,38.46,497,506,505,,,,,490,,,447,454,444,462,,,,,,499.5,449.2088,10.77,6.26,3.93,80.06,49.78,50.22,5.82,61694,62081,5366,5711,8.697766,0.0919927,97.44,1.222222,100,6.598509,3.663562,18.82051,15.90492,-7.207152,90.38022,7.059784,1.486381,-0.264159,97.32459,2.675407,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,-50.88094,1.903834,-19.28207,_12,437
A M DAVIS ELEM,CHESTERFIELD CO PBLC SCHS,_12,"415 S Providence Rd, North Chesterfield, VA 23236-3343",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=415+S+Providence+Rd%2C+North+Chesterfield%2C+VA+23236-3343,Principal: Dr. Rachel Foglesong,(804) 674-1310,Fully Accredited,0,0,1,3,1,5,1,47,53,0,47,48,1,41,56,1,,,1529,415 S Providence Rd,NORTH CHESTERFIELD,VA,USA,0,0,5.101E11,5.101E11,5100840,314,415 S PROVIDENCE RD,RICHMOND,23236,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,2,14,104,146,113,0,29,408,130,2,62,0,8,77,125,107,0,29,346,46,2,56,40,40,2,0,,754,54.11,45.89,2,22,181,271,220,0,58,4,118,0.27,2.92,24.01,35.94,29.18,0,7.69,0.53,15.65,5,0,1,25,40,2628416,65710,3706402,2869738,29422,62.5,452,481,464,,,,,445,,,400,437,399,436,,,,,,460.0576,411.7026,58.62,36.67,2.65,28.72,53.46,46.54,7.06,61694,62081,5366,5711,8.697766,0.0919927,95,1.12766,100,6.625392,3.688879,18.85,15.90492,-7.207152,90.38022,4.619781,1.486381,-0.3587216,97.32459,2.675407,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,-33.29547,2.585361,-19.28207,_12,394
BEULAH ELEM,CHESTERFIELD CO PBLC SCHS,_12,"4216 Beulah Rd, North Chesterfield, VA 23237-1450",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=4216+Beulah+Rd%2C+North+Chesterfield%2C+VA+23237-1450,Principal: Mary Jean Hunt,(804) 743-3620,Fully Accredited,0,0,1,3,1,5,1,44,54,0,47,48,1,41,56,1,2,2,1549,4216 Beulah Rd,NORTH CHESTERFIELD,VA,USA,0,0,5.101E11,5.101E11,5100840,317,4216 BEULAH RD,RICHMOND,23237,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,2,14,89,194,50,2,23,374,109,2,59,0,8,83,146,47,0,14,298,58,2,53,36,35,1,0,,672,55.65,44.35,2,22,172,340,97,2,37,4,112,0.3,3.27,25.6,50.6,14.43,0.3,5.51,0.6,16.67,2.78,0,1,20,36,2387227,66312,3371296,2543853,29392,55.56,476,466,473,,,,,479,,,436,422,402,475,,,,,,473.4786,421.597,63.94,51.09,3.01,13.52,56.26,43.74,9.51,61694,62081,5366,5711,8.697766,0.0919927,97.22,1.227273,97.22222,6.510258,3.583519,18.66667,15.90492,-7.207152,90.38022,6.839783,1.486381,-0.2591084,97.32459,-0.1023712,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,-49.29536,1.867434,0.7378049,_12,397
FALLING CREEK MIDDLE,CHESTERFIELD CO PBLC SCHS,_12,"4724 Hopkins Rd., North Chesterfield, VA 23234-3657",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=4724+Hopkins+Rd.%2C+North+Chesterfield%2C+VA+23234-3657,Principal: Melanie Knowles,(804) 743-3640,Accredited with Warning,0,0,1,3,1,5,1,54,45,1,47,48,1,41,56,1,5,0,1534,4724 Hopkins Rd.,NORTH CHESTERFIELD,VA,USA,0,0,5.101E11,5.101E11,5100840,329,4724 HOPKINS RD.,RICHMOND,23234,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,2,11,182,395,83,0,20,693,154,8,95,5,20,167,350,68,2,23,635,76,2,65,77,75.5,7,5,,1328,52.18,47.82,7,31,349,745,151,2,43,10,160,0.53,2.33,26.28,56.1,11.37,0.15,3.24,0.75,12.05,9.09,6.49,0,39,77,4716127,61248,6327843,4999591,62298,50.65,,,,454,457,461,,,421,,,,,412,386,462,402,,,446.533,399.1273,68.98,55.5,2.65,11,52.19,47.81,12.98,61694,62081,5366,5711,8.697766,0.0919927,84.42,0.8333333,98.05195,7.191429,4.343805,17.24675,15.90492,-7.207152,90.38022,-5.96022,1.486381,-0.6530479,97.32459,0.727356,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,42.95621,4.706615,-5.242165,_12,408
MEADOWBROOK HIGH,CHESTERFIELD CO PBLC SCHS,_12,"4901 Cogbill Rd., North Chesterfield, VA 23234-5307",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=4901+Cogbill+Rd.%2C+North+Chesterfield%2C+VA+23234-5307,Principal: Andrew  Mey,(804) 743-3675,Fully Accredited,1,0,1,3,1,5,1,47,40,1,47,48,1,41,56,1,9,0,1525,4901 Cogbill Rd.,NORTH CHESTERFIELD,VA,USA,0,0,5.101E11,5.101E11,5100840,342,4901 COGBILL RD.,RICHMOND,23234,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,,,,,1,1,10,1,2,32,218,647,119,2,5,1025,238,8,74,0,32,194,602,92,2,8,930,109,8,86,114.8,105.8,10,7,7,1955,52.43,47.57,2,64,412,1249,211,4,13,16,160,0.1,3.27,21.07,63.89,10.79,0.2,0.66,0.82,8.18,8.71,6.1,0,58,114.8,7425152,64679,9691577,7856324,80303,50.52,,,,,,,460,,,436,,,,,,,398,398,400,446.8489,399.0408,41.48,64.15,3.34,10.31,51.79,48.21,13.53,61694,62081,5366,5711,8.697766,0.0919927,85.19,0.8510638,92.16028,7.578146,4.743192,17.02962,15.90492,-7.207152,90.38022,-5.190216,1.486381,-0.6353173,97.32459,-5.164314,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,37.40668,4.578829,37.22,_12,421
J G HENING ELEM,CHESTERFIELD CO PBLC SCHS,_12,"5230 Chicora Dr., North Chesterfield, VA 23234-4608",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=5230+Chicora+Dr.%2C+North+Chesterfield%2C+VA+23234-4608,Principal: Deia  Champ,(804) 743-3655,Fully Accredited,0,0,1,3,1,5,1,39,61,0,47,48,1,41,56,1,,,1521,5230 Chicora Dr.,NORTH CHESTERFIELD,VA,USA,0,0,5.101E11,5.101E11,5100840,336,5230 CHICORA DR.,RICHMOND,23234,,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,2,11,65,257,122,0,23,480,121,2,44,2,14,62,233,83,0,17,411,58,2,38,45.6,45.6,2,0,,891,53.87,46.13,4,25,127,490,205,0,40,4,82,0.45,2.81,14.25,54.99,23.01,0,4.49,0.45,9.2,4.39,0,0,23,45.6,2770523,60757,4160850,3027919,40384,50.44,465,472,478,,,,,475,,,422,447,413,481,,,,,,473.2422,429.4088,44.79,54.83,2.76,22.08,53.32,46.68,3.64,61694,62081,5366,5711,8.697766,0.0919927,95.61,1.564103,100,6.792345,3.819908,19.53947,15.90492,-7.207152,90.38022,5.229782,1.486381,0.0777214,97.32459,2.675407,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,-37.69184,-0.5601497,-19.28207,_12,415
HOPKINS ROAD ELEM,CHESTERFIELD CO PBLC SCHS,_12,"6000 Hopkins Rd., North Chesterfield, VA 23234-5438",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=6000+Hopkins+Rd.%2C+North+Chesterfield%2C+VA+23234-5438,Principal: Dr. Lisa Hill,(804) 743-3665,Fully Accredited,0,0,1,3,1,5,1,57,43,0,47,48,1,41,56,1,,,1546,6000 Hopkins Rd.,NORTH CHESTERFIELD,VA,USA,0,0,5.101E11,5.101E11,5100840,333,6000 HOPKINS RD.,RICHMOND,23234,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,2,5,98,188,53,2,8,356,103,2,65,0,5,95,161,44,0,11,316,49,2,62,38,38,0,1,,672,52.98,47.02,2,10,193,349,97,2,19,4,127,0.3,1.49,28.72,51.93,14.43,0.3,2.83,0.6,18.9,0,2.63,1,17,38,2486489,65434,3717340,2796821,25169,44.74,469,450,467,,,,,442,,,409,411,415,467,,,,,,457.3148,411.3308,65.63,52.86,0,13.42,53.03,46.97,1.96,61694,62081,5366,5711,8.697766,0.0919927,97.37,0.7543859,100,6.510258,3.637586,17.68421,15.90492,-7.207152,90.38022,6.989784,1.486381,-0.7319952,97.32459,2.675407,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,-50.37644,5.275601,-19.28207,_12,412
BENSLEY ELEM,CHESTERFIELD CO PBLC SCHS,_12,"6600 Strathmore Rd, North Chesterfield, VA 23237-1129",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=6600+Strathmore+Rd%2C+North+Chesterfield%2C+VA+23237-1129,Principal: Bessie Cooper,(804) 743-3610,Fully Accredited,0,0,1,3,1,5,1,54,46,0,47,48,1,41,56,1,0,2,1568,6600 Strathmore Rd,NORTH CHESTERFIELD,VA,USA,0,0,5.101E11,5.101E11,5100840,316,6600 STRATHMORE RD,RICHMOND,23237,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,2,2,173,164,38,0,14,393,112,2,104,0,2,155,155,47,0,8,367,46,0,83,45.6,45.6,3,1,,760,51.71,48.29,2,4,328,319,85,0,22,2,187,0.26,0.53,43.16,41.97,11.18,0,2.89,0.26,24.61,6.58,2.19,1,16,45.6,2843823,62365,3816707,3035439,31988,35.09,475,473,461,,,,,461,,,425,437,423,431,,,,,,467.3941,428.488,87.46,38.84,0,12.23,50.92,49.08,5.81,61694,62081,5366,5711,8.697766,0.0919927,91.23,0.8518519,100,6.633318,3.819908,16.66667,15.90492,-7.207152,90.38022,0.8497849,1.486381,-0.6345293,97.32459,2.675407,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,-6.124529,4.573149,-19.28207,_12,396
MANCHESTER MIDDLE,CHESTERFIELD CO PBLC SCHS,_12,"7401 Hull Street Rd., North Chesterfield, VA 23235-5807",https://maps.googleapis.com/maps/api/geocode/json?key=AIzaSyBmqvR_Y10Ppg2aT44rbSMVZqoqIg_u9WA&address=7401+Hull+Street+Rd.%2C+North+Chesterfield%2C+VA+23235-5807,Principal: Sarah Fraher,(804) 674-1385,Fully Accredited,2,0,1,3,1,5,1,55,45,0,47,48,1,41,56,1,2,1,1527,7401 Hull Street Rd.,NORTH CHESTERFIELD,VA,USA,0,0,5.101E11,5.101E11,5100840,338,7401 HULL STREET RD.,RICHMOND,23235,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,11,32,113,371,290,2,26,845,151,14,38,5,20,86,335,248,2,32,728,55,5,29,92.5,90.5,4,1,,1573,53.72,46.28,16,52,199,706,538,4,58,19,67,1.02,3.31,12.65,44.88,34.2,0.25,3.69,1.21,4.26,4.32,1.08,0,40,92.5,5890807,63684,7450510,6124653,77485,43.24,,,,507,483,498,,,441,,,,,424,411,465,425,,504,474.2751,430.0934,38.09,44.74,3.46,34.9,52.7,47.3,8.45,61694,62081,5366,5711,8.697766,0.0919927,94.6,0.8181818,97.83784,7.36074,4.527209,17.00541,15.90492,-7.207152,90.38022,4.21978,1.486381,-0.6681994,97.32459,0.5132446,-6.964747,6.72269,-3.53022,5.499779,-0.6634321,0.3621037,0.1176758,2.675407,-30.4126,4.815814,-3.699032,_12,417
