NAME,ADDRESS,CONTACT,NUMBER,LEA,ACCREDIT,TITLE1_P,TITLE1_F,SCH_PERC_COREUQ_13,LEA_PERC_COREUQ_13,ST_PERC_COREUQ_13,SCH_PERC_PROV_13,SCH_PERC_PROVSPED_13,LEA_PERC_PROV_13,LEA_PERC_PROVSPED_13,ST_PERC_PROV_13,ST_PERC_PROVSPED_13,SCH_PERC_BACH_13,SCH_PERC_MAST_13,SCH_PERC_PHD_13,LEA_PERC_BACH_13,LEA_PERC_MAST_13,LEA_PERC_PHD_13,ST_PERC_BACH_13,ST_PERC_MAST_13,ST_PERC_PHD_13,SCH_3_READ_ADV_13,LEA_3_READ_ADV_13,ST_3_READ_ADV_13,SCH_3_READ_PROF_13,LEA_3_READ_PROF_13,ST_3_READ_PROF_13,SCH_3_READ_PASS_13,LEA_3_READ_PASS_13,ST_3_READ_PASS_13,SCH_3_READ_FAIL_13,LEA_3_READ_FAIL_13,ST_3_READ_FAIL_13,SCH_3_MATH_ADV_13,LEA_3_MATH_ADV_13,ST_3_MATH_ADV_13,SCH_3_MATH_PROF_13,LEA_3_MATH_PROF_13,ST_3_MATH_PROF_13,SCH_3_MATH_PASS_13,LEA_3_MATH_PASS_13,ST_3_MATH_PASS_13,SCH_3_MATH_FAIL_13,LEA_3_MATH_FAIL_13,ST_3_MATH_FAIL_13,SCH_4_READ_ADV_13,LEA_4_READ_ADV_13,ST_4_READ_ADV_13,SCH_4_READ_PROF_13,LEA_4_READ_PROF_13,ST_4_READ_PROF_13,SCH_4_READ_PASS_13,LEA_4_READ_PASS_13,ST_4_READ_PASS_13,SCH_4_READ_FAIL_13,LEA_4_READ_FAIL_13,ST_4_READ_FAIL_13,SCH_4_MATH_ADV_13,LEA_4_MATH_ADV_13,ST_4_MATH_ADV_13,SCH_4_MATH_PROF_13,LEA_4_MATH_PROF_13,ST_4_MATH_PROF_13,SCH_4_MATH_PASS_13,LEA_4_MATH_PASS_13,ST_4_MATH_PASS_13,SCH_4_MATH_FAIL_13,LEA_4_MATH_FAIL_13,ST_4_MATH_FAIL_13,SCH_5_READ_ADV_13,LEA_5_READ_ADV_13,ST_5_READ_ADV_13,SCH_5_READ_PROF_13,LEA_5_READ_PROF_13,ST_5_READ_PROF_13,SCH_5_READ_PASS_13,LEA_5_READ_PASS_13,ST_5_READ_PASS_13,SCH_5_READ_FAIL_13,LEA_5_READ_FAIL_13,ST_5_READ_FAIL_13,SCH_5_READ_ADV_13,LEA_5_READ_ADV_13,ST_5_READ_ADV_13,SCH_5_READ_PROF_13,LEA_5_READ_PROF_13,ST_5_READ_PROF_13,SCH_5_READ_PASS_13,LEA_5_READ_PASS_13,ST_5_READ_PASS_13,SCH_5_READ_FAIL_13,LEA_5_READ_FAIL_13,ST_5_READ_FAIL_13,SCH_5_MATH_ADV_13,LEA_5_MATH_ADV_13,ST_5_MATH_ADV_13,SCH_5_MATH_PROF_13,LEA_5_MATH_PROF_13,ST_5_MATH_PROF_13,SCH_5_MATH_PASS_13,LEA_5_MATH_PASS_13,ST_5_MATH_PASS_13,SCH_5_MATH_FAIL_13,LEA_5_MATH_FAIL_13,ST_5_MATH_FAIL_13,SCH_8_READ_ADV_13,LEA_8_READ_ADV_13,ST_8_READ_ADV_13,SCH_8_READ_PROF_13,LEA_8_READ_PROF_13,ST_8_READ_PROF_13,SCH_8_READ_PASS_13,LEA_8_READ_PASS_13,ST_8_READ_PASS_13,SCH_8_READ_FAIL_13,LEA_8_READ_FAIL_13,ST_8_READ_FAIL_13,SCH_8_MATH_ADV_13,LEA_8_MATH_ADV_13,ST_8_MATH_ADV_13,SCH_8_MATH_PROF_13,LEA_8_MATH_PROF_13,ST_8_MATH_PROF_13,SCH_8_MATH_PASS_13,LEA_8_MATH_PASS_13,ST_8_MATH_PASS_13,SCH_8_MATH_FAIL_13,LEA_8_MATH_FAIL_13,ST_8_MATH_FAIL_13,SCH_HS_READ_ADV_13,LEA_HS_READ_ADV_13,ST_HS_READ_ADV_13,SCH_HS_READ_PROF_13,LEA_HS_READ_PROF_13,ST_HS_READ_PROF_13,SCH_HS_READ_PASS_13,LEA_HS_READ_PASS_13,ST_HS_READ_PASS_13,SCH_HS_READ_FAIL_13,LEA_HS_READ_FAIL_13,ST_HS_READ_FAIL_13,SCH_HS_MATH_ADV_13,LEA_HS_MATH_ADV_13,ST_HS_MATH_ADV_13,SCH_HS_MATH_PROF_13,LEA_HS_MATH_PROF_13,ST_HS_MATH_PROF_13,SCH_HS_MATH_PASS_13,LEA_HS_MATH_PASS_13,ST_HS_MATH_PASS_13,SCH_HS_MATH_FAIL_13,LEA_HS_MATH_FAIL_13,ST_HS_MATH_FAIL_13,SCH_HS_ALG1_ADV_13,LEA_HS_ALG1_ADV_13,ST_HS_ALG1_ADV_13,SCH_HS_ALG1_PROF_13,LEA_HS_ALG1_PROF_13,ST_HS_ALG1_PROF_13,SCH_HS_ALG1_PASS_13,LEA_HS_ALG1_PASS_13,ST_HS_ALG1_PASS_13,SCH_HS_ALG1_FAIL_13,LEA_HS_ALG1_FAIL_13,ST_HS_ALG1_FAIL_13,SCH_HS_GEOM_ADV_13,LEA_HS_GEOM_ADV_13,ST_HS_GEOM_ADV_13,SCH_HS_GEOM_PROF_13,LEA_HS_GEOM_PROF_13,ST_HS_GEOM_PROF_13,SCH_HS_GEOM_PASS_13,LEA_HS_GEOM_PASS_13,ST_HS_GEOM_PASS_13,SCH_HS_GEOM_FAIL_13,LEA_HS_GEOM_FAIL_13,ST_HS_GEOM_FAIL_13,SCH_HS_ALG2_ADV_13,LEA_HS_ALG2_ADV_13,ST_HS_ALG2_ADV_13,SCH_HS_ALG2_PROF_13,LEA_HS_ALG2_PROF_13,ST_HS_ALG2_PROF_13,SCH_HS_ALG2_PASS_13,LEA_HS_ALG2_PASS_13,ST_HS_ALG2_PASS_13,SCH_HS_ALG2_FAIL_13,LEA_HS_ALG2_FAIL_13,ST_HS_ALG2_FAIL_13,SCH_6_READ_ADV_13,LEA_6_READ_ADV_13,ST_6_READ_ADV_13,SCH_6_READ_PROF_13,LEA_6_READ_PROF_13,ST_6_READ_PROF_13,SCH_6_READ_PASS_13,LEA_6_READ_PASS_13,ST_6_READ_PASS_13,SCH_6_READ_FAIL_13,LEA_6_READ_FAIL_13,ST_6_READ_FAIL_13,SCH_6_MATH_ADV_13,LEA_6_MATH_ADV_13,ST_6_MATH_ADV_13,SCH_6_MATH_PROF_13,LEA_6_MATH_PROF_13,ST_6_MATH_PROF_13,SCH_6_MATH_PASS_13,LEA_6_MATH_PASS_13,ST_6_MATH_PASS_13,SCH_6_MATH_FAIL_13,LEA_6_MATH_FAIL_13,ST_6_MATH_FAIL_13,SCH_7_READ_ADV_13,LEA_7_READ_ADV_13,ST_7_READ_ADV_13,SCH_7_READ_PROF_13,LEA_7_READ_PROF_13,ST_7_READ_PROF_13,SCH_7_READ_PASS_13,LEA_7_READ_PASS_13,ST_7_READ_PASS_13,SCH_7_READ_FAIL_13,LEA_7_READ_FAIL_13,ST_7_READ_FAIL_13,SCH_7_MATH_ADV_13,LEA_7_MATH_ADV_13,ST_7_MATH_ADV_13,SCH_7_MATH_PROF_13,LEA_7_MATH_PROF_13,ST_7_MATH_PROF_13,SCH_7_MATH_PASS_13,LEA_7_MATH_PASS_13,ST_7_MATH_PASS_13,SCH_7_MATH_FAIL_13,LEA_7_MATH_FAIL_13,ST_7_MATH_FAIL_13,
Fort Hunt Elementary,"8832 Linton Ln, Alexandria, VA 22308",Principal: Thomas B. Fitzpatrick,(703) 619-2600,Fairfax County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,3,2,1,14,2,6,2,5,1,23,77,0,27,71,1,42,56,1,37,24,16,47,50,53,84,74,69,16,26,31,15,21,16,56,49,51,71,70,67,29,30,33,28,23,18,49,53,52,77,75,70,23,25,30,34,32,26,48,51,54,82,83,80,18,17,20,26,33,21,48,46,53,74,79,73,26,21,27,24,33,23,46,46,48,70,80,71,30,20,29,18,20,24,47,53,49,66,74,73,34,26,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,24,15,58,58,58,74,82,73,26,18,27,2,18,13,73,70,62,76,88,76,24,12,24,,,,,,,,,,,,,7,27,14,89,50,51,96,77,65,4,23,35,1303
Camelot Elementary,"8100 Guinevere Dr, Annandale, VA 22003",Principal: Ms. Aileen K Flaherty,(703) 645-7000,Fairfax County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,2,2,1,6,3,6,2,5,1,25,74,0,27,71,1,42,56,1,29,24,16,51,50,53,80,74,69,20,26,31,29,21,16,55,49,51,84,70,67,16,30,33,34,23,18,41,53,52,75,75,70,25,25,30,45,32,26,51,51,54,96,83,80,4,17,20,44,33,21,39,46,53,83,79,73,17,21,27,39,33,23,43,46,48,82,80,71,18,20,29,30,20,24,57,53,49,87,74,73,13,26,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,24,15,63,58,58,88,82,73,12,18,27,25,18,13,66,70,62,91,88,76,9,12,24,,,,,,,,,,,,,52,27,14,48,50,51,100,77,65,0,23,35,1304
Hunters Woods Elementary School for the Arts and Sciences,"2401 Colts Neck Rd, Reston, VA 20191-2608",Principal: Ms. Emily S Cope,(703) 262-7400,Fairfax County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,0,2,1,5,0,6,2,5,1,20,73,1,27,71,1,42,56,1,28,24,16,51,50,53,79,74,69,21,26,31,27,21,16,45,49,51,71,70,67,29,30,33,43,23,18,50,53,52,93,75,70,7,25,30,60,32,26,33,51,54,93,83,80,7,17,20,53,33,21,40,46,53,93,79,73,7,21,27,64,33,23,30,46,48,94,80,71,6,20,29,28,20,24,55,53,49,83,74,73,18,26,27,,,,,,,,,,,,,<,18,9,<,62,58,<,80,67,<,20,33,,,,,,,,,,,,,,,,,,,,,,,,,<,19,8,<,67,71,<,86,79,<,14,21,<,25,12,<,60,65,<,85,77,<,15,23,,,,,,,,,,,,,48,24,15,45,58,58,92,82,73,8,18,27,40,18,13,53,70,62,93,88,76,7,12,24,,,,,,,,,,,,,72,27,14,27,50,51,99,77,65,1,23,35,1306
Robinson Secondary,"5035 Sideburn Rd, Fairfax, VA 22032",Principal: Mr. Matthew W Eline,(703) 426-2100,Fairfax County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,1,2,1,5,2,6,2,5,1,25,71,2,27,71,1,42,56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,19,11,70,61,59,85,80,70,15,20,30,14,18,9,76,62,58,90,80,67,10,20,33,15,14,10,82,80,80,97,94,90,3,6,10,<,63,54,<,19,15,<,82,69,<,18,31,21,19,8,75,67,71,96,86,79,4,14,21,21,25,12,73,60,65,94,85,77,6,15,23,40,32,20,50,50,62,90,82,82,10,18,18,,,,,,,,,,,,,,,,,,,,,,,,,24,25,17,64,59,58,88,85,76,13,15,24,9,27,14,64,50,51,73,77,65,27,23,35,1307
Laurel Ridge Elementary,"10110 Commonwealth Blvd, Fairfax, VA 22032",Principal: Ms. Tonya F. Cox,(703) 426-3700,Fairfax County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,0,2,1,11,3,6,2,5,1,29,68,3,27,71,1,42,56,1,28,24,16,58,50,53,86,74,69,14,26,31,23,21,16,56,49,51,79,70,67,21,30,33,18,23,18,63,53,52,81,75,70,19,25,30,31,32,26,59,51,54,90,83,80,10,17,20,26,33,21,61,46,53,86,79,73,14,21,27,36,33,23,57,46,48,94,80,71,6,20,29,23,20,24,68,53,49,92,74,73,8,26,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,24,15,60,58,58,89,82,73,11,18,27,6,18,13,87,70,62,93,88,76,7,12,24,,,,,,,,,,,,,89,27,14,11,50,51,100,77,65,0,23,35,1308
Hutchison Elementary,"13209 Parcher Ave, Herndon, VA 20170-4399",Principal: Ms. Judy Baldwin,(703) 925-8300,Fairfax County Public Schools,Accredited with Warning ,Title I Priority: No,Title I Focus: Yes,0,2,1,9,1,6,2,5,1,33,67,0,27,71,1,42,56,1,28,24,16,19,50,53,47,74,69,53,26,31,5,21,16,29,49,51,34,70,67,66,30,33,6,23,18,39,53,52,44,75,70,56,25,30,18,32,26,49,51,54,67,83,80,33,17,20,17,33,21,33,46,53,50,79,73,50,21,27,11,33,23,46,46,48,57,80,71,43,20,29,13,20,24,46,53,49,59,74,73,41,26,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,24,15,37,58,58,43,82,73,57,18,27,9,18,13,65,70,62,73,88,76,27,12,24,,,,,,,,,,,,,<,27,14,<,50,51,<,77,65,<,23,35,1309
South Lakes High,"11400 South Lakes Dr, Reston, VA 20191-4199",Principal: Ms. Kimberly B Retzer,(703) 715-4500,Fairfax County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,4,2,1,2,2,6,2,5,1,23,73,3,27,71,1,42,56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<,19,11,<,61,59,<,80,70,<,20,30,,,,,,,,,,,,,14,14,10,80,80,80,95,94,90,5,6,10,<,63,54,<,19,15,<,82,69,<,18,31,1,19,8,64,67,71,64,86,79,36,14,21,15,25,12,69,60,65,83,85,77,17,15,23,33,32,20,44,50,62,77,82,82,23,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1310
Bonnie Brae Elementary,"5420 Sideburn Rd, Fairfax, VA 22032",Principal: Ms. Kathy Bruce,(703) 321-3900,Fairfax County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,0,2,1,10,2,6,2,5,1,30,70,0,27,71,1,42,56,1,11,24,16,68,50,53,79,74,69,21,26,31,17,21,16,53,49,51,70,70,67,30,30,33,19,23,18,59,53,52,78,75,70,22,25,30,16,32,26,60,51,54,76,83,80,24,17,20,29,33,21,53,46,53,83,79,73,17,21,27,17,33,23,63,46,48,80,80,71,20,20,29,27,20,24,58,53,49,85,74,73,15,26,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,24,15,67,58,58,80,82,73,20,18,27,10,18,13,75,70,62,85,88,76,15,12,24,,,,,,,,,,,,,28,27,14,68,50,51,96,77,65,4,23,35,1311
Dranesville Elementary,"1515 Powells Tavern Pl, Herndon, VA 20170-2832",Principal: Ms. Kathy N Manoatl,(703) 326-5200,Fairfax County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,0,2,1,6,1,6,2,5,1,26,71,0,27,71,1,42,56,1,22,24,16,42,50,53,64,74,69,36,26,31,25,21,16,41,49,51,66,70,67,34,30,33,8,23,18,45,53,52,53,75,70,47,25,30,11,32,26,54,51,54,65,83,80,35,17,20,24,33,21,38,46,53,62,79,73,38,21,27,15,33,23,55,46,48,69,80,71,31,20,29,8,20,24,37,53,49,45,74,73,55,26,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,24,15,60,58,58,82,82,73,18,18,27,9,18,13,77,70,62,86,88,76,14,12,24,,,,,,,,,,,,,21,27,14,75,50,51,96,77,65,4,23,35,1312
Crossfield Elementary,"2791 Fox Mill Rd, Herndon, VA 20171-2000",Principal: Mr. Robert Yoshida,(703) 295-1100,Fairfax County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,0,2,1,4,4,6,2,5,1,27,69,2,27,71,1,42,56,1,25,24,16,52,50,53,77,74,69,23,26,31,25,21,16,48,49,51,73,70,67,27,30,33,17,23,18,68,53,52,85,75,70,15,25,30,39,32,26,50,51,54,89,83,80,11,17,20,40,33,21,50,46,53,90,79,73,10,21,27,36,33,23,53,46,48,89,80,71,11,20,29,25,20,24,62,53,49,86,74,73,14,26,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,24,15,64,58,58,96,82,73,4,18,27,35,18,13,62,70,62,96,88,76,4,12,24,,,,,,,,,,,,,70,27,14,30,50,51,100,77,65,0,23,35,1313
Sangster Elementary,"7420 Reservation Dr, Springfield, VA 22153",Principal: Lisa Reddel,(703) 644-8200,Fairfax County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,0,2,1,5,0,6,2,5,1,27,72,0,27,71,1,42,56,1,39,24,16,52,50,53,90,74,69,10,26,31,46,21,16,48,49,51,94,70,67,6,30,33,34,23,18,52,53,52,86,75,70,14,25,30,46,32,26,43,51,54,89,83,80,11,17,20,47,33,21,44,46,53,91,79,73,9,21,27,46,33,23,42,46,48,88,80,71,12,20,29,32,20,24,53,53,49,85,74,73,15,26,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<,19,8,<,67,71,<,86,79,<,14,21,,,,,,,,,,,,,,,,,,,,,,,,,36,24,15,59,58,58,95,82,73,5,18,27,28,18,13,70,70,62,98,88,76,2,12,24,,,,,,,,,,,,,48,27,14,48,50,51,95,77,65,5,23,35,1314
Saratoga Elementary,"8111 Northumberland Rd, Springfield, VA 22153",Principal: Ms. Patricia Conklin,(703) 440-2600,Fairfax County Public Schools,Accredited with Warning ,Title I Priority: No,Title I Focus: No,4,2,1,15,1,6,2,5,1,31,64,3,27,71,1,42,56,1,14,24,16,44,50,53,59,74,69,41,26,31,15,21,16,29,49,51,44,70,67,56,30,33,8,23,18,54,53,52,62,75,70,38,25,30,14,32,26,50,51,54,64,83,80,36,17,20,14,33,21,52,46,53,66,79,73,34,21,27,8,33,23,46,46,48,54,80,71,46,20,29,10,20,24,40,53,49,51,74,73,49,26,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,24,15,59,58,58,68,82,73,32,18,27,5,18,13,50,70,62,55,88,76,45,12,24,,,,,,,,,,,,,42,27,14,53,50,51,95,77,65,5,23,35,1315
Hayfield Secondary,"7630 Telegraph Rd, Alexandria, VA 22315",Principal: Mr. Martin E Grimm,(703) 924-7400,Fairfax County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,2,2,1,2,0,6,2,5,1,22,74,1,27,71,1,42,56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,19,11,63,61,59,70,80,70,30,20,30,6,18,9,58,62,58,64,80,67,36,20,33,8,14,10,83,80,80,91,94,90,9,6,10,,,,,,,,,,,,,4,19,8,69,67,71,73,86,79,27,14,21,13,25,12,67,60,65,80,85,77,20,15,23,11,32,20,63,50,62,74,82,82,26,18,18,,,,,,,,,,,,,,,,,,,,,,,,,13,25,17,59,59,58,71,85,76,29,15,24,3,27,14,42,50,51,45,77,65,55,23,35,1317
Westbriar Elementary,"1741 Pine Valley Dr, Vienna, VA 22182",Principal: Ms. Lisa M Pilson,(703) 937-1700,Fairfax County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,0,2,1,6,0,6,2,5,1,31,69,0,27,71,1,42,56,1,33,24,16,54,50,53,87,74,69,13,26,31,36,21,16,59,49,51,95,70,67,5,30,33,14,23,18,58,53,52,72,75,70,28,25,30,25,32,26,65,51,54,90,83,80,10,17,20,48,33,21,40,46,53,88,79,73,12,21,27,36,33,23,52,46,48,88,80,71,13,20,29,32,20,24,52,53,49,84,74,73,16,26,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,24,15,54,58,58,90,82,73,10,18,27,17,18,13,83,70,62,100,88,76,0,12,24,,,,,,,,,,,,,49,27,14,49,50,51,98,77,65,2,23,35,1318
Canterbury Woods Elementary,"4910 Willet Dr, Annandale, VA 22003",Principal: Ms. Barbara Messinger,(703) 764-5600,Fairfax County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,0,2,1,16,2,6,2,5,1,26,72,0,27,71,1,42,56,1,35,24,16,49,50,53,85,74,69,15,26,31,41,21,16,45,49,51,86,70,67,14,30,33,37,23,18,51,53,52,88,75,70,12,25,30,53,32,26,45,51,54,97,83,80,3,17,20,57,33,21,33,46,53,90,79,73,10,21,27,54,33,23,38,46,48,91,80,71,9,20,29,38,20,24,51,53,49,89,74,73,11,26,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<,19,8,<,67,71,<,86,79,<,14,21,,,,,,,,,,,,,,,,,,,,,,,,,44,24,15,47,58,58,91,82,73,9,18,27,6,18,13,87,70,62,93,88,76,7,12,24,,,,,,,,,,,,,61,27,14,39,50,51,100,77,65,0,23,35,1319
Cub Run Elementary,"5301 Sully Station Dr, Centreville, VA 20120-1367",Principal: Ms. Jennifer Coakley,(703) 633-7500,Fairfax County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,2,2,1,5,2,6,2,5,1,31,68,0,27,71,1,42,56,1,15,24,16,60,50,53,75,74,69,25,26,31,22,21,16,55,49,51,77,70,67,23,30,33,7,23,18,69,53,52,76,75,70,24,25,30,21,32,26,64,51,54,85,83,80,15,17,20,24,33,21,62,46,53,86,79,73,14,21,27,24,33,23,60,46,48,84,80,71,16,20,29,18,20,24,64,53,49,82,74,73,18,26,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,24,15,64,58,58,80,82,73,20,18,27,16,18,13,70,70,62,87,88,76,13,12,24,,,,,,,,,,,,,89,27,14,11,50,51,100,77,65,0,23,35,1320
West Springfield High,"6100 Rolling Rd, Springfield, VA 22152",Principal: Michael Mukai,(703) 913-3800,Fairfax County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,3,2,1,2,4,6,2,5,1,29,68,2,27,71,1,42,56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<,19,11,<,61,59,<,80,70,<,20,30,,,,,,,,,,,,,9,14,10,88,80,80,97,94,90,3,6,10,<,63,54,<,19,15,<,82,69,<,18,31,2,19,8,84,67,71,86,86,79,14,14,21,22,25,12,63,60,65,85,85,77,15,15,23,32,32,20,60,50,62,93,82,82,7,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1321
Spring Hill Elementary,"8201 Lewinsville Rd, Mclean, VA 22102",Principal: Mr. Roger Vanderhye,(703) 506-3400,Fairfax County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,0,2,1,5,0,6,2,5,1,31,68,1,27,71,1,42,56,1,35,24,16,56,50,53,91,74,69,9,26,31,28,21,16,58,49,51,86,70,67,14,30,33,36,23,18,58,53,52,93,75,70,7,25,30,55,32,26,41,51,54,96,83,80,4,17,20,59,33,21,40,46,53,99,79,73,1,21,27,71,33,23,28,46,48,99,80,71,1,20,29,53,20,24,44,53,49,97,74,73,3,26,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,24,15,42,58,58,96,82,73,4,18,27,38,18,13,58,70,62,97,88,76,3,12,24,,,,,,,,,,,,,78,27,14,22,50,51,100,77,65,0,23,35,1322
Fairhill Elementary,"3001 Chichester Ln, Fairfax, VA 22031",Principal: Ms. Pamela Clayborne-Morgan,(703) 208-8100,Fairfax County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,0,2,1,6,0,6,2,5,1,23,77,0,27,71,1,42,56,1,20,24,16,61,50,53,80,74,69,20,26,31,24,21,16,59,49,51,82,70,67,18,30,33,26,23,18,59,53,52,86,75,70,14,25,30,53,32,26,38,51,54,91,83,80,9,17,20,39,33,21,51,46,53,90,79,73,10,21,27,33,33,23,55,46,48,88,80,71,12,20,29,26,20,24,70,53,49,96,74,73,4,26,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,24,15,64,58,58,87,82,73,13,18,27,14,18,13,76,70,62,89,88,76,11,12,24,,,,,,,,,,,,,48,27,14,52,50,51,100,77,65,0,23,35,1323
Mount Vernon Woods Elementary,"4015 Fielding St, Alexandria, VA 22309",Principal: Ms. Pamela Simpkins,(703) 619-2800,Fairfax County Public Schools,Accredited with Warning ,Title I Priority: No,Title I Focus: No,2,2,1,9,3,6,2,5,1,38,56,4,27,71,1,42,56,1,29,24,16,30,50,53,58,74,69,42,26,31,1,21,16,42,49,51,43,70,67,57,30,33,7,23,18,38,53,52,45,75,70,55,25,30,7,32,26,42,51,54,49,83,80,51,17,20,8,33,21,44,46,53,53,79,73,47,21,27,0,33,23,37,46,48,37,80,71,63,20,29,4,20,24,40,53,49,45,74,73,55,26,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,24,15,48,58,58,51,82,73,49,18,27,4,18,13,70,70,62,73,88,76,27,12,24,,,,,,,,,,,,,0,27,14,64,50,51,64,77,65,36,23,35,1325
Olde Creek Elementary,"9524 Old Creek Dr, Fairfax, VA 22032",Principal: Ms. Twila S. Mack,(703) 426-3100,Fairfax County Public Schools,Fully Accredited ,Title I Priority: No,Title I Focus: No,0,2,1,6,4,6,2,5,1,28,70,2,27,71,1,42,56,1,12,24,16,59,50,53,71,74,69,29,26,31,11,21,16,60,49,51,71,70,67,29,30,33,20,23,18,58,53,52,78,75,70,22,25,30,29,32,26,62,51,54,91,83,80,9,17,20,41,33,21,39,46,53,80,79,73,20,21,27,23,33,23,51,46,48,74,80,71,26,20,29,23,20,24,46,53,49,69,74,73,31,26,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,15,51,58,58,75,82,73,25,18,27,31,18,13,45,70,62,76,88,76,24,12,24,,,,,,,,,,,,,,,,,,,,,,,,,1326
