DISTRICT/MUNI,ITEM,Releases
 SOROTI ,6029-Agric Extension," 28,964 "
 TORORO ,6029-Agric Extension," 30,480 "
 WAKISO ,6029-Agric Extension," 42,538 "
 YUMBE ,6029-Agric Extension," 31,850 "
,,
 ADJUMANI ,6045-PHC NGO," 149,668 "
 APAC ,6045-PHC NGO," 412,305 "
 ARUA ,6045-PHC NGO," 786,707 "
 BUGIRI ,6045-PHC NGO," 34,924 "
 BUNDIBUGYO ,6045-PHC NGO," 17,154 "
 BUSHENYI ,6045-PHC NGO," 414,140 "
 BUSIA ,6045-PHC NGO," 31,749 "
 GULU ,6045-PHC NGO," 687,706 "
 HOIMA ,6045-PHC NGO," 44,921 "
 IGANGA ,6045-PHC NGO," 190,496 "
 JINJA ,6045-PHC NGO," 142,223 "
 KABALE ,6045-PHC NGO," 97,216 "
 KABAROLE ,6045-PHC NGO," 408,329 "
 KABERAMAIDO ,," 223,580 "
 KALANGALA ,6045-PHC NGO," 6,245 "
 KAMPALA ,6045-PHC NGO," 745,560 "
 KAMULI ,6045-PHC NGO," 737,590 "
 KAMWENGE ,6045-PHC NGO," 66,182 "
 KANUNGU ,," 59,576 "
 KAPCHORWA ,6045-PHC NGO," 34,537 "
 KASESE ,6045-PHC NGO," 801,806 "
 KATAKWI ,6045-PHC NGO," 105,744 "
 KAYUNGA ,6045-PHC NGO," 31,605 "
 KIBALE ,6045-PHC NGO," 62,817 "
 KIBOGA ,6045-PHC NGO," 65,932 "
 KISORO ,6045-PHC NGO," 338,135 "
 KITGUM ,6045-PHC NGO," 432,590 "
 KOTIDO ,6045-PHC NGO," 135,908 "
 KUMI ,6045-PHC NGO," 780,374 "
 KYENJOJO ,6045-PHC NGO," 107,981 "
 LIRA ,6045-PHC NGO," 251,756 "
 LUWERO ,6045-PHC NGO," 342,606 "
 MASAKA ,6045-PHC NGO," 785,654 "
 MASINDI ,6045-PHC NGO," 58,205 "
 MAYUGE ,6045-PHC NGO," 206,001 "
 MBALE ,6045-PHC NGO," 127,260 "
 MBARARA ,6045-PHC NGO," 627,706 "
 MOROTO ,6045-PHC NGO," 625,691 "
 MOYO ,6045-PHC NGO," 71,580 "
 MPIGI ,6045-PHC NGO," 308,240 "
 MUBENDE ,6045-PHC NGO," 183,090 "
 MUKONO ,6045-PHC NGO," 464,867 "
 NAKAPIRIPIRIT ,," 247,215 "
 NAKASONGOLA ,6045-PHC NGO," 28,797 "
 NEBBI ,6045-PHC NGO," 795,919 "
 NTUNGAMO ,6045-PHC NGO," 12,359 "
 PADER ,6045-PHC NGO," 542,545 "
 PALLISA ,6045-PHC NGO," 94,251 "
 RAKAI ,6045-PHC NGO," 181,837 "
 RUKUNGIRI ,6045-PHC NGO," 626,396 "
 SEMBABULE ,6045-PHC NGO," 37,096 "
 SIRONKO ,6045-PHC NGO," 43,268 "
 SOROTI ,6045-PHC NGO," 92,099 "
 TORORO ,6045-PHC NGO," 155,387 "
 WAKISO ,6045-PHC NGO," 188,506 "
 YUMBE ,6045-PHC NGO," 9,859 "
,,
 ADJUMANI ,6060-Equalisation," 138,170 "
 APAC ,6060-Equalisation," 202,279 "
 ARUA ,6060-Equalisation," 15,473 "
 BUGIRI ,6060-Equalisation," 5,127 "
 BUNDIBUGYO ,6060-Equalisation," 206,506 "
 BUSHENYI ,6060-Equalisation," 48,206 "
 BUSIA ,6060-Equalisation,
 GULU ,6060-Equalisation," 244,747 "
 HOIMA ,6060-Equalisation," 85,338 "
 IGANGA ,6060-Equalisation,
 JINJA ,6060-Equalisation," 16,000 "
 KABALE ,6060-Equalisation,
 KABAROLE ,6060-Equalisation," 157,615 "
 KABERAMAIDO ,6060-Equalisation," 80,056 "
 KALANGALA ,6060-Equalisation," 39,597 "
 KAMPALA ,6060-Equalisation,
 KAMULI ,6060-Equalisation," 33,631 "
 KAMWENGE ,6060-Equalisation," 109,691 "
 KANUNGU ,6060-Equalisation,
 KAPCHORWA ,6060-Equalisation," 157,271 "
 KASESE ,6060-Equalisation," 200,330 "
 KATAKWI ,6060-Equalisation," 125,225 "
 KAYUNGA ,6060-Equalisation,
 KIBALE ,6060-Equalisation," 179,373 "
 KIBOGA ,6060-Equalisation," 70,492 "
 KISORO ,6060-Equalisation," 79,278 "
 KITGUM ,6060-Equalisation," 169,032 "
 KOTIDO ,6060-Equalisation,
 KUMI ,6060-Equalisation," 161,897 "
 KYENJOJO ,6060-Equalisation," 133,150 "
 LIRA ,6060-Equalisation," 164,987 "
 LUWERO ,6060-Equalisation," 10,801 "
 MASAKA ,6060-Equalisation,
 MASINDI ,6060-Equalisation," 25,712 "
 MAYUGE ,6060-Equalisation,
 MBALE ,6060-Equalisation," 37,709 "
 MBARARA ,6060-Equalisation,
 MOROTO ,6060-Equalisation," 170,449 "
 MOYO ,6060-Equalisation," 85,743 "
 MPIGI ,6060-Equalisation,
 MUBENDE ,6060-Equalisation," 31,776 "
 MUKONO ,6060-Equalisation," 11,460 "
 NAKAPIRIPIRIT ,6060-Equalisation," 102,000 "
 NAKASONGOLA ,6060-Equalisation," 5,718 "
 NEBBI ,6060-Equalisation," 142,566 "
 NTUNGAMO ,6060-Equalisation," 123,677 "
 PADER ,6060-Equalisation," 160,538 "
 PALLISA ,6060-Equalisation," 81,301 "
 RAKAI ,6060-Equalisation," 62,106 "
 RUKUNGIRI ,6060-Equalisation,
 SEMBABULE ,6060-Equalisation," 5,890 "
 SIRONKO ,6060-Equalisation,
 SOROTI ,6060-Equalisation," 156,038 "
 TORORO ,6060-Equalisation," 25,461 "
 WAKISO ,6060-Equalisation," 6,491 "
 YUMBE ,6060-Equalisation," 15,608 "
ARUA M.C.,6060-Equalisation,
ENTEBBE M.C.,6060-Equalisation,
FORT PORTAL M.C.,6060-Equalisation," 9,604 "
GULU M.C.,6060-Equalisation," 22,000 "
JINJA M.C.,6060-Equalisation,
KABALE M.C.,6060-Equalisation,
LIRA M.C.,6060-Equalisation," 14,930 "
MASAKA M.C.,6060-Equalisation,
MBALE M.C.,6060-Equalisation,
MBARARA M.C.,6060-Equalisation,
MOROTO M.C.,6060-Equalisation," 8,680 "
SOROTI M.C.,6060-Equalisation," 44,558 "
TORORO M.C.,6060-Equalisation," 18,081 "
,,
 ADJUMANI ,6062-Mon & Acc," 39,561 "
 APAC ,6062-Mon & Acc," 116,849 "
 ARUA ,6062-Mon & Acc," 159,581 "
 BUGIRI ,6062-Mon & Acc," 59,479 "
 BUNDIBUGYO ,6062-Mon & Acc," 41,399 "
 BUSHENYI ,6062-Mon & Acc," 136,349 "
 BUSIA ,6062-Mon & Acc," 41,426 "
 GULU ,6062-Mon & Acc," 95,214 "
 HOIMA ,6062-Mon & Acc," 46,165 "
 IGANGA ,6062-Mon & Acc," 106,684 "
 JINJA ,6062-Mon & Acc," 73,083 "
 KABALE ,6062-Mon & Acc," 96,283 "
 KABAROLE ,6062-Mon & Acc," 149,750 "
 KABERAMAIDO ,6062-Mon & Acc," 33,735 "
 KALANGALA ,6062-Mon & Acc," 14,171 "
 KAMPALA ,6062-Mon & Acc," 110,754 "
 KAMULI ,6062-Mon & Acc," 100,301 "
 KAMWENGE ,6062-Mon & Acc," 44,515 "
 KANUNGU ,6062-Mon & Acc," 41,683 "
 KAPCHORWA ,6062-Mon & Acc," 37,306 "
 KASESE ,6062-Mon & Acc," 72,921 "
 KATAKWI ,6062-Mon & Acc," 64,409 "
 KAYUNGA ,6062-Mon & Acc," 55,307 "
 KIBALE ,6062-Mon & Acc," 54,946 "
 KIBOGA ,6062-Mon & Acc," 39,308 "
 KISORO ,6062-Mon & Acc," 50,035 "
 KITGUM ,6062-Mon & Acc," 68,866 "
 KOTIDO ,6062-Mon & Acc," 55,814 "
 KUMI ,6062-Mon & Acc," 63,373 "
 KYENJOJO ,6062-Mon & Acc," 110,625 "
 LIRA ,6062-Mon & Acc," 126,926 "
 LUWERO ,6062-Mon & Acc," 166,114 "
 MASAKA ,6062-Mon & Acc," 134,800 "
 MASINDI ,6062-Mon & Acc," 68,822 "
 MAYUGE ,6062-Mon & Acc," 53,086 "
 MBALE ,6062-Mon & Acc," 100,159 "
 MBARARA ,6062-Mon & Acc," 185,230 "
 MOROTO ,6062-Mon & Acc," 84,524 "
 MOYO ,6062-Mon & Acc," 37,398 "
 MPIGI ,6062-Mon & Acc," 76,751 "
 MUBENDE ,6062-Mon & Acc," 104,617 "
 MUKONO ,6062-Mon & Acc," 122,295 "
 NAKAPIRIPIRIT ,6062-Mon & Acc," 34,926 "
 NAKASONGOLA ,6062-Mon & Acc," 32,919 "
 NEBBI ,6062-Mon & Acc," 104,340 "
 NTUNGAMO ,6062-Mon & Acc," 65,184 "
 PADER ,6062-Mon & Acc," 78,148 "
 PALLISA ,6062-Mon & Acc," 42,243 "
 RAKAI ,6062-Mon & Acc," 65,969 "
 RUKUNGIRI ,6062-Mon & Acc," 97,817 "
 SEMBABULE ,6062-Mon & Acc," 34,387 "
 SIRONKO ,6062-Mon & Acc," 43,556 "
 SOROTI ,6062-Mon & Acc," 103,259 "
 TORORO ,6062-Mon & Acc," 82,218 "
 WAKISO ,6062-Mon & Acc," 94,857 "
 YUMBE ,6062-Mon & Acc," 42,419 "
ARUA M.C.,6062-Mon & Acc, -   
ENTEBBE M.C.,6062-Mon & Acc," 20,065 "
FORT PORTAL M.C.,6062-Mon & Acc," 19,525 "
GULU M.C.,6062-Mon & Acc," 1,963 "
JINJA M.C.,6062-Mon & Acc," 29,118 "
KABALE M.C.,6062-Mon & Acc," 16,839 "
LIRA M.C.,6062-Mon & Acc," 28,401 "
MASAKA M.C.,6062-Mon & Acc," 23,275 "
MBALE M.C.,6062-Mon & Acc," 22,316 "
MBARARA M.C.,6062-Mon & Acc," 20,231 "
MOROTO M.C.,6062-Mon & Acc," 10,149 "
SOROTI M.C.,6062-Mon & Acc," 25,392 "
TORORO M.C.,6062-Mon & Acc," 36,506 "
,,
 GULU ,6063-Roads W/shops," 509,250 "
 JINJA ,6063-Roads W/shops," 1,164,000 "
 MBARARA ,6063-Roads W/shops," 1,236,036 "
,,
 IGANGA ,,
 KABERAMAIDO ,6064-Start up Costs,
 KAMULI ,,
 KAMWENGE ,6064-Start up Costs,
 KANUNGU ,6064-Start up Costs,
 KASESE ,,
 KAYUNGA ,6064-Start up Costs,
 KOTIDO ,,
 KYENJOJO ,6064-Start up Costs,
 MAYUGE ,6064-Start up Costs,
 NAKAPIRIPIRIT ,6064-Start up Costs,
 PADER ,6064-Start up Costs,
 RAKAI ,,
 SIRONKO ,6064-Start up Costs,
 WAKISO ,6064-Start up Costs,
 YUMBE ,6064-Start up Costs,
PMA-Non Sectoral Cond Grant,,
 APAC ,6065-PMA-Non Sectoral," 267,734 "
 ARUA ,6065-PMA-Non Sectoral," 307,242 "
 BUGIRI ,6065-PMA-Non Sectoral," 159,534 "
 BUSHENYI ,6065-PMA-Non Sectoral," 335,580 "
 JINJA ,6065-PMA-Non Sectoral," 132,474 "
 KABALE ,6065-PMA-Non Sectoral," 247,773 "
 KABAROLE ,6065-PMA-Non Sectoral," 146,363 "
 KAMWENGE ,6065-PMA-Non Sectoral," 117,938 "
 KAYUNGA ,6065-PMA-Non Sectoral," 130,621 "
 KITGUM ,6065-PMA-Non Sectoral," 158,944 "
 KOTIDO ,6065-PMA-Non Sectoral," 195,552 "
 KYENJOJO ,6065-PMA-Non Sectoral," 155,636 "
 MASAKA ,6065-PMA-Non Sectoral," 355,752 "
 MBALE ,6065-PMA-Non Sectoral," 186,200 "
 MPIGI ,6065-PMA-Non Sectoral," 199,572 "
 MUBENDE ,6065-PMA-Non Sectoral," 272,632 "
 MUKONO ,6065-PMA-Non Sectoral," 363,844 "
 NEBBI ,6065-PMA-Non Sectoral," 190,294 "
 NTUNGAMO ,6065-PMA-Non Sectoral," 172,798 "
 PADER ,6065-PMA-Non Sectoral," 151,361 "
 SIRONKO ,6065-PMA-Non Sectoral," 121,605 "
 TORORO ,6065-PMA-Non Sectoral," 215,036 "
 WAKISO ,6065-PMA-Non Sectoral," 283,973 "
 YUMBE ,6065-PMA-Non Sectoral," 55,546 "
"Transfers -DTB, DSC, PAC and Labd Board",,
 ADJUMANI ,"6067-Trans DTB, DSC, PAC"," 112,831 "
 APAC ,"6067-Trans DTB, DSC, PAC"," 140,122 "
 ARUA ,"6067-Trans DTB, DSC, PAC"," 146,059 "
 BUGIRI ,"6067-Trans DTB, DSC, PAC"," 122,313 "
 BUNDIBUGYO ,"6067-Trans DTB, DSC, PAC"," 116,377 "
 BUSHENYI ,"6067-Trans DTB, DSC, PAC"," 145,888 "
 BUSIA ,"6067-Trans DTB, DSC, PAC"," 116,377 "
 GULU ,"6067-Trans DTB, DSC, PAC"," 128,250 "
 HOIMA ,"6067-Trans DTB, DSC, PAC"," 116,377 "
 IGANGA ,"6067-Trans DTB, DSC, PAC"," 134,186 "
 JINJA ,"6067-Trans DTB, DSC, PAC"," 116,377 "
 KABALE ,"6067-Trans DTB, DSC, PAC"," 140,122 "
 KABAROLE ,"6067-Trans DTB, DSC, PAC"," 116,377 "
 KABERAMAIDO ,"6067-Trans DTB, DSC, PAC"," 128,250 "
 KALANGALA ,"6067-Trans DTB, DSC, PAC"," 104,504 "
 KAMPALA ,"6067-Trans DTB, DSC, PAC"," 116,377 "
 KAMULI ,"6067-Trans DTB, DSC, PAC"," 128,250 "
 KAMWENGE ,"6067-Trans DTB, DSC, PAC"," 128,250 "
 KANUNGU ,"6067-Trans DTB, DSC, PAC"," 132,216 "
 KAPCHORWA ,"6067-Trans DTB, DSC, PAC"," 116,377 "
 KASESE ,"6067-Trans DTB, DSC, PAC"," 134,186 "
 KATAKWI ,"6067-Trans DTB, DSC, PAC"," 122,313 "
 KAYUNGA ,"6067-Trans DTB, DSC, PAC"," 128,250 "
 KIBALE ,"6067-Trans DTB, DSC, PAC"," 128,250 "
 KIBOGA ,"6067-Trans DTB, DSC, PAC"," 116,377 "
 KISORO ,"6067-Trans DTB, DSC, PAC"," 116,377 "
 KITGUM ,"6067-Trans DTB, DSC, PAC"," 122,313 "
 KOTIDO ,"6067-Trans DTB, DSC, PAC"," 116,371 "
 KUMI ,"6067-Trans DTB, DSC, PAC"," 122,313 "
 KYENJOJO ,"6067-Trans DTB, DSC, PAC"," 132,216 "
 LIRA ,"6067-Trans DTB, DSC, PAC"," 134,186 "
 LUWERO ,"6067-Trans DTB, DSC, PAC"," 134,186 "
 MASAKA ,"6067-Trans DTB, DSC, PAC"," 140,122 "
 MASINDI ,"6067-Trans DTB, DSC, PAC"," 128,250 "
 MAYUGE ,"6067-Trans DTB, DSC, PAC"," 128,250 "
 MBALE ,"6067-Trans DTB, DSC, PAC"," 128,250 "
 MBARARA ,"6067-Trans DTB, DSC, PAC"," 157,932 "
 MOROTO ,"6067-Trans DTB, DSC, PAC"," 104,504 "
 MOYO ,"6067-Trans DTB, DSC, PAC"," 110,440 "
 MPIGI ,"6067-Trans DTB, DSC, PAC"," 116,558 "
 MUBENDE ,"6067-Trans DTB, DSC, PAC"," 126,216 "
 MUKONO ,"6067-Trans DTB, DSC, PAC"," 115,964 "
 NAKAPIRIPIRIT ,"6067-Trans DTB, DSC, PAC"," 122,313 "
 NAKASONGOLA ,"6067-Trans DTB, DSC, PAC"," 110,440 "
 NEBBI ,"6067-Trans DTB, DSC, PAC"," 122,313 "
 NTUNGAMO ,"6067-Trans DTB, DSC, PAC"," 122,313 "
 PADER ,"6067-Trans DTB, DSC, PAC"," 128,250 "
 PALLISA ,"6067-Trans DTB, DSC, PAC"," 128,250 "
 RAKAI ,"6067-Trans DTB, DSC, PAC"," 134,186 "
 RUKUNGIRI ,"6067-Trans DTB, DSC, PAC"," 122,313 "
 SEMBABULE ,"6067-Trans DTB, DSC, PAC"," 116,377 "
 SIRONKO ,"6067-Trans DTB, DSC, PAC"," 128,250 "
 SOROTI ,"6067-Trans DTB, DSC, PAC"," 116,377 "
 TORORO ,"6067-Trans DTB, DSC, PAC"," 128,250 "
 WAKISO ,"6067-Trans DTB, DSC, PAC"," 144,456 "
 YUMBE ,"6067-Trans DTB, DSC, PAC"," 124,526 "
ARUA M.C.,"6067-Trans DTB, DSC, PAC"," 12,307 "
ENTEBBE M.C.,"6067-Trans DTB, DSC, PAC"," 12,307 "
FORT PORTAL M.C.,"6067-Trans DTB, DSC, PAC"," 12,307 "
GULU M.C.,"6067-Trans DTB, DSC, PAC"," 12,307 "
JINJA M.C.,"6067-Trans DTB, DSC, PAC"," 12,688 "
KABALE M.C.,"6067-Trans DTB, DSC, PAC"," 12,307 "
LIRA M.C.,"6067-Trans DTB, DSC, PAC"," 12,307 "
MASAKA M.C.,"6067-Trans DTB, DSC, PAC"," 12,307 "
MBALE M.C.,"6067-Trans DTB, DSC, PAC"," 12,307 "
MBARARA M.C.,"6067-Trans DTB, DSC, PAC"," 12,307 "
MOROTO M.C.,"6067-Trans DTB, DSC, PAC"," 12,307 "
SOROTI M.C.,"6067-Trans DTB, DSC, PAC"," 12,307 "
TORORO M.C.,"6067-Trans DTB, DSC, PAC"," 12,307 "
Tran.to Comm. Dev't assistants, ,
 ADJUMANI ,6068-Comm Devt Workers,
 APAC ,6068-Comm Devt Workers," 17,601 "
 ARUA ,6068-Comm Devt Workers," 27,201 "
 BUGIRI ,6068-Comm Devt Workers," 18,000 "
 BUNDIBUGYO ,6068-Comm Devt Workers,
 BUSHENYI ,6068-Comm Devt Workers," 22,401 "
 BUSIA ,6068-Comm Devt Workers,
 GULU ,6068-Comm Devt Workers,
 HOIMA ,6068-Comm Devt Workers,
 IGANGA ,6068-Comm Devt Workers,
 JINJA ,6068-Comm Devt Workers," 5,601 "
 KABALE ,6068-Comm Devt Workers," 13,601 "
 KABAROLE ,6068-Comm Devt Workers," 8,801 "
 KABERAMAIDO ,6068-Comm Devt Workers,
 KALANGALA ,6068-Comm Devt Workers,
 KAMPALA ,6068-Comm Devt Workers,
 KAMULI ,6068-Comm Devt Workers,
 KAMWENGE ,6068-Comm Devt Workers," 10,800 "
 KANUNGU ,6068-Comm Devt Workers,
 KAPCHORWA ,6068-Comm Devt Workers,
 KASESE ,6068-Comm Devt Workers,
 KATAKWI ,6068-Comm Devt Workers,
 KAYUNGA ,6068-Comm Devt Workers," 10,800 "
 KIBALE ,6068-Comm Devt Workers,
 KIBOGA ,6068-Comm Devt Workers,
 KISORO ,6068-Comm Devt Workers,
 KITGUM ,6068-Comm Devt Workers," 9,601 "
 KOTIDO ,6068-Comm Devt Workers," 24,000 "
 KUMI ,6068-Comm Devt Workers,
 KYENJOJO ,6068-Comm Devt Workers," 15,600 "
 LIRA ,6068-Comm Devt Workers,
 LUWERO ,6068-Comm Devt Workers,
 MASAKA ,6068-Comm Devt Workers," 15,201 "
 MASINDI ,6068-Comm Devt Workers,
 MAYUGE ,6068-Comm Devt Workers,
 MBALE ,6068-Comm Devt Workers," 24,801 "
 MBARARA ,6068-Comm Devt Workers,
 MOROTO ,6068-Comm Devt Workers,
 MOYO ,6068-Comm Devt Workers,
 MPIGI ,6068-Comm Devt Workers," 13,601 "
 MUBENDE ,6068-Comm Devt Workers," 14,401 "
 MUKONO ,6068-Comm Devt Workers," 21,601 "
 NAKAPIRIPIRIT ,6068-Comm Devt Workers,
 NAKASONGOLA ,6068-Comm Devt Workers,
 NEBBI ,6068-Comm Devt Workers," 12,801 "
 NTUNGAMO ,6068-Comm Devt Workers," 16,800 "
 PADER ,6068-Comm Devt Workers," 15,600 "
 PALLISA ,6068-Comm Devt Workers,
 RAKAI ,6068-Comm Devt Workers,
 RUKUNGIRI ,6068-Comm Devt Workers,
 SEMBABULE ,6068-Comm Devt Workers,
 SIRONKO ,6068-Comm Devt Workers," 21,600 "
 SOROTI ,6068-Comm Devt Workers,
 TORORO ,6068-Comm Devt Workers," 15,201 "
 WAKISO ,6068-Comm Devt Workers," 16,800 "
 YUMBE ,6068-Comm Devt Workers," 9,600 "
ARUA M.C.,6068-Comm Devt Workers,
ENTEBBE M.C.,6068-Comm Devt Workers,
FORT PORTAL M.C.,6068-Comm Devt Workers,
GULU M.C.,6068-Comm Devt Workers,
JINJA M.C.,6068-Comm Devt Workers,
KABALE M.C.,6068-Comm Devt Workers,
LIRA M.C.,6068-Comm Devt Workers,
MASAKA M.C.,6068-Comm Devt Workers,
MBALE M.C.,6068-Comm Devt Workers,
MBARARA M.C.,6068-Comm Devt Workers,
MOROTO M.C.,6068-Comm Devt Workers,
SOROTI M.C.,6068-Comm Devt Workers,
TORORO M.C.,6068-Comm Devt Workers,
,,
 APAC ,6071-NGO Doctors," 7,078 "
 ARUA ,6071-NGO Doctors," 7,078 "
 BUSHENYI ,6071-NGO Doctors," 21,235 "
 GULU ,6071-NGO Doctors," 66,197 "
 KABAROLE ,6071-NGO Doctors," 14,780 "
 KABERAMAIDO ,6071-NGO Doctors," 7,078 "
 KAMPALA ,6071-NGO Doctors," 398,074 "
 KAMULI ,6071-NGO Doctors," 14,157 "
 KASESE ,6071-NGO Doctors," 70,785 "
 KISORO ,6071-NGO Doctors," 7,078 "
 KUMI ,6071-NGO Doctors," 35,392 "
 LIRA ,6071-NGO Doctors," 7,078 "
 LUWERO ,6071-NGO Doctors," 7,078 "
 MASAKA ,6071-NGO Doctors," 36,638 "
 MAYUGE ,6071-NGO Doctors," 7,078 "
 MBARARA ,6071-NGO Doctors," 49,570 "
 MPIGI ,6071-NGO Doctors," 21,235 "
 MUKONO ,6071-NGO Doctors," 19,466 "
 NEBBI ,6071-NGO Doctors," 14,157 "
 PADER ,6071-NGO Doctors," 7,078 "
 RUKUNGIRI ,6071-NGO Doctors," 35,392 "
 TORORO ,6071-NGO Doctors,
Agricultural Development Centres,,
 BUNDIBUGYO ,6072-Agric Devt Centre,
 BUSHENYI ,6072-Agric Devt Centre," 11,111 "
 GULU ,6072-Agric Devt Centre," 11,111 "
 KABAROLE ,6072-Agric Devt Centre," 11,111 "
 KAPCHORWA ,6072-Agric Devt Centre," 11,111 "
 KOTIDO ,6072-Agric Devt Centre," 9,538 "
 MASAKA ,6072-Agric Devt Centre," 11,111 "
 MOYO ,6072-Agric Devt Centre," 11,111 "
 MPIGI ,6072-Agric Devt Centre," 11,111 "
 MUBENDE ,6072-Agric Devt Centre," 11,111 "
 TORORO ,6072-Agric Devt Centre," 11,111 "
Functional Adult Literacy,,
 ADJUMANI ,6073 - Functional Adult Lit," 35,899 "
 APAC ,6073 - Functional Adult Lit," 36,350 "
 ARUA ,6073 - Funct'nal Adult Lit," 36,363 "
 BUGIRI ,6073 - Functional Adult Lit," 26,763 "
 BUNDIBUGYO ,6073 - Functional Adult Lit," 26,284 "
 BUSHENYI ,6073 - Functional Adult Lit," 26,926 "
 BUSIA ,6073 - Functional Adult Lit," 26,401 "
 GULU ,6073 - Functional Adult Lit," 35,778 "
 HOIMA ,6073 - Functional Adult Lit," 18,417 "
 IGANGA ,6073 - Functional Adult Lit," 26,687 "
 JINJA ,6073 - Functional Adult Lit," 26,151 "
 KABALE ,6073 - Functional Adult Lit," 18,500 "
 KABAROLE ,6073 - Functional Adult Lit," 18,500 "
 KABERAMAIDO ,6073 - Functional Adult Lit," 26,517 "
 KALANGALA ,6073 - Functional Adult Lit," 3,000 "
 KAMPALA ,6073 - Functional Adult Lit," 12,828 "
 KAMULI ,6073 - Functional Adult Lit," 26,763 "
 KAMWENGE ,6073 - Functional Adult Lit," 18,500 "
 KANUNGU ,6073 - Functional Adult Lit," 18,500 "
 KAPCHORWA ,6073 - Functional Adult Lit," 26,297 "
 KASESE ,6073 - Functional Adult Lit," 27,710 "
 KATAKWI ,6073 - Functional Adult Lit," 27,710 "
 KAYUNGA ,6073 - Functional Adult Lit," 12,802 "
 KIBALE ,6073 - Functional Adult Lit," 26,660 "
 KIBOGA ,6073 - Functional Adult Lit," 18,500 "
 KISORO ,6073 - Functional Adult Lit," 18,500 "
 KITGUM ,6073 - Functional Adult Lit," 37,256 "
 KOTIDO ,6073 - Functional Adult Lit," 28,612 "
 KUMI ,6073 - Functional Adult Lit," 26,413 "
 KYENJOJO ,6073 - Functional Adult Lit," 18,500 "
 LIRA ,6073 - Functional Adult Lit," 37,230 "
 LUWERO ,6073 - Functional Adult Lit," 12,850 "
 MASAKA ,6073 - Functional Adult Lit," 12,838 "
 MASINDI ,6073 - Functional Adult Lit," 18,033 "
 MAYUGE ,6073 - Functional Adult Lit," 27,074 "
 MBALE ,6073 - Functional Adult Lit," 24,768 "
 MBARARA ,6073 - Functional Adult Lit," 27,710 "
 MOROTO ,6073 - Functional Adult Lit," 36,160 "
 MOYO ,6073 - Functional Adult Lit," 35,766 "
 MPIGI ,6073 - Functional Adult Lit," 18,500 "
 MUBENDE ,6073 - Functional Adult Lit," 12,850 "
 MUKONO ,6073 - Functional Adult Lit," 17,823 "
 NAKAPIRIPIRIT ,6073 - Functional Adult Lit," 35,816 "
 NAKASONGOLA ,6073 - Functional Adult Lit," 12,850 "
 NEBBI ,6073 - Functional Adult Lit," 36,417 "
 NTUNGAMO ,6073 - Functional Adult Lit," 18,500 "
 PADER ,6073 - Functional Adult Lit," 36,048 "
 PALLISA ,6073 - Functional Adult Lit," 36,366 "
 RAKAI ,6073 - Functional Adult Lit," 12,850 "
 RUKUNGIRI ,6073 - Functional Adult Lit," 18,500 "
 SEMBABULE ,6073 - Functional Adult Lit," 17,825 "
 SIRONKO ,6073 - Functional Adult Lit," 18,500 "
 SOROTI ,6073 - Functional Adult Lit," 18,500 "
 TORORO ,6073 - Functional Adult Lit," 36,457 "
 WAKISO ,6073 - Functional Adult Lit," 17,589 "
 YUMBE ,6073 - Functional Adult Lit," 35,289 "
ARUA M.C.,6073 - Functional Adult Lit,
ENTEBBE M.C.,6073 - Functional Adult Lit,
FORT PORTAL M.C.,6073 - Functional Adult Lit,
GULU M.C.,6073 - Functional Adult Lit,
JINJA M.C.,6073 - Functional Adult Lit,
KABALE M.C.,6073 - Functional Adult Lit,
LIRA M.C.,6073 - Functional Adult Lit,
MASAKA M.C.,6073 - Functional Adult Lit,
MBALE M.C.,6073 - Functional Adult Lit,
MBARARA M.C.,6073 - Functional Adult Lit,
MOROTO M.C.,6073 - Functional Adult Lit,
SOROTI M.C.,6073 - Functional Adult Lit,
TORORO M.C.,6073 - Functional Adult Lit,
PUBLIC LIBRARIES,,
HOIMA,,
KAMPALA,,
MASINDI,,
SOROTI,,
ARUA M.C.,,
ENTEBBE M.C.,,
FORT PORTAL M.C.,,
GULU M.C.,,
JINJA M.C.,,
KABALE M.C.,,
LIRA M.C.,,
MBALE M.C.,,
MOROTO M.C.,,
TORORO M.C.,,
,,   
 ADJUMANI ,R/Water," 354,828 "
 APAC ,R/Water," 838,170 "
 ARUA ,R/Water," 764,563 "
 BUGIRI ,R/Water," 195,015 "
 BUNDIBUGYO ,R/Water," 451,938 "
 BUSHENYI ,R/Water," 873,072 "
 BUSIA ,R/Water," 195,015 "
 GULU ,R/Water," 515,042 "
 HOIMA ,R/Water," 482,739 "
 IGANGA ,R/Water," 195,015 "
 JINJA ,R/Water," 332,928 "
 KABALE ,R/Water," 578,547 "
 KABAROLE ,R/Water," 458,038 "
 KABERAMAIDO ,R/Water," 240,020 "
 KALANGALA ,R/Water," 175,715 "
 KAMPALA ,R/Water,
 KAMULI ,R/Water," 581,048 "
 KAMWENGE ,R/Water," 273,023 "
 KANUNGU ,R/Water," 380,031 "
 KAPCHORWA ,R/Water," 195,015 "
 KASESE ,R/Water," 340,527 "
 KATAKWI ,R/Water," 535,044 "
 KAYUNGA ,R/Water," 255,021 "
 KIBALE ,R/Water," 361,830 "
 KIBOGA ,R/Water," 310,825 "
 KISORO ,R/Water," 535,044 "
 KITGUM ,R/Water," 338,928 "
 KOTIDO ,R/Water," 378,731 "
 KUMI ,R/Water," 561,746 "
