District,Government,Value,Revenue Type,year,Vote,Revenue Source
Bukomansimbi District,District Government,"6,135",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 600,Conditional Grant to Functional Adult Lit
Bukomansimbi District,District Government,"6,135",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 600,Conditional Grant to Functional Adult Lit
Bukomansimbi District,District Government,"24,523",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 600,Conditional Grant to DSC Chairs’ Salaries
Bukomansimbi District,District Government,"24,523",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 600,Conditional Grant to DSC Chairs’ Salaries
Bukomansimbi District,District Government,"4,426",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 600,Conditional Grant to District Natural Res. - Wetlands (Non Wage)
Bukomansimbi District,District Government,"4,426",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 600,Conditional Grant to District Natural Res. - Wetlands (Non Wage)
Bukomansimbi District,District Government,"1,554",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 600,Conditional Grant to Community Devt Assistants Non Wage
Bukomansimbi District,District Government,"1,554",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 600,Conditional Grant to Community Devt Assistants Non Wage
Bukomansimbi District,District Government,"14,982",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 600,Conditional Grant to Agric. Ext Salaries
Bukomansimbi District,District Government,"14,982",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 600,Conditional Grant to Agric. Ext Salaries
Bukomansimbi District,District Government,"87,046",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 600,Conditional Grant for NAADS
Bukomansimbi District,District Government,"87,046",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 600,Conditional Grant for NAADS
Bukomansimbi District,District Government,"392,022",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 600,Conditional Grant to Primary Education
Bukomansimbi District,District Government,"392,022",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 600,Conditional Grant to Primary Education
Bukomansimbi District,District Government,"84,095",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 600,NAADS (Districts) - Wage
Bukomansimbi District,District Government,"84,095",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 600,NAADS (Districts) - Wage
Bukomansimbi District,District Government,"11,683",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 600,Conditional transfers to Special Grant for PWDs
Bukomansimbi District,District Government,"11,683",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 600,Conditional transfers to Special Grant for PWDs
Bukomansimbi District,District Government,"23,000",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 600,Sanitation and Hygiene
Bukomansimbi District,District Government,"23,000",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 600,Sanitation and Hygiene
Bukomansimbi District,District Government,"28,292",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 600,Conditional transfers to Production and Marketing
Bukomansimbi District,District Government,"28,292",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 600,Conditional transfers to Production and Marketing
Bukomansimbi District,District Government,"42,171",2c. Other Government Transfers,2014/15 Approved Budget,Vote: 600,Community Access Roads
Bukomansimbi District,District Government,"42,171",2c. Other Government Transfers,2015/16 Proposed Budget,Vote: 600,Community Access Roads
Bukomansimbi District,District Government,"299,891",2c. Other Government Transfers,2014/15 Approved Budget,Vote: 600,Uganda Road Fund - District Roads
Bukomansimbi District,District Government,"299,891",2c. Other Government Transfers,2015/16 Proposed Budget,Vote: 600,Uganda Road Fund - District Roads
Bukomansimbi District,District Government,"7,000",2c. Other Government Transfers,2014/15 Approved Budget,Vote: 600,UNEB PLE Contribution
Bukomansimbi District,District Government,"7,000",2c. Other Government Transfers,2015/16 Proposed Budget,Vote: 600,UNEB PLE Contribution
Bukomansimbi District,District Government,"3,497",2c. Other Government Transfers,2014/15 Approved Budget,Vote: 600,Support to women groups
Bukomansimbi District,District Government,"3,497",2c. Other Government Transfers,2015/16 Proposed Budget,Vote: 600,Support to women groups
Bukomansimbi District,District Government,"100,000",2c. Other Government Transfers,2014/15 Approved Budget,Vote: 600,Presidential Pledge towards LG Hdqrts
Bukomansimbi District,District Government,"100,000",2c. Other Government Transfers,2015/16 Proposed Budget,Vote: 600,Presidential Pledge towards LG Hdqrts
Bukomansimbi District,District Government,"7,181",2c. Other Government Transfers,2014/15 Approved Budget,Vote: 600,Unspent balances - Conditional Grants
Bukomansimbi District,District Government,,2c. Other Government Transfers,2015/16 Proposed Budget,Vote: 600,Unspent balances - Conditional Grants
Bukomansimbi District,District Government,"398,887",2c. Other Government Transfers,2014/15 Approved Budget,Vote: 600,National Population and Housing Census - UBOS
Bukomansimbi District,District Government,"5,000",2c. Other Government Transfers,2015/16 Proposed Budget,Vote: 600,National Population and Housing Census - UBOS
Bukomansimbi District,District Government,"3,000",2c. Other Government Transfers,2014/15 Approved Budget,Vote: 600,Ministry of Education - Head Count
Bukomansimbi District,District Government,"3,000",2c. Other Government Transfers,2015/16 Proposed Budget,Vote: 600,Ministry of Education - Head Count
Bukomansimbi District,District Government,"1,933",2c. Other Government Transfers,2014/15 Approved Budget,Vote: 600,Unspent balances - UnConditional Grants
Bukomansimbi District,District Government,,2c. Other Government Transfers,2015/16 Proposed Budget,Vote: 600,Unspent balances - UnConditional Grants
Bukomansimbi District,District Government,"88,540",2c. Other Government Transfers,2014/15 Approved Budget,Vote: 600,Urban Roads
Bukomansimbi District,District Government,"88,540",2c. Other Government Transfers,2015/16 Proposed Budget,Vote: 600,Urban Roads
Bukomansimbi District,District Government,"103,788",2c. Other Government Transfers,2014/15 Approved Budget,Vote: 600,Uganda Road Fund - Mechanised Imprest
Bukomansimbi District,District Government,"103,788",2c. Other Government Transfers,2015/16 Proposed Budget,Vote: 600,Uganda Road Fund - Mechanised Imprest
Bukomansimbi District,District Government,"202,165",3. Local Development Grant,2014/15 Approved Budget,Vote: 600,LGMSD (Former LGDP)
Bukomansimbi District,District Government,"202,165",3. Local Development Grant,2015/16 Proposed Budget,Vote: 600,LGMSD (Former LGDP)
Bukomansimbi District,District Government,"60,000",4. Donor Funding,2014/15 Approved Budget,Vote: 600,Donor Funding - VNG International
Bukomansimbi District,District Government,"60,000",4. Donor Funding,2015/16 Proposed Budget,Vote: 600,Donor Funding - VNG International
Bukomansimbi District,District Government,"40,000",4. Donor Funding,2014/15 Approved Budget,Vote: 600,Other health Interventions
Bukomansimbi District,District Government,"40,000",4. Donor Funding,2015/16 Proposed Budget,Vote: 600,Other health Interventions
Bukomansimbi District,District Government,"350,000",4. Donor Funding,2014/15 Approved Budget,Vote: 600,UNICEF
Bukomansimbi District,District Government,"350,000",4. Donor Funding,2015/16 Proposed Budget,Vote: 600,UNICEF
Bukomansimbi District,District Government,"180,000",4. Donor Funding,2014/15 Approved Budget,Vote: 600,Mildmay ug
Bukomansimbi District,District Government,"180,000",4. Donor Funding,2015/16 Proposed Budget,Vote: 600,Mildmay ug
Bukomansimbi District,District Government,"58,239",4. Donor Funding,2014/15 Approved Budget,Vote: 600,Unspent balances - donor
Bukomansimbi District,District Government,,4. Donor Funding,2015/16 Proposed Budget,Vote: 600,Unspent balances - donor
Bukomansimbi District,District Government,"2,380",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 600,Land Fees
Bukomansimbi District,District Government,"2,380",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 600,Land Fees
Bukomansimbi District,District Government,"5,000",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 600,Application Fees
Bukomansimbi District,District Government,"5,000",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 600,Application Fees
Bukomansimbi District,District Government,"8,700",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 600,Educational/Instruction related levies
Bukomansimbi District,District Government,"8,700",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 600,Educational/Instruction related levies
Bukomansimbi District,District Government,"23,000",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 600,Local Service Tax
Bukomansimbi District,District Government,"35,000",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 600,Local Service Tax
Bukomansimbi District,District Government,"11,500",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 600,Market/Gate Charges
Bukomansimbi District,District Government,"11,500",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 600,Market/Gate Charges
Bukomansimbi District,District Government,"5,000",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 600,Miscellaneous
Bukomansimbi District,District Government,"5,000",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 600,Miscellaneous
Bukomansimbi District,District Government,"7,292",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 600,Other Fees and Charges
Bukomansimbi District,District Government,"7,292",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 600,Other Fees and Charges
Bukomansimbi District,District Government,"7,000",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 600,Other licences
Bukomansimbi District,District Government,"7,000",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 600,Other licences
Bukomansimbi District,District Government,"14,000",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 600,Trading licences
Bukomansimbi District,District Government,"14,000",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 600,Trading licences
Bukomansimbi District,District Government,"21,000",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 600,Voluntary Transfers
Bukomansimbi District,District Government,"21,000",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 600,Voluntary Transfers
Bukomansimbi District,District Government,"125,194",2a. Discretionary Government Transfers,2014/15 Approved Budget,Vote: 600,Transfer of Urban Unconditional Grant - Wage
Bukomansimbi District,District Government,"125,194",2a. Discretionary Government Transfers,2015/16 Proposed Budget,Vote: 600,Transfer of Urban Unconditional Grant - Wage
Bukomansimbi District,District Government,"677,868",2a. Discretionary Government Transfers,2014/15 Approved Budget,Vote: 600,Transfer of District Unconditional Grant - Wage
Bukomansimbi District,District Government,"677,868",2a. Discretionary Government Transfers,2015/16 Proposed Budget,Vote: 600,Transfer of District Unconditional Grant - Wage
Bukomansimbi District,District Government,"328,696",2a. Discretionary Government Transfers,2014/15 Approved Budget,Vote: 600,District Unconditional Grant - Non Wage
Bukomansimbi District,District Government,"328,696",2a. Discretionary Government Transfers,2015/16 Proposed Budget,Vote: 600,District Unconditional Grant - Non Wage
Bukomansimbi District,District Government,"44,791",2a. Discretionary Government Transfers,2014/15 Approved Budget,Vote: 600,Urban Unconditional Grant - Non Wage
Bukomansimbi District,District Government,"44,791",2a. Discretionary Government Transfers,2015/16 Proposed Budget,Vote: 600,Urban Unconditional Grant - Non Wage
Bukomansimbi District,District Government,"74,241",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 600,Conditional Grant to PHC- Non wage
Bukomansimbi District,District Government,"74,241",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 600,Conditional Grant to PHC- Non wage
Bukomansimbi District,District Government,"53,040",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 600,Conditional transfers to Councillors allowances and Ex- Gratia for LLGs
Bukomansimbi District,District Government,"53,040",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 600,Conditional transfers to Councillors allowances and Ex- Gratia for LLGs
Bukomansimbi District,District Government,"329,000",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 600,Conditional transfer for Rural Water 
Bukomansimbi District,District Government,"329,000",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 600,Conditional transfer for Rural Water 
Bukomansimbi District,District Government,"5,596",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 600,Conditional Grant to Women Youth and Disability Grant
Bukomansimbi District,District Government,"5,596",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 600,Conditional Grant to Women Youth and Disability Grant
Bukomansimbi District,District Government,"280,869",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 600,Conditional Grant to SFG
Bukomansimbi District,District Government,"280,869",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 600,Conditional Grant to SFG
Bukomansimbi District,District Government,"1,066,211",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 600,Conditional Grant to Secondary Salaries
Bukomansimbi District,District Government,"1,066,211",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 600,Conditional Grant to Secondary Salaries
Bukomansimbi District,District Government,"934,758",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 600,Conditional Grant to Secondary Education
Bukomansimbi District,District Government,"934,758",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 600,Conditional Grant to Secondary Education
Bukomansimbi District,District Government,"4,187,993",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 600,Conditional Grant to Primary Salaries
Bukomansimbi District,District Government,"4,187,993",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 600,Conditional Grant to Primary Salaries
Bukomansimbi District,District Government,"21,421",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 600,Conditional transfers to DSC Operational Costs
Bukomansimbi District,District Government,"21,421",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 600,Conditional transfers to DSC Operational Costs
Bukomansimbi District,District Government,"748,418",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 600,Conditional Grant to PHC Salaries
Bukomansimbi District,District Government,"748,418",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 600,Conditional Grant to PHC Salaries
Bukomansimbi District,District Government,"25,841",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 600,Conditional transfers to School Inspection Grant
Bukomansimbi District,District Government,"25,841",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 600,Conditional transfers to School Inspection Grant
Bukomansimbi District,District Government,"40,959",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 600,Conditional Grant to PHC - development
Bukomansimbi District,District Government,"40,959",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 600,Conditional Grant to PHC - development
Bukomansimbi District,District Government,"23,533",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 600,Conditional Grant to PAF monitoring
Bukomansimbi District,District Government,"23,533",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 600,Conditional Grant to PAF monitoring
Bukomansimbi District,District Government,"48,968",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 600,Conditional Grant to NGO Hospitals
Bukomansimbi District,District Government,"48,968",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 600,Conditional Grant to NGO Hospitals
Bukomansimbi District,District Government,"6,135",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 600,Conditional Grant to Functional Adult Lit
Bukomansimbi District,District Government,"6,135",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 600,Conditional Grant to Functional Adult Lit
Bukomansimbi District,District Government,"24,523",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 600,Conditional Grant to DSC Chairs’ Salaries
Bukomansimbi District,District Government,"24,523",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 600,Conditional Grant to DSC Chairs’ Salaries
Bukomansimbi District,District Government,"4,426",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 600,Conditional Grant to District Natural Res. - Wetlands (Non Wage)
Bukomansimbi District,District Government,"4,426",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 600,Conditional Grant to District Natural Res. - Wetlands (Non Wage)
Bukomansimbi District,District Government,"1,554",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 600,Conditional Grant to Community Devt Assistants Non Wage
Bukomansimbi District,District Government,"1,554",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 600,Conditional Grant to Community Devt Assistants Non Wage
Bukomansimbi District,District Government,"14,982",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 600,Conditional Grant to Agric. Ext Salaries
Bukomansimbi District,District Government,"14,982",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 600,Conditional Grant to Agric. Ext Salaries
Bukomansimbi District,District Government,"87,046",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 600,Conditional Grant for NAADS
Bukomansimbi District,District Government,"87,046",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 600,Conditional Grant for NAADS
Bukomansimbi District,District Government,"392,022",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 600,Conditional Grant to Primary Education
Bukomansimbi District,District Government,"392,022",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 600,Conditional Grant to Primary Education
Bukomansimbi District,District Government,"84,095",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 600,NAADS (Districts) - Wage
Bukomansimbi District,District Government,"84,095",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 600,NAADS (Districts) - Wage
Bukomansimbi District,District Government,"11,683",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 600,Conditional transfers to Special Grant for PWDs
Bukomansimbi District,District Government,"11,683",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 600,Conditional transfers to Special Grant for PWDs
Bukomansimbi District,District Government,"23,000",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 600,Sanitation and Hygiene
Bukomansimbi District,District Government,"23,000",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 600,Sanitation and Hygiene
Bukomansimbi District,District Government,"28,292",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 600,Conditional transfers to Production and Marketing
Bukomansimbi District,District Government,"28,292",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 600,Conditional transfers to Production and Marketing
Bukomansimbi District,District Government,"42,171",2c. Other Government Transfers,2014/15 Approved Budget,Vote: 600,Community Access Roads
Bukomansimbi District,District Government,"42,171",2c. Other Government Transfers,2015/16 Proposed Budget,Vote: 600,Community Access Roads
Bukomansimbi District,District Government,"299,891",2c. Other Government Transfers,2014/15 Approved Budget,Vote: 600,Uganda Road Fund - District Roads
Bukomansimbi District,District Government,"299,891",2c. Other Government Transfers,2015/16 Proposed Budget,Vote: 600,Uganda Road Fund - District Roads
Bukomansimbi District,District Government,"7,000",2c. Other Government Transfers,2014/15 Approved Budget,Vote: 600,UNEB PLE Contribution
Bukomansimbi District,District Government,"7,000",2c. Other Government Transfers,2015/16 Proposed Budget,Vote: 600,UNEB PLE Contribution
Bukomansimbi District,District Government,"3,497",2c. Other Government Transfers,2014/15 Approved Budget,Vote: 600,Support to women groups
Bukomansimbi District,District Government,"3,497",2c. Other Government Transfers,2015/16 Proposed Budget,Vote: 600,Support to women groups
Bukomansimbi District,District Government,"100,000",2c. Other Government Transfers,2014/15 Approved Budget,Vote: 600,Presidential Pledge towards LG Hdqrts
Bukomansimbi District,District Government,"100,000",2c. Other Government Transfers,2015/16 Proposed Budget,Vote: 600,Presidential Pledge towards LG Hdqrts
Bukomansimbi District,District Government,"7,181",2c. Other Government Transfers,2014/15 Approved Budget,Vote: 600,Unspent balances - Conditional Grants
Bukomansimbi District,District Government,,2c. Other Government Transfers,2015/16 Proposed Budget,Vote: 600,Unspent balances - Conditional Grants
Bukomansimbi District,District Government,"398,887",2c. Other Government Transfers,2014/15 Approved Budget,Vote: 600,National Population and Housing Census - UBOS
Bukomansimbi District,District Government,"5,000",2c. Other Government Transfers,2015/16 Proposed Budget,Vote: 600,National Population and Housing Census - UBOS
Bukomansimbi District,District Government,"3,000",2c. Other Government Transfers,2014/15 Approved Budget,Vote: 600,Ministry of Education - Head Count
Bukomansimbi District,District Government,"3,000",2c. Other Government Transfers,2015/16 Proposed Budget,Vote: 600,Ministry of Education - Head Count
Bukomansimbi District,District Government,"1,933",2c. Other Government Transfers,2014/15 Approved Budget,Vote: 600,Unspent balances - UnConditional Grants
Bukomansimbi District,District Government,,2c. Other Government Transfers,2015/16 Proposed Budget,Vote: 600,Unspent balances - UnConditional Grants
Bukomansimbi District,District Government,"88,540",2c. Other Government Transfers,2014/15 Approved Budget,Vote: 600,Urban Roads
Bukomansimbi District,District Government,"88,540",2c. Other Government Transfers,2015/16 Proposed Budget,Vote: 600,Urban Roads
Bukomansimbi District,District Government,"103,788",2c. Other Government Transfers,2014/15 Approved Budget,Vote: 600,Uganda Road Fund - Mechanised Imprest
Bukomansimbi District,District Government,"103,788",2c. Other Government Transfers,2015/16 Proposed Budget,Vote: 600,Uganda Road Fund - Mechanised Imprest
Bukomansimbi District,District Government,"202,165",3. Local Development Grant,2014/15 Approved Budget,Vote: 600,LGMSD (Former LGDP)
Bukomansimbi District,District Government,"202,165",3. Local Development Grant,2015/16 Proposed Budget,Vote: 600,LGMSD (Former LGDP)
Bukomansimbi District,District Government,"60,000",4. Donor Funding,2014/15 Approved Budget,Vote: 600,Donor Funding - VNG International
Bukomansimbi District,District Government,"60,000",4. Donor Funding,2015/16 Proposed Budget,Vote: 600,Donor Funding - VNG International
Bukomansimbi District,District Government,"40,000",4. Donor Funding,2014/15 Approved Budget,Vote: 600,Other health Interventions
Bukomansimbi District,District Government,"40,000",4. Donor Funding,2015/16 Proposed Budget,Vote: 600,Other health Interventions
Bukomansimbi District,District Government,"350,000",4. Donor Funding,2014/15 Approved Budget,Vote: 600,UNICEF
Bukomansimbi District,District Government,"350,000",4. Donor Funding,2015/16 Proposed Budget,Vote: 600,UNICEF
Bukomansimbi District,District Government,"180,000",4. Donor Funding,2014/15 Approved Budget,Vote: 600,Mildmay ug
Bukomansimbi District,District Government,"180,000",4. Donor Funding,2015/16 Proposed Budget,Vote: 600,Mildmay ug
Bukomansimbi District,District Government,"58,239",4. Donor Funding,2014/15 Approved Budget,Vote: 600,Unspent balances - donor
Bukomansimbi District,District Government,,4. Donor Funding,2015/16 Proposed Budget,Vote: 600,Unspent balances - donor
Bukwo District,District Government,"3,000",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 567,Animal & Crop Husbandry related levies
Bukwo District,District Government,"3,000",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 567,Animal & Crop Husbandry related levies
Bukwo District,District Government,"1,000",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 567,Land Fees
Bukwo District,District Government,"1,000",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 567,Land Fees
Bukwo District,District Government,"65,000",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 567,Local Service Tax
Bukwo District,District Government,"65,000",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 567,Local Service Tax
Bukwo District,District Government,"3,000",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 567,Market/Gate Charges
Bukwo District,District Government,"3,000",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 567,Market/Gate Charges
Bukwo District,District Government,"48,088",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 567,Other Fees and Charges
Bukwo District,District Government,"40,470",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 567,Other Fees and Charges
Bukwo District,District Government,"3,491",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 567,Park Fees
Bukwo District,District Government,"3,491",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 567,Park Fees
Bukwo District,District Government,"4,672",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 567,Registration of Businesses
Bukwo District,District Government,"4,672",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 567,Registration of Businesses
Bukwo District,District Government,"24,800",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 567,Miscellaneous
Bukwo District,District Government,,1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 567,Miscellaneous
Bukwo District,District Government,"35,000",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 567,Business licences
Bukwo District,District Government,"10,447",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 567,Business licences
Bukwo District,District Government,"19,680",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 567,Application Fees
Bukwo District,District Government,"19,680",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 567,Application Fees
Bukwo District,District Government,"1,000",1. Locally Raised Revenues,2014/15 Approved Budget,Vote: 567,"Registration (e.g. Births, Deaths, Marriages, etc.) Fees"
Bukwo District,District Government,"1,000",1. Locally Raised Revenues,2015/16 Proposed Budget,Vote: 567,"Registration (e.g. Births, Deaths, Marriages, etc.) Fees"
Bukwo District,District Government,"1,335,476",2a. Discretionary Government Transfers,2014/15 Approved Budget,Vote: 567,Transfer of District Unconditional Grant - Wage
Bukwo District,District Government,"1,335,476",2a. Discretionary Government Transfers,2015/16 Proposed Budget,Vote: 567,Transfer of District Unconditional Grant - Wage
Bukwo District,District Government,"161,931",2a. Discretionary Government Transfers,2014/15 Approved Budget,Vote: 567,Transfer of Urban Unconditional Grant - Wage
Bukwo District,District Government,"161,931",2a. Discretionary Government Transfers,2015/16 Proposed Budget,Vote: 567,Transfer of Urban Unconditional Grant - Wage
Bukwo District,District Government,"1,350,537",2a. Discretionary Government Transfers,2014/15 Approved Budget,Vote: 567,Hard to reach allowances
Bukwo District,District Government,"1,350,537",2a. Discretionary Government Transfers,2015/16 Proposed Budget,Vote: 567,Hard to reach allowances
Bukwo District,District Government,"62,709",2a. Discretionary Government Transfers,2014/15 Approved Budget,Vote: 567,Urban Unconditional Grant - Non Wage
Bukwo District,District Government,"62,709",2a. Discretionary Government Transfers,2015/16 Proposed Budget,Vote: 567,Urban Unconditional Grant - Non Wage
Bukwo District,District Government,"210,204",2a. Discretionary Government Transfers,2014/15 Approved Budget,Vote: 567,District Unconditional Grant - Non Wage
Bukwo District,District Government,"210,204",2a. Discretionary Government Transfers,2015/16 Proposed Budget,Vote: 567,District Unconditional Grant - Non Wage
Bukwo District,District Government,"278,014",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 567,Conditional Grant to Primary Education
Bukwo District,District Government,"278,014",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 567,Conditional Grant to Primary Education
Bukwo District,District Government,"1,745,511",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 567,Conditional Grant to PHC Salaries
Bukwo District,District Government,"1,745,511",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 567,Conditional Grant to PHC Salaries
Bukwo District,District Government,"3,893,897",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 567,Conditional Grant to Primary Salaries
Bukwo District,District Government,"3,893,897",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 567,Conditional Grant to Primary Salaries
Bukwo District,District Government,"755,357",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 567,Conditional Grant to Secondary Education
Bukwo District,District Government,"755,357",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 567,Conditional Grant to Secondary Education
Bukwo District,District Government,"77,613",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 567,Conditional Grant to PHC- Non wage
Bukwo District,District Government,"77,613",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 567,Conditional Grant to PHC- Non wage
Bukwo District,District Government,"236,338",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 567,Conditional Grant to PHC - development
Bukwo District,District Government,"236,338",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 567,Conditional Grant to PHC - development
Bukwo District,District Government,"37,577",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 567,Conditional Grant to PAF monitoring
Bukwo District,District Government,"37,577",2b. Conditional Government Transfers,2015/16 Proposed Budget,Vote: 567,Conditional Grant to PAF monitoring
Bukwo District,District Government,"7,520",2b. Conditional Government Transfers,2014/15 Approved Budget,Vote: 567,Conditional Grant to NGO Hospitals
