,Budget Type,Department,Economic Function,Ministry,Non-wage,Non-wage Est,Output,Programme,Sector,Total,Total Est,Vote,Wage,Wage Est
6771,,,"211102  Contract Staff Salaries (Incl. Casuals, T",,0,0,,,,"93,500",0,,"93,500",0
6772,,,"221011  Printing, Stationery, Photocopying and ",,0,0,,,,"10,000",0,,"10,000",0
6773,,,222001  Telecommunications,,0,0,,,,"15,000",0,,"15,000",0
6774,,,225001  Consultancy Services- Short-term,,0,0,,,,"50,000",0,,"50,000",0
6775,,,,,,,Output:070103 Monitoring and Supervision of Primary Schools,,,,,,,
6776,,,211103  Allowances,,0,0,,,,"44,523",0,,"44,523",0
6777,,,228002  Maintenance - Vehicles,,0,0,,,,"208,927",0,,"208,927",0
6778,,,,,,,Output:070105 Support to war affected children in Northern Uganda,,,,,,,
6779,,,224002  General Supply of Goods and Services,,0,0,,,,"118,050",0,,"118,050",0
6780,,,,,,,"Output:070176 Purchase of Office and ICT Equipment, including  Software",,,,,,,
6781,,,231005  Machinery and Equipment,,0,0,,,,"10,000",0,,"10,000",0
6782,,,,,,,,Project  0943 Emergency Construction of Primary Schools (0943),,,,,,
6783,,,,,,,"Output:070101 Policies, laws, guidelines, plans and strategies",,,,,,,
6784,,,211103  Allowances,,0,0,,,,"111,000","110,900",,"111,000","110,900"
6785,,,,,,,Output:070180 Classroom construction and rehabilitation (Primary) ,,,,,,,
6786,,,231001  Non-Residential Buildings,,0,0,,,,"1,754,000","1,754,000",,"1,754,000","1,754,000"
6787,,,,,,,,,Education Sector ,,,,,
6788,,,,,,,,,,,,Vote:013,,
6789,,,,Ministry of Education and Sports,,,,,,,,,,
6790,,Vote Function 0701 Pre-Primary and Primary Education,,,,,,,,,,,,
6791,,,,,,,,Project  1232 Karamoja Primary Education Project,,,,,,
6792,,,,,,,"Output:070101 Policies, laws, guidelines, plans and strategies",,,,,,,
6793,,,211103  Allowances,,"155,000","155,000",,,,"155,000","155,000",,0,0
6794,,,221002  Workshops and Seminars,,"210,000","210,000",,,,"210,000","210,000",,0,0
6795,,,"221011  Printing, Stationery, Photocopying and ",,"20,000","20,000",,,,"20,000","30,000",,0,"10,000"
6796,,,,,,,Output:070102 Instructional Materials for Primary Schools,,,,,,,
6797,,,"221007  Books, Periodicals and Newspapers",,"2,051,000","2,621,000",,,,"2,051,000","2,621,000",,0,0
6798,,,,,,,Output:070103 Monitoring and Supervision of Primary Schools,,,,,,,
6799,,,,,,,,,,,"50,000",,,
6800,,,,,,,Output:070180 Classroom construction and rehabilitation (Primary) ,,,,,,,
6801,,,231001  Non-Residential Buildings,,"15,164,000","15,138,408",,,,"15,164,000","15,138,408",,0,0
6802,,,312206  Gross Tax,,0,0,,,,"200,000","500,000",,"200,000","500,000"
6803,,,,,,,,,,,Total,,,
6804,,,,,,,,,,"46,956,550",,,,
6805,,,,,,,,,,"46,756,550",,,,
6806,,Vote Function 0702 Secondary Education,,,,,,,,,,,,
6807,Recurrent Budget Estimates,,,,,,,,,,,,,
6808,,,,,,,,Programme  03 Secondary Education,,,,,,
6809,,,,,,,"Output:070201 Policies, laws, guidelines plans and strategies",,,,,,,
6810,,,211101  General Staff Salaries,,0,0,,,,"118,910","118,910",,"118,910","118,910"
6811,,,211103  Allowances,,"762,801","762,801",,,,"762,801","762,801",,0,0
6812,,,221001  Advertising and Public Relations,,"33,600","33,600",,,,"33,600","33,600",,0,0
6813,,,224002  General Supply of Goods and Services,,"74,479","74,479",,,,"74,479","74,479",,0,0
6814,,,,,,,Output:070202 Instructional Materials for Secondary Schools,,,,,,,
6815,,,"221007  Books, Periodicals and Newspapers",,"1,000,000",0,,,,"1,000,000",0,,0,0
6816,,,221008  Computer Supplies and IT Services,,"739,000","1,239,000",,,,"739,000","1,239,000",,0,0
6817,,,,,,,Output:070203 Monitoring and Supervision of Secondary Schools,,,,,,,
6818,,,227001  Travel Inland,,"67,904","117,904",,,,"67,904","117,904",,0,0
6819,,,227002  Travel Abroad,,"3,000","3,000",,,,"3,000","3,000",,0,0
6820,,,"227004  Fuel, Lubricants and Oils",,"5,249","5,249",,,,"5,249","5,249",,0,0
6821,,,228002  Maintenance - Vehicles,,"1,800","1,800",,,,"1,800","1,800",,0,0
6822,,,,,,,Output:070251 USE Tuition Support,,,,,,,
6823,,,,,,,,,Education Sector ,,,,,
6824,,,,,,,,,,,,Vote:013,,
6825,,,,Ministry of Education and Sports,,,,,,,,,,
6826,,Vote Function 0702 Secondary Education,,,,,,,,,,,,
6827,,,,,,,,Programme  03 Secondary Education,,,,,,
6828,,,263106  Other Current grants(current),,"1,240,350","40,350",,,,"1,240,350","40,350",,0,0
6829,,,,,,,Output:070253 Secondary Examinations (UNEB),,,,,,,
6830,,,263106  Other Current grants(current),,"11,638,600","11,638,600",,,,"11,638,600","11,638,600",,0,0
6831,,,,,,,,Programme  14 Private Schools Department,,,,,,
6832,,,,,,,"Output:070201 Policies, laws, guidelines plans and strategies",,,,,,,
6833,,,211101  General Staff Salaries,,0,0,,,,"118,877","118,877",,"118,877","118,877"
6834,,,211103  Allowances,,"98,800","98,800",,,,"98,800","98,800",,0,0
6835,,,221001  Advertising and Public Relations,,"32,259","32,259",,,,"32,259","32,259",,0,0
6836,,,224002  General Supply of Goods and Services,,"16,672","16,672",,,,"16,672","16,672",,0,0
6837,,,,,,,Output:070205 Monitoring USE Placements in Private Schools,,,,,,,
6838,,,227001  Travel Inland,,"181,351","331,351",,,,"181,351","331,351",,0,0
6839,,,227002  Travel Abroad,,"12,000","12,000",,,,"12,000","12,000",,0,0
6840,,,"227004  Fuel, Lubricants and Oils",,"5,249","5,249",,,,"5,249","5,249",,0,0
6841,,,228002  Maintenance - Vehicles,,"1,800","1,800",,,,"1,800","1,800",,0,0
6842,Development Budget Estimates,,,,,,,,,,,,,
6843,,,,,,,,Project  0897 Development of Secondary Education (0897),,,,,,
6844,,,,,,,"Output:070201 Policies, laws, guidelines plans and strategies",,,,,,,
6845,,,"211102  Contract Staff Salaries (Incl. Casuals, T",,0,0,,,,"593,920","593,920",,"593,920","593,920"
6846,,,211103  Allowances,,0,0,,,,"47,080","47,080",,"47,080","47,080"
6847,,,221001  Advertising and Public Relations,,0,0,,,,"3,000","3,000",,"3,000","3,000"
6848,,,221002  Workshops and Seminars,,0,0,,,,"100,000","70,000",,"100,000","70,000"
6849,,,223005  Electricity,,0,0,,,,"8,000","8,000",,"8,000","8,000"
6850,,,223006  Water,,0,0,,,,"4,000","4,000",,"4,000","4,000"
6851,,,,,,,Output:070202 Instructional Materials for Secondary Schools,,,,,,,
6852,,,"221007  Books, Periodicals and Newspapers",,0,0,,,,"1,000,000","1,266,000",,"1,000,000","1,266,000"
6853,,,221008  Computer Supplies and IT Services,,0,0,,,,"527,000","2,000,000",,"527,000","2,000,000"
6854,,,,,,,Output:070203 Monitoring and Supervision of Secondary Schools,,,,,,,
6855,,,211103  Allowances,,0,0,,,,"171,000","171,000",,"171,000","171,000"
6856,,,,,,,Output:070204 Training of Secondary Teachers,,,,,,,
6857,,,,,,,,,Education Sector ,,,,,
6858,,,,,,,,,,,,Vote:013,,
6859,,,,Ministry of Education and Sports,,,,,,,,,,
6860,,Vote Function 0702 Secondary Education,,,,,,,,,,,,
6861,,,,,,,,Project  0897 Development of Secondary Education (0897),,,,,,
6862,,,211103  Allowances,,0,0,,,,"200,000","200,000",,"200,000","200,000"
6863,,,221002  Workshops and Seminars,,"631,831","1,054,966",,,,"829,831","1,222,666",,"198,000","167,700"
6864,,,221003  Staff Training,,0,0,,,,"292,000","292,000",,"292,000","292,000"
6865,,,,,,,Output:070280 Classroom construction and rehabilitation (Secondary) ,,,,,,,
6866,,,231001  Non-Residential Buildings,,0,0,,,,"1,967,000","1,227,800",,"1,967,000","1,227,800"
6867,,,312206  Gross Tax,,0,0,,,,"100,000","300,000",,"100,000","300,000"
6868,,,,,,,Output:070281 Latrine construction and rehabilitation (Secondary),,,,,,,
6869,,,231001  Non-Residential Buildings,,0,0,,,,"540,000",0,,"540,000",0
6870,,,,,,,Output:070282 Teacher house construction and rehabilitation (Secondary),,,,,,,
6871,,,231002  Residential Buildings,,0,0,,,,"1,200,000",0,,"1,200,000",0
6872,,,,,,,,Project  1091 Support to USE (IDA),,,,,,
6873,,,,,,,"Output:070201 Policies, laws, guidelines plans and strategies",,,,,,,
6874,,,"211102  Contract Staff Salaries (Incl. Casuals, T",,0,0,,,,"420,000","420,000",,"420,000","420,000"
6875,,,211103  Allowances,,0,"783,572",,,,"90,000","823,572",,"90,000","40,000"
6876,,,221001  Advertising and Public Relations,,0,"103,745",,,,"250,000","203,745",,"250,000","100,000"
6877,,,221002  Workshops and Seminars,,0,0,,,,"380,000",0,,"380,000",0
6878,,,221003  Staff Training,,0,0,,,,"79,000","79,000",,"79,000","79,000"
6879,,,"221011  Printing, Stationery, Photocopying and ",,"52,503","56,113",,,,"52,503","56,113",,0,0
6880,,,221012  Small Office Equipment,,0,0,,,,"50,000",0,,"50,000",0
6881,,,222001  Telecommunications,,0,0,,,,"13,000","13,000",,"13,000","13,000"
6882,,,223002  Rates,,0,0,,,,"13,000",0,,"13,000",0
6883,,,223003  Rent - Produced Assets to private entiti,,0,0,,,,"210,000","250,000",,"210,000","250,000"
6884,,,224002  General Supply of Goods and Services,,0,0,,,,"260,000","100,000",,"260,000","100,000"
6885,,,225001  Consultancy Services- Short-term,,"2,126,773","161,864",,,,"2,126,773","161,864",,0,0
6886,,,,,,,Output:070202 Instructional Materials for Secondary Schools,,,,,,,
6887,,,"221007  Books, Periodicals and Newspapers",,"13,124,999","15,777,494",,,,"13,124,999","15,777,494",,0,0
6888,,,224002  General Supply of Goods and Services,,"13,799,235",0,,,,"13,799,235",0,,0,0
6889,,,,,,,Output:070203 Monitoring and Supervision of Secondary Schools,,,,,,,
6890,,,211103  Allowances,,"221,428",0,,,,"821,428",0,,"600,000",0
6891,,,"227004  Fuel, Lubricants and Oils",,0,0,,,,"60,000","59,600",,"60,000","59,600"
6892,,,228002  Maintenance - Vehicles,,0,0,,,,"25,000","25,000",,"25,000","25,000"
6893,,,,,,,Output:070204 Training of Secondary Teachers,,,,,,,
6894,,,221002  Workshops and Seminars,,"500,000",0,,,,"1,020,000",0,,"520,000",0
6895,,,221003  Staff Training,,"625,000",0,,,,"625,000","300,000",,0,"300,000"
6896,,,,,,,,,,,,Vote:013,,
6897,,,,Ministry of Education and Sports,,,,,,,,,,
6898,,Vote Function 0702 Secondary Education,,,,,,,,,,,,
6899,,,,,,,,Project  1091 Support to USE (IDA),,,,,,
6900,,,,,,,Output:070272 Government Buildings and Administrative Infrastructure,,,,,,,
6901,,,231001  Non-Residential Buildings,,"601,354",0,,,,"601,354",0,,0,0
6902,,,,,,,Output:070275 Purchase of Motor Vehicles and Other Transport Equipment,,,,,,,
6903,,,,,,,,,,,"515,000",,,
6904,,,,,,,Output:070277 Purchase of Specialised Machinery & Equipment,,,,,,,
6905,,,231005  Machinery and Equipment,,"266,190","1,780,503",,,,"266,190","1,780,503",,0,0
6906,,,312206  Gross Tax,,0,0,,,,"200,000",0,,"200,000",0
6907,,,,,,,Output:070278 Purchase of Office and Residential Furniture and Fittings,,,,,,,
6908,,,231006  Furniture and Fixtures,,0,0,,,,"50,000",0,,"50,000",0
6909,,,,,,,Output:070280 Classroom construction and rehabilitation (Secondary) ,,,,,,,
6910,,,231001  Non-Residential Buildings,,"35,334,568",0,,,,"35,334,568",0,,0,0
6911,,,,,,,Output:070281 Latrine construction and rehabilitation (Secondary),,,,,,,
6912,,,231001  Non-Residential Buildings,,"4,441,547",0,,,,"4,441,547",0,,0,0
6913,,,,,,,Output:070282 Teacher house construction and rehabilitation (Secondary),,,,,,,
6914,,,231002  Residential Buildings,,"818,818",0,,,,"818,818",0,,0,0
6915,,,,,,,Output:070283 Provision of furniture and equipment to secondary schools,,,,,,,
6916,,,,,,,,,,,"1,868,492",,,
6917,,,,,,,Output:070284 Construction and rehabilitation of learning facilities (Secondary),,,,,,,
6918,,,231001  Non-Residential Buildings,,"22,017,586","19,644,308",,,,"22,017,586","19,644,308",,0,0
6919,,,,,,,,Project  1092 ADB IV Support to USE (1092),,,,,,
6920,,,,,,,"Output:070201 Policies, laws, guidelines plans and strategies",,,,,,,
6921,,,"211102  Contract Staff Salaries (Incl. Casuals, T",,"109,059","109,058",,,,"1,357,871","1,368,201",,"1,248,813","1,259,143"
6922,,,211103  Allowances,,"157,050","157,050",,,,"242,050","232,826",,"85,000","75,776"
6923,,,221001  Advertising and Public Relations,,0,0,,,,"30,000","30,000",,"30,000","30,000"
6924,,,221002  Workshops and Seminars,,"1,671,494","1,671,494",,,,"1,671,494","1,671,494",,0,0
6925,,,221008  Computer Supplies and IT Services,,0,0,,,,"30,000",0,,"30,000",0
6926,,,"221011  Printing, Stationery, Photocopying and ",,"451,940",0,,,,"540,940","80,000",,"89,000","80,000"
6927,,,222001  Telecommunications,,0,0,,,,"12,000","12,000",,"12,000","12,000"
6928,,,222002  Postage and Courier,,0,0,,,,"15,000","9,175",,"15,000","9,175"
6929,,,222003  Information and Communications Tech,,0,0,,,,"16,000","20,744",,"16,000","20,744"
6930,,,223002  Rates,,0,0,,,,"86,482","97,104",,"86,482","97,104"
6931,,,224002  General Supply of Goods and Services,,0,0,,,,"60,000","64,000",,"60,000","64,000"
6932,,,225001  Consultancy Services- Short-term,,"998,824",0,,,,"998,824",0,,0,0
6933,,,225002  Consultancy Services- Long-term,,"1,900,000","3,350,764",,,,"2,110,000","3,771,764",,"210,000","421,000"
6934,,,226001  Insurances,,0,0,,,,"16,000","16,199",,"16,000","16,199"
6935,,,"228003  Maintenance Machinery, Equipment an",,0,0,,,,"25,000","20,456",,"25,000","20,456"
6936,,,,,,,,,,,,Vote:013,,
6937,,,,Ministry of Education and Sports,,,,,,,,,,
6938,,Vote Function 0702 Secondary Education,,,,,,,,,,,,
6939,,,,,,,,Project  1092 ADB IV Support to USE (1092),,,,,,
6940,,,227001  Travel Inland,,0,"51,030",,,,"347,000","476,015",,"347,000","424,985"
6941,,,"227004  Fuel, Lubricants and Oils",,"51,030",0,,,,"158,217",0,,"107,187",0
6942,,,228002  Maintenance - Vehicles,,0,0,,,,"35,000","35,000",,"35,000","35,000"
6943,,,,,,,Output:070280 Classroom construction and rehabilitation (Secondary) ,,,,,,,
6944,,,231001  Non-Residential Buildings,,"45,010,604","69,889,631",,,,"50,542,122","76,020,949",,"5,531,518","6,131,318"
6945,,,312206  Gross Tax,,0,0,,,,"200,000","500,000",,"200,000","500,000"
6946,,,,,,,,,,,Total,,,
6947,,,,,,,,,,"179,379,532",,,,
6948,,,,,,,,,,"178,879,532",,,,
6949,,"Vote Function 0703 Special Needs Education, Guidance and Counselling",,,,,,,,,,,,
6950,Recurrent Budget Estimates,,,,,,,,,,,,,
6951,,,,,,,,Programme  06 Special Needs Education and Career Guidance,,,,,,
6952,,,,,,,"Output:070301 Policies, laws, guidelines, plans and strategies",,,,,,,
6953,,,211101  General Staff Salaries,,0,0,,,,"93,803","93,803",,"93,803","93,803"
6954,,,211103  Allowances,,"24,283","24,293",,,,"24,283","24,293",,0,0
6955,,,221008  Computer Supplies and IT Services,,"11,000","11,000",,,,"11,000","11,000",,0,0
6956,,,221009  Welfare and Entertainment,,"2,520","2,520",,,,"2,520","2,520",,0,0
6957,,,,,,,"Output:070302 Advocacy,Sensitisation and Information Dissemmination",,,,,,,
6958,,,221001  Advertising and Public Relations,,"1,500",0,,,,"1,500",0,,0,0
6959,,,221003  Staff Training,,"21,000","21,000",,,,"21,000","21,000",,0,0
6960,,,"221007  Books, Periodicals and Newspapers",,"321,990","323,490",,,,"321,990","323,490",,0,0
6961,,,,,,,Output:070303 Monitoring and Supervision of Special Needs Facilities,,,,,,,
6962,,,227001  Travel Inland,,"73,978","73,978",,,,"73,978","73,978",,0,0
6963,,,227002  Travel Abroad,,"9,000","9,000",,,,"9,000","9,000",,0,0
6964,,,"227004  Fuel, Lubricants and Oils",,"4,800","4,800",,,,"4,800","4,800",,0,0
6965,,,228002  Maintenance - Vehicles,,"1,800","1,800",,,,"1,800","1,800",,0,0
6966,,,,,,,Output:070351 Special Needs Education Services,,,,,,,
6967,,,263106  Other Current grants(current),,"643,973","643,973",,,,"643,973","643,973",,0,0
6968,,,,,,,,Programme  15 Guidance and Counselling,,,,,,
6969,,,,,,,,,Education Sector ,,,,,
6970,,,,,,,,,,,,Vote:013,,
6971,,,,Ministry of Education and Sports,,,,,,,,,,
6972,,"Vote Function 0703 Special Needs Education, Guidance and Counselling",,,,,,,,,,,,
6973,,,,,,,,Programme  15 Guidance and Counselling,,,,,,
6974,,,,,,,"Output:070301 Policies, laws, guidelines, plans and strategies",,,,,,,
6975,,,211101  General Staff Salaries,,0,0,,,,"94,390","94,390",,"94,390","94,390"
6976,,,211103  Allowances,,"35,887","35,887",,,,"35,887","35,887",,0,0
6977,,,"221007  Books, Periodicals and Newspapers",,"390,892",0,,,,"390,892",0,,0,0
6978,,,221008  Computer Supplies and IT Services,,"8,000","3,250",,,,"8,000","3,250",,0,0
6979,,,221009  Welfare and Entertainment,,"3,600","3,600",,,,"3,600","3,600",,0,0
6980,,,,,,,"Output:070302 Advocacy,Sensitisation and Information Dissemmination",,,,,,,
6981,,,221001  Advertising and Public Relations,,"11,500","11,500",,,,"11,500","11,500",,0,0
6982,,,221003  Staff Training,,"21,000",0,,,,"21,000",0,,0,0
6983,,,227001  Travel Inland,,"69,478","139,478",,,,"69,478","139,478",,0,0
6984,,,227002  Travel Abroad,,"9,000","9,000",,,,"9,000","9,000",,0,0
6985,,,"227004  Fuel, Lubricants and Oils",,"4,800","4,800",,,,"4,800","4,800",,0,0
6986,,,228002  Maintenance - Vehicles,,"1,800","1,800",,,,"1,800","1,800",,0,0
6987,,,,,,,Output:070351 Special Needs Education Services,,,,,,,
6988,,,263106  Other Current grants(current),,"254,000","265,887",,,,"254,000","265,887",,0,0
6989,,,,,,,,,,,Total,,,
6990,,,,,,,,,,"2,113,994",,,,
6991,,,,,,,,,,"2,113,994",,,,
6992,,Vote Function 0704 Higher Education,,,,,,,,,,,,
6993,Recurrent Budget Estimates,,,,,,,,,,,,,
6994,,,,,,,,Programme  07 Higher Education,,,,,,
6995,,,,,,,"Output:070401 Policies, guidelines to universities and other tertiary institutions",,,,,,,
6996,,,211101  General Staff Salaries,,0,0,,,,"146,002","146,002",,"146,002","146,002"
6997,,,211103  Allowances,,"58,800","57,200",,,,"58,800","57,200",,0,0
6998,,,221001  Advertising and Public Relations,,"84,000","32,945",,,,"84,000","32,945",,0,0
6999,,,221006  Commissions and Related Charges,,"75,000","64,480",,,,"75,000","64,480",,0,0
7000,,,221009  Welfare and Entertainment,,"2,700",0,,,,"2,700",0,,0,0
7001,,,227001  Travel Inland,,"73,078","79,675",,,,"73,078","79,675",,0,0
7002,,,,,,,,,Education Sector ,,,,,
7003,,,,,,,,,,,,Vote:013,,
7004,,,,Ministry of Education and Sports,,,,,,,,,,
7005,,Vote Function 0704 Higher Education,,,,,,,,,,,,
7006,,,,,,,,Programme  07 Higher Education,,,,,,
7007,,,227002  Travel Abroad,,"10,800","10,800",,,,"10,800","10,800",,0,0
7008,,,"227004  Fuel, Lubricants and Oils",,"4,800","4,800",,,,"4,800","4,800",,0,0
7009,,,228002  Maintenance - Vehicles,,"1,800","1,800",,,,"1,800","1,800",,0,0
7010,,,,,,,Output:070451 Support establishment of constituent colleges and Public Universities,,,,,,,
7011,,,264101  Contributions to Autonomous Inst.,,"2,000,000","2,000,000",,,,"2,000,000","2,000,000",,0,0
7012,,,,,,,Output:070452 Support to Research Institutions in Public Universities,,,,,,,
7013,,,263106  Other Current grants(current),,"1,956,600","1,956,600",,,,"1,956,600","1,956,600",,0,0
7014,,,,,,,Output:070453 Sponsorship Scheme and Staff Development for Masters and Phds,,,,,,,
7015,,,263106  Other Current grants(current),,"31,752,500","6,752,500",,,,"31,752,500","6,752,500",,0,0
7016,,,,,,,"Output:070454 Monitoring/supervision and Quality assurance for Tertiary Institutions (AICAD, NCHE, JAB)",,,,,,,
7017,,,263106  Other Current grants(current),,"2,940,000","2,940,000",,,,"2,940,000","2,940,000",,0,0
7018,,,,,,,Output:070455 Operational Support for Public and Private Universities,,,,,,,
7019,,,263340  Other grants,,"7,200,000","12,200,000",,,,"7,200,000","12,200,000",,0,0
7020,Development Budget Estimates,,,,,,,,,,,,,
7021,,,,,,,,Project  1241 Development of Uganda Petroleum Institute Kigumba,,,,,,
7022,,,,,,,Output:070480 Construction and Rehabilitation of facilities,,,,,,,
7023,,,231001  Non-Residential Buildings,,"14,410,000","3,222,720",,,,"24,410,000","13,222,720",,"10,000,000","10,000,000"
7024,,,312206  Gross Tax,,0,0,,,,"300,000","500,000",,"300,000","500,000"
7025,,,,,,,,"Project  1273 Support to Higher Education, Science & Technology",,,,,,
7026,,,,,,,,,Education Sector ,,,,,
7027,,,,,,,,,,,,Vote:013,,
7028,,,,Ministry of Education and Sports,,,,,,,,,,
7029,,Vote Function 0704 Higher Education,,,,,,,,,,,,
7030,,,,,,,,"Project  1273 Support to Higher Education, Science & Technology",,,,,,
7031,,,,,,,Output:070402 Operational Support for Private Universities,,,,,,,
7032,,,,,,,,,,,"1,006,000",,,
7033,,,,,,,,,,,"1,006,000",,,
7034,,,,,,,"Output:070476 Purchase of Office and ICT Equipment, including  Software",,,,,,,
7035,,,,,,,,,,,"5,000,000",,,
7036,,,,,,,Output:070480 Construction and Rehabilitation of facilities,,,,,,,
7037,,,,,,,,,,,"11,000,485",,,
7038,,,,,,,,,,,"16,000,485",,,
7039,,,,,,,,,,,"17,006,485",,,
7040,,,,,,,,,,,"17,006,485",,,
7041,,,,,,,,,,,Total,,,
7042,,,,,,,,,,"71,016,083",,,,
7043,,,,,,,,,,"70,716,083",,,,
7044,,Vote Function 0705 Skills Development,,,,,,,,,,,,
7045,Recurrent Budget Estimates,,,,,,,,,,,,,
7046,,,,,,,,Programme  05 BTVET,,,,,,
7047,,,,,,,"Output:070501 Policies, laws, guidelines plans and strategies",,,,,,,
7048,,,211101  General Staff Salaries,,0,0,,,,"2,289,081","2,289,081",,"2,289,081","2,289,081"
7049,,,211103  Allowances,,"30,432","30,433",,,,"30,432","30,433",,0,0
7050,,,224002  General Supply of Goods and Services,,"11,949","11,949",,,,"11,949","11,949",,0,0
7051,,,,,,,Output:070503 Monitoring and Supervision of BTVET Institutions,,,,,,,
7052,,,227001  Travel Inland,,"20,413","20,413",,,,"20,413","20,413",,0,0
7053,,,227002  Travel Abroad,,"12,000","12,000",,,,"12,000","12,000",,0,0
7054,,,"227004  Fuel, Lubricants and Oils",,"4,800","4,800",,,,"4,800","4,800",,0,0
7055,,,228002  Maintenance - Vehicles,,"1,800","1,800",,,,"1,800","1,800",,0,0
7056,,,,,,,"Output:070553 Assessment and Profiling of Industrial Skills (DIT, Industrial Training Council)",,,,,,,
7057,,,264101  Contributions to Autonomous Inst.,,"1,100,714","1,100,714",,,,"1,100,714","1,100,714",,0,0
7058,,,,,,,Output:070554 Operational Support to Government Technical Colleges,,,,,,,
7059,,,,,,,,,Education Sector ,,,,,
7060,,,,,,,,,,,,Vote:013,,
7061,,,,Ministry of Education and Sports,,,,,,,,,,
7062,,Vote Function 0705 Skills Development,,,,,,,,,,,,
7063,,,,,,,,Programme  05 BTVET,,,,,,
7064,,,263106  Other Current grants(current),,"13,302,995","13,054,805",,,,"13,302,995","13,054,805",,0,0
7065,,,,,,,,Programme  10 NHSTC,,,,,,
7066,,,,,,,"Output:070501 Policies, laws, guidelines plans and strategies",,,,,,,
7067,,,211103  Allowances,,"52,200","52,314",,,,"52,200","52,314",,0,0
7068,,,,,,,Output:070552 Assessment and Technical Support for Health Workers and Colleges,,,,,,,
7069,,,263106  Other Current grants(current),,"5,112,000","7,658,085",,,,"5,112,000","7,658,085",,0,0
7070,,,,,,,,Programme  11 Dept. Training Institutions,,,,,,
7071,,,,,,,"Output:070501 Policies, laws, guidelines plans and strategies",,,,,,,
7072,,,211101  General Staff Salaries,,0,0,,,,"615,919","615,919",,"615,919","615,919"
7073,,,211103  Allowances,,"47,400","47,400",,,,"47,400","47,400",,0,0
7074,,,,,,,Output:070551 Operational Support to UPPET  BTVET Institutions,,,,,,,
7075,,,,,,,,,Education Sector ,,,,,
7076,,,,,,,,,,,,Vote:013,,
7077,,,,Ministry of Education and Sports,,,,,,,,,,
7078,,Vote Function 0705 Skills Development,,,,,,,,,,,,
7079,,,,,,,,Programme  11 Dept. Training Institutions,,,,,,
7080,,,263106  Other Current grants(current),,"2,037,000","2,037,441",,,,"2,037,000","2,037,441",,0,0
7081,Development Budget Estimates,,,,,,,,,,,,,
7082,,,,,,,,Project  0191 Rehabilitation Nat. Health Training College,,,,,,
7083,,,,,,,"Output:070501 Policies, laws, guidelines plans and strategies",,,,,,,
7084,,,221008  Computer Supplies and IT Services,,0,0,,,,"30,000",0,,"30,000",0
7085,,,,,,,Output:070503 Monitoring and Supervision of BTVET Institutions,,,,,,,
7086,,,211103  Allowances,,0,0,,,,"100,000",0,,"100,000",0
7087,,,,,,,Output:070577 Purchase of Specialised Machinery & Equipment,,,,,,,
7088,,,231005  Machinery and Equipment,,0,0,,,,"84,000",0,,"84,000",0
7089,,,312206  Gross Tax,,0,0,,,,"100,000",0,,"100,000",0
7090,,,,,,,Output:070580 Construction and rehabilitation of learning facilities (BTEVET),,,,,,,
7091,,,231001  Non-Residential Buildings,,0,0,,,,"1,594,000",0,,"1,594,000",0
7092,,,,,,,Output:070582 Construction and rehabilitation of Accomodation facilities (BTVET),,,,,,,
7093,,,231001  Non-Residential Buildings,,0,0,,,,"600,000",0,,"600,000",0
7094,,,,,,,,Project  0942 Development of BTVET,,,,,,
7095,,,,,,,"Output:070501 Policies, laws, guidelines plans and strategies",,,,,,,
7096,,,,,,,,,,,,Vote:013,,
7097,,,,Ministry of Education and Sports,,,,,,,,,,
7098,,Vote Function 0705 Skills Development,,,,,,,,,,,,
7099,,,,,,,,Project  0942 Development of BTVET,,,,,,
7100,,,"221011  Printing, Stationery, Photocopying and ",,0,0,,,,"32,923","20,000",,"32,923","20,000"
7101,,,221012  Small Office Equipment,,0,0,,,,"16,000","8,000",,"16,000","8,000"
7102,,,222001  Telecommunications,,0,0,,,,"8,000","5,600",,"8,000","5,600"
7103,,,222002  Postage and Courier,,0,0,,,,"9,600","4,800",,"9,600","4,800"
7104,,,228002  Maintenance - Vehicles,,0,0,,,,"36,000","10,000",,"36,000","10,000"
7105,,,"228003  Maintenance Machinery, Equipment an",,0,0,,,,"12,000","2,600",,"12,000","2,600"
7106,,,,,,,Output:070502 Training and Capacity Building of BTVET Institutions,,,,,,,
7107,,,221002  Workshops and Seminars,,0,"7,980,000",,,,"2,000,000","8,538,962",,"2,000,000","558,962"
7108,,,,,,,Output:070503 Monitoring and Supervision of BTVET Institutions,,,,,,,
7109,,,211103  Allowances,,0,0,,,,"255,426",0,,"255,426",0
7110,,,227001  Travel Inland,,0,0,,,,"80,000",0,,"80,000",0
7111,,,,,,,Output:070577 Purchase of Specialised Machinery & Equipment,,,,,,,
7112,,,231005  Machinery and Equipment,,"800,000",0,,,,"1,630,000","800,000",,"830,000","800,000"
7113,,,312206  Gross Tax,,0,0,,,,"50,000","100,000",,"50,000","100,000"
7114,,,,,,,Output:070580 Construction and rehabilitation of learning facilities (BTEVET),,,,,,,
7115,,,231001  Non-Residential Buildings,,"14,070,000","20,781,670",,,,"19,020,000","25,583,862",,"4,950,000","4,802,191"
7116,,,,,,,Output:070581 Classroom construction and rehabilitation (BTVET) ,,,,,,,
7117,,,312206  Gross Tax,,0,0,,,,"100,000",0,,"100,000",0
