Budget Type,District,Government,Budget,Economic Function,year,Vote,ofWhich,Budget Function,Programme
Recurrent Budget Estimates,BUSIA District,Central Government,"1,174,113",321419  Conditional Grant to Secondary Education,2015/16 Draft Estimates,Vote:507,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,BUSIA District,Central Government,"772,898",321411  Conditional Grant to Primary Education,2015/16 Draft Estimates,Vote:507,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,BUSIA District,Central Government,"1,526,587",321406  Conditional Grant to Secondary Salaries,2015/16 Draft Estimates,Vote:507,,Wage,Programme  06 Education
Recurrent Budget Estimates,BUSIA District,Central Government,"7,272,230",321405  Conditional Grant to Primary Salaries,2015/16 Draft Estimates,Vote:507,,Wage,Programme  06 Education
Recurrent Budget Estimates,BUSIA District,Central Government,"385,853",321404  Conditional Grant to Tertiary Salaries,2015/16 Draft Estimates,Vote:507,,Wage,Programme  06 Education
Recurrent Budget Estimates,BUSIA District,Central Government,"22,000",321449  Sanitation and Hygiene,2015/16 Draft Estimates,Vote:507,,Non Wage,Programme  08 Natural Resources
Recurrent Budget Estimates,BUSIA District,Central Government,"20,672",321436  Conditional Grant to District Natural Res. - Wetlands (Non Wage),2015/16 Draft Estimates,Vote:507,,Non Wage,Programme  08 Natural Resources
Recurrent Budget Estimates,BUSIA District,Central Government,"25,680",321446  Conditional transfers to Special Grant for PWDs,2015/16 Draft Estimates,Vote:507,,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,BUSIA District,Central Government,"12,300",321437  Conditional Grant to Women Youth and Disability Grant,2015/16 Draft Estimates,Vote:507,,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,BUSIA District,Central Government,"2,460",o/w Disability,2015/16 Draft Estimates,Vote:507,321437  Conditional Grant to Women Youth and Disability Grant,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,BUSIA District,Central Government,"4,920",o/w Women,2015/16 Draft Estimates,Vote:507,321437  Conditional Grant to Women Youth and Disability Grant,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,BUSIA District,Central Government,"4,920",o/w Youth,2015/16 Draft Estimates,Vote:507,321437  Conditional Grant to Women Youth and Disability Grant,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,BUSIA District,Central Government,"20,707",321434  Conditional Grant to Community Devt Assistants Non Wage,2015/16 Draft Estimates,Vote:507,,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,BUSIA District,Central Government,"17,291",o/w CBR,2015/16 Draft Estimates,Vote:507,321434  Conditional Grant to Community Devt Assistants Non Wage,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,BUSIA District,Central Government,"13,485",321420  Conditional Grant to Functional Adult Lit,2015/16 Draft Estimates,Vote:507,,Non Wage,Programme  09 Community Based Services
Development Budget Estimates,BUSIA District,Central Government,"361,195",321426  LGMSD (Former LGDP),2015/16 Draft Estimates,Vote:507,,Dev't,Project  0115 LGDP FUND
Development Budget Estimates,BUSIA District,Central Government,"436,809",321428  Conditional transfer for Rural Water,2015/16 Draft Estimates,Vote:507,,Dev't,Project  0156 RURAL WATER AND SANITATION
Development Budget Estimates,BUSIA District,Central Government,"157,539",321431  Conditional Grant to PHC - development,2015/16 Draft Estimates,Vote:507,,Dev't,Project  0422 PRIMARY HEALTH CARE
Development Budget Estimates,BUSIA District,Central Government,"449,438",321433  Conditional Grant to SFG,2015/16 Draft Estimates,Vote:507,,Dev't,Project  0423 SCHOOL CONSTRUCTION PROGRAMME
Development Budget Estimates,BUSIA District,Central Government,"268,829",321412  Roads Rehabilitation Grant,2015/16 Draft Estimates,Vote:507,,Dev't,Project  1168 ROAD REHABILITATION GRANT
Recurrent Budget Estimates,GULU District,Central Government,"3,529,090",321453  Hard to reach allowances,2015/16 Draft Estimates,Vote:508,,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,GULU District,Central Government,"2,009,183",321451  Transfer of District Unconditional Grant - Wage,2015/16 Draft Estimates,Vote:508,,Wage,Programme  01 Administration
Recurrent Budget Estimates,GULU District,Central Government,"80,883",321403  District Equalisation Grant,2015/16 Draft Estimates,Vote:508,,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,GULU District,Central Government,"675,203",321401  District Unconditional Grant - Non Wage,2015/16 Draft Estimates,Vote:508,,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,GULU District,Central Government,"30,000",221016  IFMS Recurrent Costs,2015/16 Draft Estimates,Vote:508,,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,GULU District,Central Government,"110,115",321427  Conditional Grant to PAF monitoring,2015/16 Draft Estimates,Vote:508,,Non Wage,"Programme  02 Finance, Planning and Internal Audit"
Recurrent Budget Estimates,GULU District,Central Government,"54,841",o/w Normal PAF Monitoring & Accountability,2015/16 Draft Estimates,Vote:508,321427  Conditional Grant to PAF monitoring,Non Wage,"Programme  02 Finance, Planning and Internal Audit"
Recurrent Budget Estimates,GULU District,Central Government,"38,006",o/w PRDP allocation,2015/16 Draft Estimates,Vote:508,321427  Conditional Grant to PAF monitoring,Non Wage,"Programme  02 Finance, Planning and Internal Audit"
Recurrent Budget Estimates,GULU District,Central Government,"17,269",o/w Printing of Payslips,2015/16 Draft Estimates,Vote:508,321427  Conditional Grant to PAF monitoring,Non Wage,"Programme  02 Finance, Planning and Internal Audit"
Recurrent Budget Estimates,GULU District,Central Government,"118,526",321445  Conditional transfers to Councillors allowances and Ex- Gratia for LLGs,2015/16 Draft Estimates,Vote:508,,Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,GULU District,Central Government,"108,701",321444  Conditional transfers to Salary and Gratuity for LG elected Political Leaders,2015/16 Draft Estimates,Vote:508,,Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,GULU District,Central Government,"65,940",321439  Conditional transfers to DSC Operational Costs,2015/16 Draft Estimates,Vote:508,,Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,GULU District,Central Government,"66,126","321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",2015/16 Draft Estimates,Vote:508,,Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,GULU District,Central Government,"5,212",o/w Contracts Committee,2015/16 Draft Estimates,Vote:508,"321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,GULU District,Central Government,"7,903",o/w District Land Board,2015/16 Draft Estimates,Vote:508,"321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,GULU District,Central Government,"15,005",o/w PAC,2015/16 Draft Estimates,Vote:508,"321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,GULU District,Central Government,"38,006",o/w PRDP Component,2015/16 Draft Estimates,Vote:508,"321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,GULU District,Central Government,"24,336",321410  Conditional Grant to DSC Chairs’ Salaries,2015/16 Draft Estimates,Vote:508,,Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,GULU District,Central Government,"255,154",321448  Conditional transfers to Production and Marketing,2015/16 Draft Estimates,Vote:508,,Non Wage,Programme  04 Production
Recurrent Budget Estimates,GULU District,Central Government,"7,200",o/w Trade and Commercial Services,2015/16 Draft Estimates,Vote:508,321448  Conditional transfers to Production and Marketing,Non Wage,Programme  04 Production
Recurrent Budget Estimates,GULU District,Central Government,"178,246",321408  Conditional Grant to Agric. Ext Salaries,2015/16 Draft Estimates,Vote:508,,Wage,Programme  04 Production
Recurrent Budget Estimates,GULU District,Central Government,"781,662",321418  Conditional Grant to NGO Hospitals,2015/16 Draft Estimates,Vote:508,,Non Wage,Programme  05 Health
Recurrent Budget Estimates,GULU District,Central Government,"182,140",321413  Conditional Grant to PHC- Non wage,2015/16 Draft Estimates,Vote:508,,Non Wage,Programme  05 Health
Recurrent Budget Estimates,GULU District,Central Government,"2,686,836",321407  Conditional Grant to PHC Salaries,2015/16 Draft Estimates,Vote:508,,Wage,Programme  05 Health
Recurrent Budget Estimates,GULU District,Central Government,"433,254",321462  Conditional Transfers for Primary Teachers Colleges,2015/16 Draft Estimates,Vote:508,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,GULU District,Central Government,"98,000",321455  Conditional Transfers for Non Wage Community Polytechnics,2015/16 Draft Estimates,Vote:508,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,GULU District,Central Government,"36,521",321447  Conditional transfers to School Inspection Grant,2015/16 Draft Estimates,Vote:508,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,GULU District,Central Government,"17,010",o/w DEO Operational Costs,2015/16 Draft Estimates,Vote:508,321447  Conditional transfers to School Inspection Grant,Non Wage,Programme  06 Education
Recurrent Budget Estimates,GULU District,Central Government,"271,068",321432  Conditional Grant to Health Training Schools,2015/16 Draft Estimates,Vote:508,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,GULU District,Central Government,"554,853",321419  Conditional Grant to Secondary Education,2015/16 Draft Estimates,Vote:508,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,GULU District,Central Government,"741,175",321411  Conditional Grant to Primary Education,2015/16 Draft Estimates,Vote:508,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,GULU District,Central Government,"2,087,456",321406  Conditional Grant to Secondary Salaries,2015/16 Draft Estimates,Vote:508,,Wage,Programme  06 Education
Recurrent Budget Estimates,GULU District,Central Government,"9,652,375",321405  Conditional Grant to Primary Salaries,2015/16 Draft Estimates,Vote:508,,Wage,Programme  06 Education
Recurrent Budget Estimates,GULU District,Central Government,"608,306",321404  Conditional Grant to Tertiary Salaries,2015/16 Draft Estimates,Vote:508,,Wage,Programme  06 Education
Recurrent Budget Estimates,GULU District,Central Government,"22,000",321449  Sanitation and Hygiene,2015/16 Draft Estimates,Vote:508,,Non Wage,Programme  08 Natural Resources
Recurrent Budget Estimates,GULU District,Central Government,"87,980",321436  Conditional Grant to District Natural Res. - Wetlands (Non Wage),2015/16 Draft Estimates,Vote:508,,Non Wage,Programme  08 Natural Resources
Recurrent Budget Estimates,GULU District,Central Government,"27,630",321446  Conditional transfers to Special Grant for PWDs,2015/16 Draft Estimates,Vote:508,,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,GULU District,Central Government,"13,234",321437  Conditional Grant to Women Youth and Disability Grant,2015/16 Draft Estimates,Vote:508,,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,GULU District,Central Government,"2,647",o/w Disability,2015/16 Draft Estimates,Vote:508,321437  Conditional Grant to Women Youth and Disability Grant,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,GULU District,Central Government,"5,294",o/w Women,2015/16 Draft Estimates,Vote:508,321437  Conditional Grant to Women Youth and Disability Grant,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,GULU District,Central Government,"5,294",o/w Youth,2015/16 Draft Estimates,Vote:508,321437  Conditional Grant to Women Youth and Disability Grant,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,GULU District,Central Government,"16,355",321434  Conditional Grant to Community Devt Assistants Non Wage,2015/16 Draft Estimates,Vote:508,,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,GULU District,Central Government,"12,680",o/w CBR,2015/16 Draft Estimates,Vote:508,321434  Conditional Grant to Community Devt Assistants Non Wage,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,GULU District,Central Government,"14,509",321420  Conditional Grant to Functional Adult Lit,2015/16 Draft Estimates,Vote:508,,Non Wage,Programme  09 Community Based Services
Development Budget Estimates,GULU District,Central Government,"550,738",321426  LGMSD (Former LGDP),2015/16 Draft Estimates,Vote:508,,Dev't,Project  0115 LGDP FUND
Development Budget Estimates,GULU District,Central Government,"751,145",321428  Conditional transfer for Rural Water,2015/16 Draft Estimates,Vote:508,,Dev't,Project  0156 RURAL WATER AND SANITATION
Development Budget Estimates,GULU District,Central Government,"398,659",321431  Conditional Grant to PHC - development,2015/16 Draft Estimates,Vote:508,,Dev't,Project  0422 PRIMARY HEALTH CARE
Development Budget Estimates,GULU District,Central Government,"558,348",321433  Conditional Grant to SFG,2015/16 Draft Estimates,Vote:508,,Dev't,Project  0423 SCHOOL CONSTRUCTION PROGRAMME
Development Budget Estimates,GULU District,Central Government,"892,058",321412  Roads Rehabilitation Grant,2015/16 Draft Estimates,Vote:508,,Dev't,Project  1168 ROAD REHABILITATION GRANT
Recurrent Budget Estimates,HOIMA District,Central Government,"1,307,160",321451  Transfer of District Unconditional Grant - Wage,2015/16 Draft Estimates,Vote:509,,Wage,Programme  01 Administration
Recurrent Budget Estimates,HOIMA District,Central Government,"107,487",321450  Transfer of Urban Unconditional Grant - Wage,2015/16 Draft Estimates,Vote:509,,Wage,Programme  01 Administration
Recurrent Budget Estimates,HOIMA District,Central Government,"52,650",321402  Urban Unconditional Grant - Non Wage,2015/16 Draft Estimates,Vote:509,,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,HOIMA District,Central Government,"52,650",o/w Kigorobya T.C,2015/16 Draft Estimates,Vote:509,321402  Urban Unconditional Grant - Non Wage,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,HOIMA District,Central Government,"857,562",321401  District Unconditional Grant - Non Wage,2015/16 Draft Estimates,Vote:509,,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,HOIMA District,Central Government,"56,494",321427  Conditional Grant to PAF monitoring,2015/16 Draft Estimates,Vote:509,,Non Wage,"Programme  02 Finance, Planning and Internal Audit"
Recurrent Budget Estimates,HOIMA District,Central Government,"43,795",o/w Normal PAF Monitoring & Accountability,2015/16 Draft Estimates,Vote:509,321427  Conditional Grant to PAF monitoring,Non Wage,"Programme  02 Finance, Planning and Internal Audit"
Recurrent Budget Estimates,HOIMA District,Central Government,"12,699",o/w Printing of Payslips,2015/16 Draft Estimates,Vote:509,321427  Conditional Grant to PAF monitoring,Non Wage,"Programme  02 Finance, Planning and Internal Audit"
Recurrent Budget Estimates,HOIMA District,Central Government,"132,463",321445  Conditional transfers to Councillors allowances and Ex- Gratia for LLGs,2015/16 Draft Estimates,Vote:509,,Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,HOIMA District,Central Government,"189,821",321444  Conditional transfers to Salary and Gratuity for LG elected Political Leaders,2015/16 Draft Estimates,Vote:509,,Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,HOIMA District,Central Government,"48,646",321439  Conditional transfers to DSC Operational Costs,2015/16 Draft Estimates,Vote:509,,Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,HOIMA District,Central Government,"28,120","321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",2015/16 Draft Estimates,Vote:509,,Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,HOIMA District,Central Government,"5,212",o/w Contracts Committee,2015/16 Draft Estimates,Vote:509,"321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,HOIMA District,Central Government,"7,903",o/w District Land Board,2015/16 Draft Estimates,Vote:509,"321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,HOIMA District,Central Government,"15,005",o/w PAC,2015/16 Draft Estimates,Vote:509,"321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,HOIMA District,Central Government,"24,336",321410  Conditional Grant to DSC Chairs’ Salaries,2015/16 Draft Estimates,Vote:509,,Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,HOIMA District,Central Government,"177,050",321448  Conditional transfers to Production and Marketing,2015/16 Draft Estimates,Vote:509,,Non Wage,Programme  04 Production
Recurrent Budget Estimates,HOIMA District,Central Government,"148,421",321408  Conditional Grant to Agric. Ext Salaries,2015/16 Draft Estimates,Vote:509,,Wage,Programme  04 Production
Recurrent Budget Estimates,HOIMA District,Central Government,"32,973",321418  Conditional Grant to NGO Hospitals,2015/16 Draft Estimates,Vote:509,,Non Wage,Programme  05 Health
Recurrent Budget Estimates,HOIMA District,Central Government,"273,819",321413  Conditional Grant to PHC- Non wage,2015/16 Draft Estimates,Vote:509,,Non Wage,Programme  05 Health
Recurrent Budget Estimates,HOIMA District,Central Government,"2,347,955",321407  Conditional Grant to PHC Salaries,2015/16 Draft Estimates,Vote:509,,Wage,Programme  05 Health
Recurrent Budget Estimates,HOIMA District,Central Government,"399,509",321462  Conditional Transfers for Primary Teachers Colleges,2015/16 Draft Estimates,Vote:509,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,HOIMA District,Central Government,"134,200",321461  Conditional Transfers for Non Wage Technical Institutes,2015/16 Draft Estimates,Vote:509,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,HOIMA District,Central Government,"66,000",321455  Conditional Transfers for Non Wage Community Polytechnics,2015/16 Draft Estimates,Vote:509,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,HOIMA District,Central Government,"46,818",321447  Conditional transfers to School Inspection Grant,2015/16 Draft Estimates,Vote:509,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,HOIMA District,Central Government,"21,607",o/w DEO Operational Costs,2015/16 Draft Estimates,Vote:509,321447  Conditional transfers to School Inspection Grant,Non Wage,Programme  06 Education
Recurrent Budget Estimates,HOIMA District,Central Government,"933,882",321419  Conditional Grant to Secondary Education,2015/16 Draft Estimates,Vote:509,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,HOIMA District,Central Government,"685,006",321411  Conditional Grant to Primary Education,2015/16 Draft Estimates,Vote:509,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,HOIMA District,Central Government,"1,162,100",321406  Conditional Grant to Secondary Salaries,2015/16 Draft Estimates,Vote:509,,Wage,Programme  06 Education
Recurrent Budget Estimates,HOIMA District,Central Government,"6,913,283",321405  Conditional Grant to Primary Salaries,2015/16 Draft Estimates,Vote:509,,Wage,Programme  06 Education
Recurrent Budget Estimates,HOIMA District,Central Government,"22,000",321449  Sanitation and Hygiene,2015/16 Draft Estimates,Vote:509,,Non Wage,Programme  08 Natural Resources
Recurrent Budget Estimates,HOIMA District,Central Government,"8,462",321436  Conditional Grant to District Natural Res. - Wetlands (Non Wage),2015/16 Draft Estimates,Vote:509,,Non Wage,Programme  08 Natural Resources
Recurrent Budget Estimates,HOIMA District,Central Government,"37,801",321446  Conditional transfers to Special Grant for PWDs,2015/16 Draft Estimates,Vote:509,,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,HOIMA District,Central Government,"18,106",321437  Conditional Grant to Women Youth and Disability Grant,2015/16 Draft Estimates,Vote:509,,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,HOIMA District,Central Government,"3,621",o/w Disability,2015/16 Draft Estimates,Vote:509,321437  Conditional Grant to Women Youth and Disability Grant,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,HOIMA District,Central Government,"7,242",o/w Women,2015/16 Draft Estimates,Vote:509,321437  Conditional Grant to Women Youth and Disability Grant,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,HOIMA District,Central Government,"7,242",o/w Youth,2015/16 Draft Estimates,Vote:509,321437  Conditional Grant to Women Youth and Disability Grant,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,HOIMA District,Central Government,"17,708",321434  Conditional Grant to Community Devt Assistants Non Wage,2015/16 Draft Estimates,Vote:509,,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,HOIMA District,Central Government,"12,680",o/w CBR,2015/16 Draft Estimates,Vote:509,321434  Conditional Grant to Community Devt Assistants Non Wage,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,HOIMA District,Central Government,"15,000",321430  Conditional Grant to Public Libraries,2015/16 Draft Estimates,Vote:509,,Non Wage,Programme  09 Community Based Services
Recurrent Budget Estimates,HOIMA District,Central Government,"19,849",321420  Conditional Grant to Functional Adult Lit,2015/16 Draft Estimates,Vote:509,,Non Wage,Programme  09 Community Based Services
Development Budget Estimates,HOIMA District,Central Government,"794,522",321426  LGMSD (Former LGDP),2015/16 Draft Estimates,Vote:509,,Dev't,Project  0115 LGDP FUND
Development Budget Estimates,HOIMA District,Central Government,"27,601",o/w Kigorobya T.C.,2015/16 Draft Estimates,Vote:509,321426  LGMSD (Former LGDP),Dev't,Project  0115 LGDP FUND
Development Budget Estimates,HOIMA District,Central Government,"383,567",321428  Conditional transfer for Rural Water,2015/16 Draft Estimates,Vote:509,,Dev't,Project  0156 RURAL WATER AND SANITATION
Development Budget Estimates,HOIMA District,Central Government,"32,673",321431  Conditional Grant to PHC - development,2015/16 Draft Estimates,Vote:509,,Dev't,Project  0422 PRIMARY HEALTH CARE
Development Budget Estimates,HOIMA District,Central Government,"293,188",321433  Conditional Grant to SFG,2015/16 Draft Estimates,Vote:509,,Dev't,Project  0423 SCHOOL CONSTRUCTION PROGRAMME
Recurrent Budget Estimates,IGANGA District,Central Government,"1,403,753",321451  Transfer of District Unconditional Grant - Wage,2015/16 Draft Estimates,Vote:510,,Wage,Programme  01 Administration
Recurrent Budget Estimates,IGANGA District,Central Government,"131,288",321450  Transfer of Urban Unconditional Grant - Wage,2015/16 Draft Estimates,Vote:510,,Wage,Programme  01 Administration
Recurrent Budget Estimates,IGANGA District,Central Government,"74,977",321402  Urban Unconditional Grant - Non Wage,2015/16 Draft Estimates,Vote:510,,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,IGANGA District,Central Government,"74,977",o/w Busembatya T.C,2015/16 Draft Estimates,Vote:510,321402  Urban Unconditional Grant - Non Wage,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,IGANGA District,Central Government,"673,002",321401  District Unconditional Grant - Non Wage,2015/16 Draft Estimates,Vote:510,,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,IGANGA District,Central Government,"30,000",221016  IFMS Recurrent Costs,2015/16 Draft Estimates,Vote:510,,Non Wage,Programme  01 Administration
Recurrent Budget Estimates,IGANGA District,Central Government,"76,982",321427  Conditional Grant to PAF monitoring,2015/16 Draft Estimates,Vote:510,,Non Wage,"Programme  02 Finance, Planning and Internal Audit"
Recurrent Budget Estimates,IGANGA District,Central Government,"53,614",o/w Normal PAF Monitoring & Accountability,2015/16 Draft Estimates,Vote:510,321427  Conditional Grant to PAF monitoring,Non Wage,"Programme  02 Finance, Planning and Internal Audit"
Recurrent Budget Estimates,IGANGA District,Central Government,"23,367",o/w Printing of Payslips,2015/16 Draft Estimates,Vote:510,321427  Conditional Grant to PAF monitoring,Non Wage,"Programme  02 Finance, Planning and Internal Audit"
Recurrent Budget Estimates,IGANGA District,Central Government,"134,402",321445  Conditional transfers to Councillors allowances and Ex- Gratia for LLGs,2015/16 Draft Estimates,Vote:510,,Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,IGANGA District,Central Government,"150,883",321444  Conditional transfers to Salary and Gratuity for LG elected Political Leaders,2015/16 Draft Estimates,Vote:510,,Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,IGANGA District,Central Government,"77,920",321439  Conditional transfers to DSC Operational Costs,2015/16 Draft Estimates,Vote:510,,Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,IGANGA District,Central Government,"28,120","321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",2015/16 Draft Estimates,Vote:510,,Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,IGANGA District,Central Government,"5,212",o/w Contracts Committee,2015/16 Draft Estimates,Vote:510,"321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,IGANGA District,Central Government,"7,903",o/w District Land Board,2015/16 Draft Estimates,Vote:510,"321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,IGANGA District,Central Government,"15,005",o/w PAC,2015/16 Draft Estimates,Vote:510,"321422  Conditional transfers to Contracts Committee/DSC/PAC/Land Boards, etc.",Non Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,IGANGA District,Central Government,"24,336",321410  Conditional Grant to DSC Chairs’ Salaries,2015/16 Draft Estimates,Vote:510,,Wage,Programme  03 Statutory Bodies
Recurrent Budget Estimates,IGANGA District,Central Government,"139,929",321448  Conditional transfers to Production and Marketing,2015/16 Draft Estimates,Vote:510,,Non Wage,Programme  04 Production
Recurrent Budget Estimates,IGANGA District,Central Government,"136,338",321408  Conditional Grant to Agric. Ext Salaries,2015/16 Draft Estimates,Vote:510,,Wage,Programme  04 Production
Recurrent Budget Estimates,IGANGA District,Central Government,"107,426",321418  Conditional Grant to NGO Hospitals,2015/16 Draft Estimates,Vote:510,,Non Wage,Programme  05 Health
Recurrent Budget Estimates,IGANGA District,Central Government,"167,292",321417  Conditional Grant to District Hospitals,2015/16 Draft Estimates,Vote:510,,Non Wage,Programme  05 Health
Recurrent Budget Estimates,IGANGA District,Central Government,"259,132",321413  Conditional Grant to PHC- Non wage,2015/16 Draft Estimates,Vote:510,,Non Wage,Programme  05 Health
Recurrent Budget Estimates,IGANGA District,Central Government,"4,535,983",321407  Conditional Grant to PHC Salaries,2015/16 Draft Estimates,Vote:510,,Wage,Programme  05 Health
Recurrent Budget Estimates,IGANGA District,Central Government,"601,480",321462  Conditional Transfers for Primary Teachers Colleges,2015/16 Draft Estimates,Vote:510,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,IGANGA District,Central Government,"444,200",321461  Conditional Transfers for Non Wage Technical Institutes,2015/16 Draft Estimates,Vote:510,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,IGANGA District,Central Government,"94,200",321455  Conditional Transfers for Non Wage Community Polytechnics,2015/16 Draft Estimates,Vote:510,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,IGANGA District,Central Government,"50,869",321447  Conditional transfers to School Inspection Grant,2015/16 Draft Estimates,Vote:510,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,IGANGA District,Central Government,"23,416",o/w DEO Operational Costs,2015/16 Draft Estimates,Vote:510,321447  Conditional transfers to School Inspection Grant,Non Wage,Programme  06 Education
Recurrent Budget Estimates,IGANGA District,Central Government,"2,728,866",321419  Conditional Grant to Secondary Education,2015/16 Draft Estimates,Vote:510,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,IGANGA District,Central Government,"1,010,257",321411  Conditional Grant to Primary Education,2015/16 Draft Estimates,Vote:510,,Non Wage,Programme  06 Education
Recurrent Budget Estimates,IGANGA District,Central Government,"3,314,678",321406  Conditional Grant to Secondary Salaries,2015/16 Draft Estimates,Vote:510,,Wage,Programme  06 Education
Recurrent Budget Estimates,IGANGA District,Central Government,"13,390,849",321405  Conditional Grant to Primary Salaries,2015/16 Draft Estimates,Vote:510,,Wage,Programme  06 Education
Recurrent Budget Estimates,IGANGA District,Central Government,"749,685",321404  Conditional Grant to Tertiary Salaries,2015/16 Draft Estimates,Vote:510,,Wage,Programme  06 Education
Recurrent Budget Estimates,IGANGA District,Central Government,"22,000",321449  Sanitation and Hygiene,2015/16 Draft Estimates,Vote:510,,Non Wage,Programme  08 Natural Resources
Recurrent Budget Estimates,IGANGA District,Central Government,"9,396",321436  Conditional Grant to District Natural Res. - Wetlands (Non Wage),2015/16 Draft Estimates,Vote:510,,Non Wage,Programme  08 Natural Resources
