"","x"
"849","World Vision Zimbabwe"
"850","FOSENET - NGO Food Security Network - Zimbabwe"
"851","Mvuramanzi Trust"
"852","Consortium for Assistance to Refugees and the Displaced in Indonesia"
"853","International Peace Research Institute"
"854","Assisting Marsh Arabs and Refugees"
"855","Tromso Center for Mine Damages"
"856","RTI"
"857","ACT Alliance / Icelandic Church Aid"
"858","Icelandic Crisis Response Unit"
"859","Abt Associates"
"860","World Vision Australia"
"861","Iraqi Handicapped Society"
"862","Kuwait Red Crescent Society"
"863","OIP - Office of the Iraq Programme"
"864","World University Service"
"865","United Nations"
"866","BUKKEHAVE"
"867","Matrix"
"868","Bearing Point"
"869","BMaA"
"870","Japan Platform"
"871","Jordan Hashemite Charity Organization"
"872","Radio SAWA"
"873","Arche Nova E.V. - Initiative for People in Need"
"874","Grünhelme"
"875","The Cuny Center"
"876","La chaine de l'espoir"
"877","InterAction"
"878","Man in Need"
"879","Pompiers sans frontières"
"880","Japan Self Defense Forces"
"881","Yemen Red Crescent Society"
"882","Scanagri"
"883","Bechtel"
"884","CAII - Creative Associates International"
"885","SSA Marine"
"886","SkyLink"
"887","MSI"
"888","Landstar Express America"
"889","Norsk Luthersk Misjonssamband"
"890","Mwelekeo Trust"
"891","Korea Food for the Hungry International"
"892","One Korea Buddhist Movement"
"893","Association of South-North Kang-Won Province Cooperation"
"894","Okedongmu Children in Korea"
"895","Americares"
"896","Rotary Club of Shanghai"
"897","Korean Church Federation of Support for North Korea"
"898","One Buddhism"
"899","Medical Aids for Children of DPRK"
"900","International Corn Foundation"
"901","Korean Welfare Foundation"
"902","National Coalition of NGOs for Inter-Korea Agricultural Development and Cooperation"
"903","The General Assembly of Presbyterian Church in Korea"
"904","National Council of Churches in Australia"
"905","Lebanese Red Cross"
"906","European Centre for Common Ground/Common Ground"
"907","Social Impact"
"908","Groupe de Secours Catastrophes Francais"
"909","Malagasy Red Cross Society"
"910","Secours Catholique et Développement"
"911","Sentinelles"
"912","GIGnos (consulting company)"
"913","MANNET (consulting company)"
"914","DDPS"
"915","Humanitarian Accountability Partnership International"
"916","Geneva Call"
"917","Reach Out"
"918","Feinstein Center"
"919","People in Aid"
"920","Partnership Africa Canada"
"921","Solidarité, Urgence, Developpement"
"922","Swiss Rotary Club"
"923","Florida International University"
"924","Reach Out Initiative"
"925","Wilton Park"
"926","Brookings Institute"
"927","DMR"
"928","FXB -  François-Xavier Bagnoud"
"929","Integrated Rural Development and Nature Conservation"
"930","HELVETAS"
"931","Australians Care for Refugees"
"932","APHEDA"
"933","Foundation Signs"
"934","Sagric Intenational Pty Ltd"
"935","AUSTCARE - Australian Care for Refugees"
"936","Australian Community Assistance Scheme"
"937","Australia"
"938","Red Crescent Society of the United Arab Emirates"
"939","SHAML - Palestinian Diaspora and Refugee Center "
"940","Palestinian Human Rights Monitoring Group"
"941","Gaza Zakat Committee"
"942","Enfants de Cusco"
"943","Ministry of Environment and University of Zurich"
"944","Danish Production School"
"945","CARITAS"
"946","Doctors of the World"
"947","AICF-F"
"948","Victims of Torture"
"949","Community Peace Fund"
"950","Trust Fund for Human Security"
"951","The Tibet Fund"
"952","Stability Pact"
"953","Sri Lanka Red Cross Society"
"954","Sarvodaya Shramadana Movement"
"955","Hudec Sedec"
"956","Sudanese Red Crescent"
"957","International Aid Services Denmark"
"958","Operation Lifeline Sudan"
"959","Comitato Collaborazione Medica"
"960","War Child Holland"
"961","Khartoum Teaching Hospital"
"962","Human Moral Care"
"963","Vétérinaire sans Frontieres"
"964","Academy Charity Teaching Hospital"
"965","Education Development Center"
"966","Global 2000 of the Carter Centre"
"967","Sign of Hope"
"968","EADRCC - Euro-Atlantic Disaster Response Coord.Centre"
"969","Associazione Italiana per la Solidarietà tra I Popoli"
"970","Development Initiatives"
"971","Hôpital Français de Hanoï"
"972","Healthnet International - Malaria Leishmaniasis Control Programme"
"973","Kinder brauchen uns e.V"
"974","WISAG"
"975","Georg Dechentreiter Wohlfahrtsstiftung"
"976","Afghanischer Arzteverein in Deutschland e.V."
"977","Mediothek für Afghanistan e.V"
"978","ORA International Lobito"
"979","World Vision USA"
"980","Saint Barbara Foundation"
"981","Red Crescent Society of Azerbaijan"
"982","Japan Overseas Cooperation Volunteers"
"983","Swedish Mission Council"
"984","International Centre for Diarrhoeal Disease Research, Bangladesh"
"985","Friendship"
"986","Mennonite Central Committee"
"987","Lichtbrücke e.V"
"988","NETZ"
"989","Pathfinder International"
"990","Bangladesh Rural Advancement Committee"
"991","Folkekirkens Nodhjaelp"
"992","Riverside Technologies Inc."
"993","CARE Austria"
"994","Lay Volunteers International Association"
"995","Communita Impegno Servizio Volontariato"
"996","HEALTH UNLIMITED"
"997","OCAPROCE"
"998","Samenwerkende Hulporganisaties"
"999","American Bar Association"
"1000","Nonviolence International"
"1001","United Nations Humanitarian Response Depot "
"1002","Div. Assoc."
"1003","HHB"
"1004","Polish Humanitarian Action"
"1005","Green Cross"
"1006","NIISO"
"1007","ROPKA International"
"1008","Movimiento Por La Paz, El Desarme Y La Libertad, (E)"
"1009","MEN"
"1010","Burkinabe Red Cross Society"
"1011","Integrated Regional Information Network"
"1012","European Commission's Humanitarian Aid and Civil Protection Department"
"1013","Missionszentrale der Franziskaner e.V."
"1014","Aviation Sans Frontieres"
"1015","Multinational Interim Force"
"1016","Haitian National Red Cross Society"
"1017","Sweet Mickey Foundation"
"1018","AH Dames Suisse"
"1019","Stonepath Logistics"
"1020","Chapman Freeborn Airchartering"
"1021","Checci & Company"
"1022","Africa Humanitarian Action"
"1023","SHA/NRE"
"1024","UN Trust Fund"
"1025","Association rwandaise des conseillers en traumatisme "
"1026","Caribbean Disaster Emergency Response Agency"
"1027","Centre for the Coordination of Natural Disaster Prevention in Central America"
"1028","Sabou Guinee"
"1029","Initiative Développement"
"1030","World Concern"
"1031","Air Cargo Associates"
"1032","Food for the Poor"
"1033","College Suisse/Fondation S.O.S"
"1034","Lions Clubs International Foundation"
"1035","Tibet House Trust"
"1036","Mission Aviation Fellowship"
"1037","Italian Red Cross"
"1038","Arab Gulf Programme for United Nations Development Organizations"
"1039","Belgian First Aid and Support Team"
"1040","Red Crescent Society of the Islamic Republic of Iran"
"1041","Norwegian Search and Rescue"
"1042","ACT Alliance / Kerk in Actie - Netherlands"
"1043","Slovenian Red Cross"
"1044","SAF - Science and Arts Foundation"
"1045","Telecom for Basic Human Needs"
"1046","Nippon International Cooperation for Community Development"
"1047","Japan Rescue Association"
"1048","Iraqi Red Crescent Society"
"1049","ACT Alliance / Diakonie Austria"
"1050","Haukari e.V"
"1051","Wadi"
"1052","OCHA NGO Funds"
"1053","IHS"
"1054","Office of Preparedness for Disasters and Emergencies"
"1055","ICU"
"1056","Kazakh Red Crescent Society"
"1057","AWWD"
"1058","Kenya Land Alliance"
"1059","Federation of Women Lawyers in Kenya"
"1060","Hungarian Baptist  Aid Organisation"
"1061","Global Aid Network"
"1062","Hellenic Red Cross"
"1063","Agglobe Services International and the Korean Unpasan General Trading Company"
"1064","Movement Centre of Jeju Citizen to Cooperation between South and North"
"1065","Korea Campus Crusade for Christ"
"1066","Presbyterian Church of Korea"
"1067","Association for People's Cooperation between South and North Korea"
"1068","Tunisian Red Crescent"
"1069","Potsdam Kommunikation"
"1070","PHRO - Palestinian Human Rights Organisation "
"1071","Northwest Medical Teams International"
"1072","Danish Ethiopian Mission"
"1073","Helfende Hände e.V."
"1074","Centre de Réflexion Europe Afrique "
"1075","Ottawa Convention Sponsorship Programme"
"1076","WSP International"
"1077","ROSSAIR"
"1078","GMAC"
"1079","World Conference on Disaster Reduction"
"1080","United Nations Institute for Training and Research"
"1081","European Centre for Conflict Prevention"
"1082","Crisis Management Initiative"
"1083","Nordic International Rescue Foundation"
"1084","ProVention"
"1085","International Institute of Humanitarian Law"
"1086","International Service for Human Rights"
"1087","GeoForschungsZentrum Potsdam"
"1088","SaferAfrica"
"1089","Next Step Productions"
"1090","Hôpital de la Charité d'Oulan-Bator"
"1091","Secours Islamique"
"1092","Plan Ireland"
"1093","Cooperazione per lo Sviluppo dei Paesi Emergenti - COSPE"
"1094","asociacion para la cooperacion con el sur"
"1095","Cook Islands Red Cross Society"
"1096","Asamblea De Cooperacion Por La Paz"
"1097","Greek Committee For International Democratic Solidarity"
"1098","Centre palestinien des droits de l'homme"
"1099","Palestine Solidarity Organisation in Sweden"
"1100","Solidarité Socialiste"
"1101","Four Homes of Mercy"
"1102","Société Axis, Centre orthopédique d'Assomption"
"1103","Canadian Development and Peace"
"1104","Hilfsgemeinschaft Lippe e.V"
"1105","Syrian Arab Republic"
"1106","Horn Relief"
"1107","Sedec-Hudec"
"1108","Nachbar in Not"
"1109","Halo Partnership"
"1110","Physicians for Human Rights"
"1111","African Union"
"1112","Stromme Foundation"
"1113","World Relief Corporation"
"1114","United Nations Joint Logistics Centre"
"1115","African Union Mission in Sudan"
"1116","El Obeid"
"1117","Centre for Humanitarian Dialogue"
"1118","Swiss Foundation for Mine Action / Organisation for Security and Cooperation in Europe"
"1119","Red Crescent Society of Tajikistan"
"1120","Pharmaciens Sans Frontieres - Comite International"
"1121","CDE - University Berne"
"1122","Interkerkelijke Organisatie voor Ontwikkelingssamenwerking"
"1123","United Nations Economic and Social Commission for Asia and the Pacific"
"1124","Millenium Project Hunger Task Force"
"1125","DIA"
"1126","Dorcas Aid International"
"1127","Community Technology Development Trust"
"1128","Community Development Trust"
"1129","Swiss AIDS Care International"
"1130","Afghan Red Crescent"
"1131","Afghanistan-Hilfe e.V."
"1132","Danish International Life Saving Association"
"1133","Société Algérienne de Recherche en Psychologie"
"1134","SSB"
"1135","Concern Universal"
"1136","Belarusian Red Cross"
"1137","Young Women's Christian Association/La Strada"
"1138","HBN"
"1139","AMICA e.V"
"1140","Landmine Survivors Network"
"1141","Flüchtlingshilfe Langen e.V."
"1142","Bulgarian Red Cross"
"1143","Slavik"
"1144","Luxembourg Red Cross"
"1145","International Institute of Tropical Agriculture"
"1146","Centre d'Alerte et de Prevention des Conflits"
"1147","DKKV - German Committee for Disaster Reduction"
"1148","Central African Red Cross Society"
"1149","Living Waters"
"1150","Hebrew Immigrant Aid Society"
"1151","Red Cross of Chad"
"1152","Swiss Centre for International Health"
"1153","NEPCom"
"1154","International Work Group for Indigenous Affairs"
"1155","TGK Consult"
"1156","International Humanitarian Fund LIBA"
"1157","Open Continent"
"1158","NAC"
"1159","Colombian Red Cross Society"
"1160","UNICEF National Committee/Canada"
"1161","AVRE -Support to Victims for Emotional Recovery"
"1162","Fundación Amalaka"
"1163","National Emergency Commission of Costa Rica"
"1164","Chemonics International Inc."
"1165","Dialog International e.V."
"1166","Aviation Sans Frontieres Belgium"
"1167","CARITAS INTERNATIONALIS"
"1168","JEOP - Joint Emergency Operation"
"1169","United Nations Observer Mission in Georgia"
"1170","Distribuidora Ambiente"
"1171","FRAZIMA, S.A."
"1172","Kinderdorf Pestalozzi"
"1173","Project Concern International"
"1174","Project HOPE"
"1175","Guyana Red Cross Society"
"1176","UN Economic Commission for Latin America"
"1177","Foyer Maurice Sixto"
"1178","Centre pour enfants des rues de Bel-Air"
"1179","KPR"
"1180","Foundation Politeon"
"1181","Fondation Caritas Luxembourg"
"1182","Danish Bilharziasis Laboratory"
"1183","Aide et Action"
"1184","United Way International"
"1185","OXFAM America"
"1186","Progressive Interventions"
"1187","Helen Keller International"
"1188","Gifts in kind International"
"1189","GRT"
"1190","Nathan Associates"
"1191","SIG - Canton's Industrial Services - Geneve (CH)"
"1192","Crown Agents"
"1193","United Nations Joint Programme on HIV/AIDS"
"1194","Aktion Deutschland Hilft"
"1195","World Jewish Aid"
"1196","Swiss Solidarity"
"1197","Associazione Italiana Amici di Raoul Follereau"
"1198","Adam's Peak"
"1199","Architectes de l'urgence"
"1200","Tamil Rehabilitation Organisation"
"1201","International Development Law Organisation"
"1202","Habitat for Humanity International"
"1203","Irish Sri Lanka Trust Fund"
"1204","United Nations Operational Satellite Applications Programme"
"1205","Heart Doctors"
"1206","ACT Alliance / Christian Reformed World Relief Committee (Valid until August 2012)"
"1207","Commonwealth Secretariat"
"1208","GORTA"
"1209","ATAV - Assoc. Tsunami Aides aux Victimes"
"1210","OXFAM Ireland"
"1211","Help the Aged"
"1212","Foundation for Co-existence"
"1213","National Anti War Front"
"1214","Nurani Dunia"
"1215","EXNORA"
"1216","DZI - German Central Institute for Social Issues "
"1217","Norwegian Tamils Health Organisation"
"1218","Solidarité laique"
"1219","AIDER"
"1220","HIVOS"
"1221","Episcopal Relief and Development"
"1222","BMI"
"1223","Thai Tsunami Victim Identification Group"
"1224","Somalischer Verein e.V."
"1225","Human Development Foundation"
"1226","Soeurs missionnaires de la charite (Mere Teresa)"
"1227","Red Cross of Monaco"
"1228","Monaco Aide et Presence"
"1229","Direct Relief"
"1230","IOGT-NTO"
"1231","Basic Needs"
"1232","European Perspective"
"1233","IBM"
"1234","Volunteer Corpes-Greek Firemen Replanters"
"1235","Saúde em Português"
"1236","Hrúz"
"1237","SOS Malta"
"1238","Slovak Red Cross"
"1239","Health Partners International Canada"
"1240","Canadian Food for the Hungry International"
"1241","Voluntary Service Overseas"
"1242","SOS Kinderdorpen"
"1243","National Peace Corps Association"
"1244","Comite Catholique contre la faim"
"1245","Comité Français pour la Solidarité "
"1246","International Relief Teams"
"1247","INMED Partnership for Children"
"1248","Fondation de France"
"1249","Frère des Hommes"
"1250","Partage"
"1251","Jesuit Refugee Service"
"1252","World Hope International"
"1253","Somali Red Crescent Society"
"1254","Operation USA"
"1255","Trickle  Up Program"
"1256","Bureau International Catholique de l'Enfance"
"1257","Un Enfant Par La Main"
"1258","Asmae Soeur Emmanuelle"
"1259","Collectif Asie Enfants Isolés"
"1260","Emmaüs International"
"1261","Guilde du Raid"
"1262","Enfants et Développement"
"1263","Oeuvres hospitalières françaises de l'Ordre de Malte"
"1264","Canadian Baptist Ministries"
"1265","FORUT"
"1266","Malaysia Red Crescent Society"
"1267","American Jewish Joint Distribution Committee"
"1268","International Aid"
"1269","American Jewish World Service"
"1270","International Reading Association"
"1271","U.S. Committee for Refugees and Immigrants"
"1272","American Center for International Labor"
"1273","RedR"
"1274","Peace and Conflict Institution"
"1275","Ibdesch Patenschaften"
"1276","International Health Partners"
"1277","Give World"
"1278","Douleurs san Frontières"
"1279","Voluntary Health Association of India"
"1280","Timor Leste"
"1281","Organisation of the Islamic Conference"
"1282","Liechtenstein Red Cross"
"1283","JHPIEGO"
"1284","STARH Project"
"1285","IQC TBD"
"1286","Church of the Living God International"
"1287","Genesis Software"
"1288","ICMA - International City/County Management Association"
"1289","Foundation Together"
"1290","Mission Austria - Päpstliche Missionswerke in österreich"
"1291","SurfAid"
"1292","NGO Coordination Committee for Iraq"
"1293","Diplomatische Akademie Wien"
"1294","Italian Consortium of Solidarity"
"1295","Mercy Hands for Humanitarian Aid"
"1296","Comité de bienfaisance assyrien"
"1297","San Remo Institute for Humanitarian Law"
"1298","Jordan National Red Crescent Society"
"1299","Red Crescent Society of Kyrgyzstan"
"1300","Association libanaise de l'Ordre de Malte"
"1301","Liberian Red Cross Society"
"1302","ASUR - Appui aux populations déplacées"
"1303","EQUIP Liberia"
"1304","Irish UNMIL Battalion"
"1305","Liberia Dujar Association, Sweden"
"1306","Africa Directo"
"1307","SOS-Barnbyar Sweden"
"1308","International Peace Academy"
"1309","Mine Action Canada"
"1310","Shelter Centre"
"1311","UN Voluntary Fund for Indigenous Populations"
"1312","Conrad N. Hilton Foundation"
"1313","Organisation for Economic Co-operation and Development"
"1314","Nordic Demining Research Forum"
"1315","Transparency International"
"1316","EPI-Center"
"1317","Kristna Freds"
"1318","Parliamentary Forum"
"1319","Consultative Group on International Agricultural Research"
"1320","International NGO Training and Research Centre"
"1321","United Nations Disaster Assessment and Coordination"
"1322","VOICE ASBL"
"1323","Joint Christian Services International"
"1324","ICIMOD"
"1325","PA_05"
"1326","INETER"
"1327","Progedes-Nicaragua"
"1328","SOS Sahel International"
"1329","Red Cross Society of Niger"
"1330","World Association of Children's Friends"
"1331","Lighthouse Association"
"1332","SOS Faim"
"1333","European Union Border Assistance Mission"
"1334","Acumet Catholic Parish"
"1335","PLO DoRA"
"1336","Custodia Franciscana"
"1337","Applied Research Institute Jerusalem"
"1338","Health, Development, Information and Policy Institute"
"1339","Temporary International Presence in Hebron"
"1340","Islamic Institute of Autism"
"1341","Foundation Limmat"
"1342","Star of Hope"
"1343","Cyprus Red Cross"
"1344","Romanian Red Cross"
"1345","ACT Alliance / Christian Aid Ministries Nehemia"
"1346","ASEP"
"1347","AGROSPHERE"
"1348","Australian Aid International"
"1349","Rural Support Programmes Network"
"1350","Rawa Association"
"1351","We World Onlus"
"1352","Fred Hollows Foundation"
"1353","Programme for Emergency Education and Reconstruction "
"1354","Canadian Relief Foundation"
"1355","Portuguese Red Cross"
"1356","RWSSP"
"1357","Birdlife International"
"1358","Primate's World Relief and Development Fund"
"1359","öKO HIMAL"
"1360","Foster Parents Plan Canada"
"1361","People in Peril"
"1362","National Society for Earthquake Technology"
"1363","Disasters Emergency Committee (UK)"
"1364","Kimse Yok Mu Solidarity Foundation"
"1365","Deniz Feneri Yardimlasma ve Dayanisma Dernegi"
"1366","Fönix Special Rescue Team"
"1367","Private Agencies Collaborating Together"
"1368","Berne University"
"1369","Diocese of Rumbek"
"1370","Coalition for International Justice"
"1371","SSDO - South Sudan Development Organisation"
"1372","Office of the Resident and Humanitarian Coordinator"
"1373","NOVIB"
"1374","United Nations Advance Mission in Sudan"
"1375","United Nations Mission in Sudan"
"1376","Solidarites-Belgium"
"1377","Thailand Burma Border Consortium"
"1378","Actions Médicales Internationale"
"1379","Seismic Risk Assessment and Mitigation in the Antakya-Maras Region"
"1380","Ukrainian Red Cross Society"
"1381","Berne helps Lviv"
"1382","Uruguayan Red Cross"
"1383","Venezuelan Red Cross"
"1384","Deutsches Institute für Arztliche Mission"
"1385","Mali Red Cross"
"1386","Mauritanian Red Crescent"
"1387","United Nations Special Court for Sierra Leone"
"1388","Chrétiens pour le Sahel"
"1389","Programme Against Malnutrition"
"1390","EuronAid"
"1391","LEAD Trust"
"1392","Holistic Management"
"1393","Canadian Healthcare Association"
"1394","Ecole Polytechnique Fédérale De Lausanne"
"1395","Afghanistan Independent Human Rights Commission"
"1396","Stiftelsen Menneskeret.Huset"
"1397","Norsk Fredssenter"
"1398","Ministry of Rural Rehabilitation and Development Afghanistan"
"1399","ITF"
"1400","Horizonte Logico"
"1401","Asociación de Trabajadores y Técnicos Sin Fronteras"
"1402","Stiftung St. Barbara"
"1403","Hellef fir Rosario"
"1404","Armenian Relief Society"
"1405","Armenian Red Cross Society"
"1406","FERT"
"1407","PSR / IPPNW"
"1408","Planeta"
"1409","Venezuela"
"1410","Corporacion andina de fomento "
"1411","Seestern e.V."
"1412","Planning and Development Collaborative International"
"1413","International Agricultural Research Center"
"1414","Norsk senter for menneskerettigheter"
"1415","Rainbow Gateway"
"1416","International Partnership for Human Development"
"1417","Christian Outreach Relief and Development"
"1418","Fundacion de Beneficencia Capacitas"
"1419","Landsorganisasjonen i Norge, 3"
"1420","Eurest Personalrestauranter AS"
"1421","Den norske lægeforening - UD-tilskudd"
"1422","ROKPA"
"1423","FAFO "
"1424","The Dui Hua Foundation"
"1425","Swedish Refugee Aid"
"1426","Instituto Colombiano de Bienestar Familial"
"1427","France"
"1428","Dissimilis kult.og komp.senter"
"1429","United Nations Committee on Missing Persons"
"1430","Medicos en catastrofe (MEC)"
"1431","CEMUBAC (Belgian medical NGO)"
"1432","Common Humanitarian Fund"
"1433","Docs Heal Africa"
"1434","DAC Aviation International"
"1435","Bureau Diocésain de Développement de Kindu (BDD/KINDU)"
"1436","Forum for Early Warning "
"1437","United Nations Humanitarian Air Service"
"1438","Fondation Femmes plus"
"1439","Bureau des œuvres médicales diocésaines (BDOM)"
"1440","CRAFOD"
"1441","Pharmaciens sans frontières (PSF)"
"1442","Croix Rouge RDC"
"1443","Federation des ONG laiques à Vocation Economique du Congo "
"1444","Missionnaires du Divin Maître/Shabunda"
"1445","Antenna Technologies Grands Lacs (ATGL)"
"1446","Communauté Evangélique au Kwango (CEK)"
"1447","United Nations Mine Action Coordination Center (DRC)"
"1448","WAM"
"1449","EPER Lausanne"
"1450","Programme d'Intégration et de Développement du Peuple pygmée au Kiwu "
"1451","Initiative Congolaise pour la Gestion autonome des populations"
"1452","Franziskaner"
"1453","Association pour la Santé Familiale (ASF)"
"1454","Caritas Développement DRC"
"1455","SOCIETE DE COOPERATION POUR LE DEVELOPPEMENT DE FIZI  (SOCOODEFI)"
"1456","DOCS HEAL AFRICA, Goma"
"1457","Programme de Promotion de Soins de Santé Primaires (PPSSP)"
"1458","Association pour les enfants oubliés"
"1459","Firemen without Borders"
"1460","Central Ecuatoriana de Servicios Agricolas"
"1461","ESPE"
"1462","Association Notre Dame de Protection"
"1463","Ethiopian Red Cross Society"
"1464","GDPI"
"1465","Hope for the Horn"
"1466","Pastoralist Concern Association Ethiopia"
"1467","Sharaja"
"1468","Emergency Response Fund (OCHA)"
"1469","Ethiopian Muslims Relief and Development Association"
"1470","World Vision Hong Kong"
"1471","REDOG"
"1472","Cleared Ground Demining Ltd."
"1473","Voluntariado Internacional para o Desenvolvimento Africano"
"1474","United Nations Operation Programme Support"
"1475","Children Assistance Programme "
"1476","Swedish Alliance Mission "
"1477","The Mission Covenant Church of Sweden"
"1478","International Dalit Solidarity Network"
"1479","OXFAM Hong Kong"
"1480","Association of Chinese Evangelical Ministry Limited"
"1481","UNDG Iraq Trust Fund"
"1482","Marsh Arabs"
"1483","Iraqi Relief Organisation"
"1484","Al Anbar Center for Humanitarian Relief"
"1485","Todya Organization"
"1486","Sada Al Irak Organisation"
"1487","Charitable Society for Caring and Rehabilitation Iraqi Children"
"1488","Kids and Women Organization"
"1489","Afkar Society for Development and Humanitarian Relief"
"1490","Orphans and Divorced Rights Association"
"1491","Foundation of the United for Relief and Adiding Development "
"1492","Al Afran Media and Culture "
"1493","Keren Hayesod"
"1494","Center for Defending Freedom of Journalists"
"1495","Père Jaar"
"1496","Norway"
"1497","Trosgnistans Mission"
"1498","Erikshjälpen, Sweden"
"1499","Alive and kicking"
"1500","SOS Children's Villages"
"1501","Magen David Adom"
"1502","ADU_04"
"1503","World Research Foundation"
"1504","Syrian Arab Red Crescent"
"1505","Canada International Demining Corps"
"1506","WA-UK"
"1507","Lebanese Association for Popular Action"
"1508","Fondation de l'Ordre de Malte pour le Liban"
"1509","HH-SKH"
"1510","Swiss Academy of Development"
"1511","American Near East Refugee Aid"
"1512","ACT Alliance / Diakonia, Sweden"
"1513","International Maritime Organization"
"1514","Operation Mercy"
"1515","SCD-RB"
"1516","Deniz Feneri Association"
"1517","Libyan Relief Committee"
"1518","National Development Organization"
"1519","ARC EN CIEL"
"1520","NABA""A"
"1521","Association pour la protection de l'enfant de la guerre"
"1522","MIC EU Civil Protection"
"1523","Syrisk Orthodox Church Sweden"
"1524","Sanitary of Epidemiological Station"
"1525","Association Internationale des Soldats de la Paix"
"1526","Turkish Kidney Foundation"
"1527","Istanbul International Brotherhood and Assistance Association"
"1528","Humanitarian Relief Foundation"
"1529","ChildFund Ireland"
"1530","Fondation Hirondelle"
"1531","International Centre for Transitional Justice"
"1532","United Missions Mission in Liberia Irish Battalion"
"1533","Christian Children's Fund  / Adventis Development And Relief Agency"
"1534","Development Education Network for Liberia"
"1535","CISANET/CSCQBE/MEJN"
"1536","I-LIFE"
"1537","Management Sciences for Health"
"1538","Johor Community Development Committee for Women and Family Development "
"1539","Halte Aux Mines Antipersonnel "
"1540","Diplomat Freight Services"
"1541","Kompetansesenteret for urfolksrettigheter"
"1542","Central Emergency Response Fund"
"1543","PRIO - International Peace Research Institute, Oslo"
"1544","ZAYED Foundation"
"1545","Tsunami Evaluation Coalition"
"1546","Humanitarian Policy Group"
"1547","Association for the Prevention of Torture"
"1548","American Council for Voluntary International Action"
"1549","Nobels Fredssenter"
"1550","International Peace Building Alliance/WSP International"
"1551","UN Voluntary Trust Fund for Technical Cooperation"
"1552","Glencree Centre for Peace and Reconciliation"
"1553","Regional Centre Small Arms Light Weapons"
"1554","UN Technical Cooperative Activities"
"1555","International Criminal Court"
"1556","CDA Collaborative Learning Projects. Inc."
"1557","Landmine Action"
"1558","UN GENERAL TRUST FUND"
"1559","Innovasjon Norge"
"1560","NGO FORUM"
"1561","Norske PEN"
"1562","Minority Rights Group International"
"1563","GROUPE URD"
"1564","International Institute for Democracy and Electoral Assistance - International IDEA"
"1565","United Nations Institute for Disarmament Research"
"1566","Coalition to Stop Use of Child Soldiers"
"1567","Norsk forbund f. utv.hemmede"
"1568","Rehabilitation International"
"1569","United Nations Humanitarian Information Centre"
"1570","Deutsches Komitee fur Katastrophenvorsorge e.V."
"1571","International Center for Integrated Mountain Development"
"1572","Seismic Research Unit, Univ. of West Indies"
"1573","PUNTO SUD"
"1574","Quaker United Nations Office"
"1575","Norske Menneskerettighetsfond"
"1576","Stavanger kommune, Sølvberget KF Bibl.og kul"
"1577","ZAF"
"1578","Norske Pinsemenigheters Ytremisjon"
"1579","United Nations Mediation Support Unit"
"1580","Inuit Circumpolar Conference"
"1581","MEDECO"
"1582","Next Step AS"
"1583","Pan American Health and Education Foundation"
"1584","International Commission of Jurists"
"1585","Human Rights House Foundation "
"1586","Samerådet"
"1587","UNITEC"
"1588","University of Capetown"
"1589","Proximity Designs (formerly International Development Enterprises)"
"1590","JAGAN. L.A."
"1591","PARTNERS"
"1592","Church of Jesus Christ (Johannesburg)"
"1593","Nepal Red Cross Society"
"1594","CARE Nepal"
"1595","SE-SINAPRED"
"1596","Plan Niger"
"1597","Memorial Human Rights Centre"
"1598","Medina"
"1599","UN Human Security Trust Fund"
"1600","Palestinakomiteen i Norge"
"1601","GCIDS"
"1602","Palestine Red Crescent Society"
"1603","Stiftelsen Oljeberget"
"1604","Palestinian Medical Relief Society"
"1605","Swedish Christian Council"
"1606","HAMOKED/CNTR DEF.OF INDIVIDUAL"
"1607","Custodia Franciscana en Tierra Santa"
"1608","Red Cross Society of Panama"
"1609","Organization of Petroleum Exporting Countries Fund"
"1610","World Wildlife Fund"
"1611","Plan Sweden"
"1612","Det norske Misjonsforbund"
"1613","Opération villages roumains"
"1614","INFONOR"
"1615","International Criminal Tribunal for Rwanda"
"1616","European Agency for Reconstruction"
"1617","United Nations Integrated Office in Sierra Leone "
"1618","Hiran Women Action on Advocay for peace & Human Rights"
"1619","CARE Somalia"
"1620","Development Initiatives Access Link"
"1621","VETAID"
"1622","Africa Muslims Agency (Johannesburg)"
"1623","Humanitarian Action for Relief and Development Organisation"
"1624","NGO Consortium"
"1625","African Rescue Committee"
"1626","Green Hope"
"1627","SwissCor"
"1628","St. Josephs Care and Support Trust at Sizanani Village"
"1629","Malaria Consortium"
"1630","ASASE"
"1631","Education Action International"
"1632","Catholic Church of Khartoum"
"1633","Global Fund to Fight AIDS, Tuberculosis and Malaria"
"1634","Islamic African Relief Agency"
"1635","Community Appraisal & Motivation Program"
"1636","Global Health Foundation"
"1637","Partner Aid International e.V."
"1638","Suriname Red Cross"
"1639","INDE - Intercooperaçao e Desenvolvimento (Portuguese NGO)"
"1640","Strømmestiftelsen - UD-tilskudd"
"1641","Windle Trust International"
"1642","Bär + Leu"
"1643","Enfants des rizières"
"1644","DWF"
"1645","ISPED"
"1646","PUMP AID"
"1647","World Agroforestry Centre"
"1648","Diocese de Hwange"
"1649","Global Rights"
"1650","Afghan Reconstruction Trust Fund"
"1651","Helse Bergen HF"
"1652","DF Young Inc."
"1653","Berkat"
"1654","Centre de Recherche en Astronomie, Astrophysique et Geophysique"
"1655","CFD"
"1656","SERVICIO PAZ Y JUSTICIA"
